underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
AAPL,2025-06-20,C,5.0,,,2025-06-13 18:58:54.310162+00:00,192.82,1.0,2025-06-13 19:59:59.676469+00:00,189.34,116.0,195.68,108.0
AAPL,2025-06-20,C,10.0,,,2025-06-09 17:59:26.584996+00:00,194.07,5.0,2025-06-13 19:59:59.519020+00:00,183.38,109.0,186.43,100.0
AAPL,2025-06-20,C,15.0,,,2025-06-13 13:47:55.903843+00:00,183.93,1.0,2025-06-13 19:59:59.522737+00:00,178.3,105.0,185.97,105.0
AAPL,2025-06-20,C,20.0,,,2025-06-03 13:50:53.515070+00:00,183.0,1.0,2025-06-13 19:59:59.520127+00:00,173.15,110.0,175.37,100.0
AAPL,2025-06-20,C,25.0,,,2025-06-13 18:58:54.310168+00:00,171.33,1.0,2025-06-13 19:59:59.519756+00:00,168.01,111.0,173.02,100.0
AAPL,2025-06-20,C,30.0,,,2025-05-05 19:10:28.835016+00:00,172.65,1.0,2025-06-13 19:59:59.522757+00:00,166.99,104.0,169.19,104.0
AAPL,2025-06-20,C,35.0,,,2025-06-13 14:01:55.823850+00:00,162.06,1.0,2025-06-13 19:59:59.519796+00:00,160.29,111.0,162.09,100.0
AAPL,2025-06-20,C,40.0,,,2025-06-13 14:01:55.823850+00:00,157.05,2.0,2025-06-13 19:59:59.519014+00:00,157.96,103.0,158.39,111.0
AAPL,2025-06-20,C,45.0,,,2025-06-13 14:01:55.823876+00:00,152.08,1.0,2025-06-13 19:59:59.522037+00:00,152.04,110.0,154.34,10.0
AAPL,2025-06-20,C,50.0,,,2025-06-13 13:53:30.333321+00:00,145.21,10.0,2025-06-13 19:59:59.523946+00:00,148.69,112.0,149.89,35.0
AAPL,2025-06-20,C,55.0,,,2025-06-05 13:58:34.072434+00:00,146.97,1.0,2025-06-13 19:59:59.009694+00:00,139.48,7.0,142.31,117.0
AAPL,2025-06-20,C,60.0,,,2025-06-10 19:22:59.744701+00:00,142.1,1.0,2025-06-13 19:59:59.519058+00:00,135.89,102.0,137.45,100.0
AAPL,2025-06-20,C,65.0,,,2025-06-10 19:22:59.744706+00:00,138.08,1.0,2025-06-13 19:59:59.519058+00:00,130.24,108.0,132.04,100.0
AAPL,2025-06-20,C,70.0,,,2025-06-02 15:09:26.345489+00:00,131.35,2.0,2025-06-13 19:59:59.659844+00:00,125.52,131.0,126.97,112.0
AAPL,2025-06-20,C,75.0,,,2025-06-13 13:52:19.923199+00:00,123.58,1.0,2025-06-13 19:59:59.655869+00:00,119.75,133.0,120.62,119.0
AAPL,2025-06-20,C,80.0,,,2025-06-13 13:53:30.333321+00:00,117.25,10.0,2025-06-13 19:59:59.722348+00:00,116.33,118.0,118.03,128.0
AAPL,2025-06-20,C,85.0,,,2025-06-13 13:54:51.134092+00:00,112.0,3.0,2025-06-13 19:59:59.676359+00:00,112.53,115.0,113.78,15.0
AAPL,2025-06-20,C,90.0,,,2025-06-13 16:11:54.234108+00:00,107.5,1.0,2025-06-13 19:59:59.719957+00:00,106.38,116.0,108.08,128.0
AAPL,2025-06-20,C,95.0,,,2025-06-10 18:22:16.439452+00:00,108.87,24.0,2025-06-13 19:59:59.363036+00:00,101.6,29.0,101.78,139.0
AAPL,2025-06-20,C,100.0,,,2025-06-13 17:17:00.666088+00:00,97.04,2.0,2025-06-13 19:59:59.766944+00:00,97.16,122.0,97.48,141.0
AAPL,2025-06-20,C,105.0,,,2025-06-06 19:32:13.618655+00:00,100.05,1.0,2025-06-13 19:59:59.745749+00:00,92.43,126.0,93.14,170.0
AAPL,2025-06-20,C,110.0,,,2025-06-13 18:42:29.291363+00:00,86.91,2.0,2025-06-13 19:59:59.728257+00:00,85.29,141.0,87.36,156.0
AAPL,2025-06-20,C,115.0,,,2025-06-13 18:41:53.313244+00:00,81.62,1.0,2025-06-13 19:59:59.519034+00:00,79.57,101.0,81.68,101.0
AAPL,2025-06-20,C,120.0,,,2025-06-13 17:05:59.370207+00:00,77.26,5.0,2025-06-13 19:59:59.519006+00:00,75.83,129.0,76.81,121.0
AAPL,2025-06-20,C,125.0,,,2025-06-13 13:58:10.955934+00:00,72.0,1.0,2025-06-13 19:59:59.719351+00:00,69.17,124.0,73.16,105.0
AAPL,2025-06-20,C,130.0,,,2025-06-12 15:53:42.617216+00:00,68.2,2.0,2025-06-13 19:59:59.662640+00:00,65.2,113.0,67.25,136.0
AAPL,2025-06-20,C,135.0,,,2025-06-13 18:58:54.310168+00:00,61.41,1.0,2025-06-13 19:59:59.652667+00:00,60.15,154.0,61.14,144.0
AAPL,2025-06-20,C,140.0,,,2025-06-13 17:45:16.536049+00:00,56.9,2.0,2025-06-13 19:59:59.519034+00:00,55.41,113.0,55.92,110.0
AAPL,2025-06-20,C,145.0,,,2025-06-13 14:41:13.177919+00:00,52.44,2.0,2025-06-13 19:59:59.712245+00:00,51.629,116.0,52.229,111.0
AAPL,2025-06-20,C,150.0,,,2025-06-13 19:58:55.745003+00:00,45.85,1.0,2025-06-13 19:59:59.077476+00:00,45.33,16.0,47.77,121.0
AAPL,2025-06-20,C,155.0,,,2025-06-13 18:58:54.310168+00:00,41.53,1.0,2025-06-13 19:59:59.767220+00:00,41.36,126.0,42.0,116.0
