underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
ABCL,2025-06-20,C,1.0,,,2025-06-12 18:59:27.471824+00:00,2.28,1.0,2025-06-13 19:59:03.649450+00:00,0.83,57.0,3.55,32.0
ABCL,2025-06-20,C,2.0,,,2025-06-11 19:30:54.187407+00:00,1.3,1.0,2025-06-13 19:58:56.953178+00:00,0.0,0.0,1.42,5.0
ABCL,2025-06-20,C,3.0,0.9616,delta=0.7462 gamma=0.8866 rho=0.0003 theta=-0.0118 vega=0.0012,2025-06-13 18:44:00.974693+00:00,0.23,1.0,2025-06-13 19:59:55.112956+00:00,0.22,1307.0,0.32,25.0
ABCL,2025-06-20,C,4.0,,,2025-06-13 16:47:56.460171+00:00,0.05,1.0,2025-06-13 19:59:31.946866+00:00,0.0,0.0,0.03,33.0
ABCL,2025-06-20,C,5.0,,,2025-06-11 16:02:32.347582+00:00,0.03,1.0,2025-06-13 19:59:20.708793+00:00,0.0,0.0,0.33,1487.0
ABCL,2025-06-20,C,6.0,,,2025-06-11 13:34:06.346973+00:00,0.05,1.0,2025-06-13 13:59:45.142921+00:00,0.0,0.0,0.07,2.0
ABCL,2025-06-20,P,1.0,,,2025-06-12 18:59:27.471824+00:00,0.03,1.0,2025-06-13 19:49:58.123139+00:00,0.0,0.0,0.17,10.0
ABCL,2025-06-20,P,2.0,,,2025-06-10 17:55:20.571382+00:00,0.05,1.0,2025-06-13 13:30:02.068520+00:00,0.0,0.0,0.73,9.0
ABCL,2025-06-20,P,3.0,1.2544,delta=-0.2952 gamma=0.7324 rho=-0.0001 theta=-0.0161 vega=0.0013,2025-06-13 17:46:53.211713+00:00,0.1,147.0,2025-06-13 19:50:39.898001+00:00,0.07,15.0,0.12,14.0
ABCL,2025-06-20,P,4.0,,,2025-06-12 16:40:54.477372+00:00,0.87,8.0,2025-06-13 19:58:03.283604+00:00,0.0,0.0,0.93,6.0
ABCL,2025-06-20,P,5.0,,,2025-06-11 15:06:40.994907+00:00,1.68,1.0,2025-06-13 19:59:47.729818+00:00,1.58,10.0,2.12,17.0
ABCL,2025-06-20,P,6.0,,,,,,2025-06-13 19:59:10.251456+00:00,2.52,16.0,3.04,12.0
