underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
AMD,2025-06-20,C,25.0,,,2025-06-10 13:53:16.369562+00:00,98.24,1.0,2025-06-13 19:59:56.695371+00:00,91.72,13.0,92.8,12.0
AMD,2025-06-20,C,30.0,,,2025-04-21 13:48:51.739554+00:00,55.75,1.0,2025-06-13 19:59:58.943129+00:00,85.18,13.0,86.12,10.0
AMD,2025-06-20,C,35.0,,,2025-06-11 16:20:10.579429+00:00,85.8,1.0,2025-06-13 19:59:56.695156+00:00,79.95,13.0,80.19,12.0
AMD,2025-06-20,C,40.0,,,2025-05-14 13:46:26.012339+00:00,79.65,1.0,2025-06-13 19:59:58.005997+00:00,76.1,10.0,77.01,15.0
AMD,2025-06-20,C,45.0,,,2025-06-03 19:24:55.522281+00:00,72.59,1.0,2025-06-13 19:59:56.660068+00:00,70.03,19.0,72.47,18.0
AMD,2025-06-20,C,50.0,,,2025-06-05 19:19:04.599565+00:00,65.1,2.0,2025-06-13 19:59:58.925811+00:00,67.06,22.0,67.36,23.0
AMD,2025-06-20,C,55.0,,,2025-06-12 18:13:28.591176+00:00,62.879,1.0,2025-06-13 19:59:59.023870+00:00,60.06,16.0,60.76,22.0
AMD,2025-06-20,C,60.0,,,2025-06-13 13:59:09.092596+00:00,57.06,9.0,2025-06-13 19:59:56.686756+00:00,55.6,12.0,55.9,19.0
AMD,2025-06-20,C,65.0,,,2025-06-12 18:44:06.266651+00:00,53.94,1.0,2025-06-13 19:59:56.695326+00:00,50.75,18.0,51.26,17.0
AMD,2025-06-20,C,70.0,,,2025-06-11 19:26:54.156096+00:00,50.57,1.0,2025-06-13 19:59:58.747210+00:00,45.85,13.0,46.45,15.0
AMD,2025-06-20,C,75.0,,,2025-06-11 16:22:37.738390+00:00,46.43,1.0,2025-06-13 19:59:58.370507+00:00,41.9,23.0,42.12,11.0
AMD,2025-06-20,C,80.0,,,2025-06-13 19:55:00.108005+00:00,36.45,1.0,2025-06-13 19:59:59.022968+00:00,36.45,9.0,36.49,18.0
AMD,2025-06-20,C,85.0,,,2025-06-13 19:26:20.016020+00:00,30.989,1.0,2025-06-13 19:59:57.710047+00:00,30.7,11.0,31.31,22.0
AMD,2025-06-20,C,90.0,,,2025-06-13 19:54:40.525924+00:00,26.31,1.0,2025-06-13 19:59:57.736074+00:00,25.71,11.0,26.35,24.0
AMD,2025-06-20,C,95.0,,,2025-06-13 19:34:24.504285+00:00,21.09,9.0,2025-06-13 19:59:59.915672+00:00,21.53,62.0,21.88,55.0
AMD,2025-06-20,C,100.0,,,2025-06-13 19:56:00.014021+00:00,16.2,2.0,2025-06-13 19:59:59.635078+00:00,16.09,14.0,16.2,11.0
AMD,2025-06-20,C,105.0,0.5878,delta=0.9374 gamma=0.0154 rho=0.0133 theta=-0.11 vega=0.0168,2025-06-13 19:50:18.597377+00:00,11.7,1.0,2025-06-13 19:59:59.023300+00:00,11.42,9.0,11.83,10.0
AMD,2025-06-20,C,106.0,0.4345,delta=0.9691 gamma=0.0118 rho=0.014 theta=-0.0534 vega=0.0095,2025-06-13 19:43:06.228404+00:00,10.55,1.0,2025-06-13 19:59:59.044519+00:00,10.25,23.0,10.7,6.0
AMD,2025-06-20,C,107.0,0.3871,delta=0.9701 gamma=0.0129 rho=0.0142 theta=-0.0479 vega=0.0092,2025-06-13 19:53:03.587849+00:00,9.55,1.0,2025-06-13 19:59:59.006860+00:00,9.38,10.0,9.55,7.0
AMD,2025-06-20,C,108.0,0.5233,delta=0.8952 gamma=0.0255 rho=0.0131 theta=-0.1406 vega=0.0247,2025-06-13 19:54:46.998737+00:00,8.72,1.0,2025-06-13 19:59:59.791962+00:00,8.62,12.0,8.92,22.0
AMD,2025-06-20,C,109.0,0.437,delta=0.9051 gamma=0.0284 rho=0.0134 theta=-0.112 vega=0.023,2025-06-13 19:51:51.575939+00:00,7.61,1.0,2025-06-13 19:59:58.716247+00:00,7.609,9.0,7.74,98.0
AMD,2025-06-20,C,110.0,0.4717,delta=0.8539 gamma=0.0357 rho=0.0127 theta=-0.1581 vega=0.0312,2025-06-13 19:59:36.917324+00:00,6.83,1.0,2025-06-13 19:59:59.034306+00:00,6.7,29.0,7.1,35.0
AMD,2025-06-20,C,111.0,0.4878,delta=0.8056 gamma=0.0414 rho=0.012 theta=-0.1931 vega=0.0375,2025-06-13 19:54:33.846172+00:00,6.09,10.0,2025-06-13 19:59:59.245674+00:00,6.09,6.0,6.19,36.0
AMD,2025-06-20,C,112.0,0.4395,delta=0.7812 gamma=0.0493 rho=0.0117 theta=-0.1867 vega=0.0402,2025-06-13 19:56:00.027853+00:00,5.15,1.0,2025-06-13 19:59:59.679028+00:00,5.08,19.0,5.27,14.0
AMD,2025-06-20,C,113.0,0.4423,delta=0.7257 gamma=0.0553 rho=0.011 theta=-0.2101 vega=0.0454,2025-06-13 19:55:57.233198+00:00,4.45,1.0,2025-06-13 19:59:59.747857+00:00,4.37,41.0,4.53,24.0
AMD,2025-06-20,C,114.0,0.4378,delta=0.6677 gamma=0.0609 rho=0.0101 theta=-0.2252 vega=0.0494,2025-06-13 19:59:32.786382+00:00,3.75,1.0,2025-06-13 19:59:59.918524+00:00,3.66,39.0,3.84,45.0
AMD,2025-06-20,C,115.0,0.4247,delta=0.6063 gamma=0.0665 rho=0.0092 theta=-0.2304 vega=0.0524,2025-06-13 19:59:59.136389+00:00,3.09,1.0,2025-06-13 19:59:59.631414+00:00,3.0,238.0,3.13,83.0
AMD,2025-06-20,C,116.0,0.4297,delta=0.5379 gamma=0.0679 rho=0.0082 theta=-0.2395 vega=0.0541,2025-06-13 19:59:55.133451+00:00,2.53,2.0,2025-06-13 19:59:59.606780+00:00,2.52,15.0,2.56,14.0
AMD,2025-06-20,C,117.0,0.4165,delta=0.4683 gamma=0.0701 rho=0.0072 theta=-0.2318 vega=0.0542,2025-06-13 19:59:56.446292+00:00,2.0,1.0,2025-06-13 19:59:59.283805+00:00,1.97,152.0,2.0,22.0
AMD,2025-06-20,C,118.0,0.4174,delta=0.3999 gamma=0.068 rho=0.0062 theta=-0.2249 vega=0.0526,2025-06-13 19:59:49.761298+00:00,1.57,3.0,2025-06-13 19:59:59.884909+00:00,1.54,1.0,1.61,16.0
