underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
AMSC,2025-06-20,C,5.0,,,,,,2025-06-13 19:59:55.148082+00:00,23.29,46.0,26.05,10.0
AMSC,2025-06-20,C,10.0,,,2025-04-04 14:57:13.237600+00:00,5.83,5.0,2025-06-13 19:59:57.018344+00:00,17.81,53.0,21.19,7.0
AMSC,2025-06-20,C,11.0,,,,,,2025-06-13 19:59:40.565415+00:00,17.02,43.0,20.14,7.0
AMSC,2025-06-20,C,12.0,,,2025-03-31 16:56:31.246668+00:00,6.6,1.0,2025-06-13 19:59:21.864724+00:00,16.26,43.0,19.19,11.0
AMSC,2025-06-20,C,13.0,,,,,,2025-06-13 19:59:21.865089+00:00,15.28,44.0,18.36,11.0
AMSC,2025-06-20,C,14.0,,,2025-06-03 19:44:30.886288+00:00,15.9,1.0,2025-06-13 19:59:41.297581+00:00,14.15,265.0,16.41,71.0
AMSC,2025-06-20,C,15.0,,,2025-04-09 17:18:52.386567+00:00,4.67,2.0,2025-06-13 19:58:21.882054+00:00,13.119,43.0,16.66,5.0
AMSC,2025-06-20,C,16.0,,,2025-06-11 19:25:55.190115+00:00,14.1,1.0,2025-06-13 19:59:34.958656+00:00,12.02,104.0,15.28,7.0
AMSC,2025-06-20,C,17.0,,,2025-05-08 15:12:39.681336+00:00,4.9,3.0,2025-06-13 19:59:49.920731+00:00,10.98,193.0,13.719,82.0
AMSC,2025-06-20,C,18.0,,,2025-06-11 13:45:50.283978+00:00,10.5,1.0,2025-06-13 19:59:34.948206+00:00,10.06,150.0,13.66,7.0
AMSC,2025-06-20,C,19.0,,,2025-05-22 16:33:51.286366+00:00,5.45,1.0,2025-06-13 19:59:50.522331+00:00,9.12,184.0,12.38,6.0
AMSC,2025-06-20,C,20.0,,,2025-06-13 16:32:53.418977+00:00,10.0,15.0,2025-06-13 19:59:59.086444+00:00,9.29,112.0,9.56,27.0
AMSC,2025-06-20,C,21.0,,,2025-06-13 18:15:14.658525+00:00,9.13,3.0,2025-06-13 19:59:59.150166+00:00,8.07,47.0,8.6,32.0
AMSC,2025-06-20,C,22.0,,,2025-06-09 15:10:54.159743+00:00,9.97,2.0,2025-06-13 19:59:58.319245+00:00,7.35,17.0,7.52,24.0
AMSC,2025-06-20,C,23.0,,,2025-06-13 15:23:16.461667+00:00,6.9,3.0,2025-06-13 19:59:59.315295+00:00,6.29,213.0,7.12,206.0
AMSC,2025-06-20,C,24.0,,,2025-06-12 16:13:27.581648+00:00,5.69,3.0,2025-06-13 19:59:56.161041+00:00,5.33,17.0,6.959,180.0
AMSC,2025-06-20,C,25.0,1.242,delta=0.8734 gamma=0.0489 rho=0.0029 theta=-0.0906 vega=0.0071,2025-06-13 18:33:12.854372+00:00,4.75,1.0,2025-06-13 19:59:59.315295+00:00,4.36,56.0,4.62,68.0
AMSC,2025-06-20,C,26.0,1.0292,delta=0.8475 gamma=0.067 rho=0.0029 theta=-0.0854 vega=0.0081,2025-06-12 14:22:31.594204+00:00,3.47,15.0,2025-06-13 19:59:59.315295+00:00,3.45,6.0,3.55,14.0
AMSC,2025-06-20,C,27.0,0.8683,delta=0.795 gamma=0.0958 rho=0.0028 theta=-0.0867 vega=0.0097,2025-06-13 13:30:10.649353+00:00,2.35,1.0,2025-06-13 19:59:59.466735+00:00,1.98,277.0,3.15,193.0
AMSC,2025-06-20,C,28.0,0.8436,delta=0.6833 gamma=0.1235 rho=0.0025 theta=-0.1048 vega=0.0122,2025-06-13 19:57:30.732639+00:00,1.9,2.0,2025-06-13 19:59:59.070451+00:00,1.73,7.0,1.93,27.0
AMSC,2025-06-20,C,29.0,0.8756,delta=0.548 gamma=0.1324 rho=0.002 theta=-0.1202 vega=0.0135,2025-06-13 18:05:49.239364+00:00,1.77,1.0,2025-06-13 19:59:58.515623+00:00,1.17,5.0,1.42,87.0
AMSC,2025-06-20,C,30.0,0.797,delta=0.405 gamma=0.1423 rho=0.0015 theta=-0.1068 vega=0.0132,2025-06-13 19:12:40.452325+00:00,0.78,2.0,2025-06-13 19:59:59.364477+00:00,0.63,48.0,0.869,38.0
AMSC,2025-06-20,C,31.0,0.8197,delta=0.2833 gamma=0.1209 rho=0.0011 theta=-0.0957 vega=0.0116,2025-06-13 17:50:34.949672+00:00,0.8,2.0,2025-06-13 19:59:57.781323+00:00,0.42,24.0,0.52,56.0
AMSC,2025-06-20,C,32.0,0.8061,delta=0.1786 gamma=0.0948 rho=0.0007 theta=-0.0725 vega=0.0089,2025-06-13 19:52:37.246865+00:00,0.25,4.0,2025-06-13 19:59:59.637162+00:00,0.18,34.0,0.33,52.0
AMSC,2025-06-20,C,33.0,0.7983,delta=0.1038 gamma=0.0661 rho=0.0004 theta=-0.0495 vega=0.0062,2025-06-13 15:49:58.649775+00:00,0.28,2.0,2025-06-13 19:59:59.390479+00:00,0.08,50.0,0.18,43.0
AMSC,2025-06-20,C,34.0,1.0027,delta=0.1082 gamma=0.0543 rho=0.0004 theta=-0.064 vega=0.0063,2025-06-13 15:50:57.015365+00:00,0.18,2.0,2025-06-13 19:59:59.638259+00:00,0.07,1.0,0.27,33.0
AMSC,2025-06-20,C,35.0,1.224,delta=0.1168 gamma=0.0469 rho=0.0004 theta=-0.0824 vega=0.0067,2025-06-12 19:43:01.205910+00:00,0.05,15.0,2025-06-13 19:59:30.005406+00:00,0.03,1.0,0.42,207.0
AMSC,2025-06-20,C,36.0,,,2025-06-13 13:43:32.195504+00:00,0.07,1.0,2025-06-13 19:59:55.858245+00:00,0.0,0.0,1.019,46.0
AMSC,2025-06-20,C,37.0,,,2025-06-11 19:44:33.577815+00:00,0.15,5.0,2025-06-13 19:56:24.916659+00:00,0.0,0.0,0.18,77.0
AMSC,2025-06-20,C,38.0,,,2025-06-10 16:19:06.921407+00:00,0.4,1.0,2025-06-13 19:58:45.522953+00:00,0.0,0.0,0.52,250.0
AMSC,2025-06-20,C,39.0,,,2025-06-13 15:00:08.931518+00:00,0.03,3.0,2025-06-13 19:59:59.448563+00:00,0.0,0.0,0.27,198.0
AMSC,2025-06-20,C,40.0,,,2025-06-11 13:44:03.370799+00:00,0.08,1.0,2025-06-13 19:59:52.764090+00:00,0.0,0.0,0.229,193.0
AMSC,2025-06-20,C,41.0,,,2025-05-08 15:24:17.194382+00:00,0.1,1.0,2025-06-13 19:56:30.785209+00:00,0.0,0.0,1.33,62.0
AMSC,2025-06-20,C,42.0,,,2025-02-18 18:17:45.383390+00:00,3.0,1.0,2025-06-13 19:59:54.111966+00:00,0.0,0.0,0.98,23.0
AMSC,2025-06-20,C,43.0,,,2025-02-28 15:38:18.772206+00:00,0.55,2.0,2025-06-13 19:59:40.565391+00:00,0.0,0.0,1.28,54.0
AMSC,2025-06-20,C,44.0,,,,,,2025-06-13 19:56:08.254538+00:00,0.0,0.0,1.17,30.0
AMSC,2025-06-20,C,45.0,,,2025-06-11 13:30:01.908973+00:00,0.03,7.0,2025-06-13 19:59:54.913377+00:00,0.0,0.0,0.28,31.0
AMSC,2025-06-20,C,46.0,,,,,,2025-06-13 19:59:54.913377+00:00,0.0,0.0,1.17,95.0
AMSC,2025-06-20,C,47.0,,,2025-03-03 20:55:29.036387+00:00,0.25,4.0,2025-06-13 19:59:54.922158+00:00,0.0,0.0,1.17,250.0
AMSC,2025-06-20,C,48.0,,,,,,2025-06-13 19:59:54.995317+00:00,0.0,0.0,1.17,91.0
