underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
AMZN,2025-06-20,C,45.0,,,2025-06-13 17:27:17.451378+00:00,168.48,1.0,2025-06-13 19:59:59.716060+00:00,164.43,12.0,164.83,12.0
AMZN,2025-06-20,C,50.0,,,2025-06-13 18:57:11.971386+00:00,162.5,1.0,2025-06-13 19:59:59.767573+00:00,160.85,16.0,161.35,21.0
AMZN,2025-06-20,C,55.0,,,2025-06-03 19:26:33.430479+00:00,150.45,1.0,2025-06-13 19:59:59.815712+00:00,159.24,180.0,160.59,116.0
AMZN,2025-06-20,C,60.0,,,2025-06-06 19:01:22.777725+00:00,152.28,2.0,2025-06-13 19:59:59.519010+00:00,152.25,20.0,153.3,5.0
AMZN,2025-06-20,C,65.0,,,2025-06-04 14:06:53.659371+00:00,142.18,1.0,2025-06-13 19:59:59.530127+00:00,148.52,98.0,149.26,105.0
AMZN,2025-06-20,C,70.0,,,2025-06-09 17:00:53.865415+00:00,148.08,11.0,2025-06-13 19:59:59.435666+00:00,144.09,10.0,144.59,22.0
AMZN,2025-06-20,C,75.0,,,2025-06-10 18:41:18.134315+00:00,142.48,2.0,2025-06-13 19:59:59.527596+00:00,138.18,165.0,139.93,150.0
AMZN,2025-06-20,C,80.0,,,2025-06-11 17:09:58.707588+00:00,136.0,1.0,2025-06-13 19:59:59.857573+00:00,129.43,154.0,135.36,26.0
AMZN,2025-06-20,C,85.0,,,2025-06-09 14:36:01.936562+00:00,130.259,1.0,2025-06-13 19:59:58.714382+00:00,129.18,20.0,129.88,1.0
AMZN,2025-06-20,C,90.0,,,2025-06-10 15:14:34.944721+00:00,125.86,1.0,2025-06-13 19:59:59.736424+00:00,120.92,5.0,122.859,4.0
AMZN,2025-06-20,C,95.0,,,2025-06-11 18:12:17.595780+00:00,119.72,1.0,2025-06-13 19:59:59.725252+00:00,118.89,36.0,119.69,11.0
AMZN,2025-06-20,C,100.0,,,2025-06-13 19:35:46.882633+00:00,112.52,2.0,2025-06-13 19:59:59.864820+00:00,109.73,20.0,112.5,2.0
AMZN,2025-06-20,C,105.0,,,2025-06-13 17:01:22.160025+00:00,109.0,1.0,2025-06-13 19:59:59.686730+00:00,108.959,35.0,109.809,116.0
AMZN,2025-06-20,C,110.0,,,2025-06-13 16:48:31.013962+00:00,103.67,1.0,2025-06-13 19:59:59.488272+00:00,101.2,12.0,101.7,10.0
AMZN,2025-06-20,C,115.0,,,2025-06-10 15:43:48.985212+00:00,99.77,4.0,2025-06-13 19:59:59.765353+00:00,96.77,17.0,97.13,20.0
AMZN,2025-06-20,C,120.0,,,2025-06-12 19:55:00.004892+00:00,94.24,14.0,2025-06-13 19:59:59.864488+00:00,92.42,33.0,92.82,5.0
AMZN,2025-06-20,C,125.0,,,2025-06-13 17:39:23.730587+00:00,89.05,10.0,2025-06-13 19:59:58.926608+00:00,86.35,8.0,87.66,20.0
AMZN,2025-06-20,C,130.0,,,2025-06-13 18:15:36.845032+00:00,83.94,1.0,2025-06-13 19:59:59.540902+00:00,82.84,15.0,83.24,26.0
AMZN,2025-06-20,C,135.0,,,2025-06-13 18:15:36.870501+00:00,76.26,3.0,2025-06-13 19:59:59.552079+00:00,76.43,10.0,77.63,6.0
AMZN,2025-06-20,C,140.0,,,2025-06-13 19:56:31.340211+00:00,71.89,1.0,2025-06-13 19:59:59.553973+00:00,71.28,25.0,73.07,14.0
AMZN,2025-06-20,C,145.0,,,2025-06-13 18:04:14.526962+00:00,67.95,1.0,2025-06-13 19:59:59.811297+00:00,66.05,4.0,68.26,5.0
AMZN,2025-06-20,C,150.0,,,2025-06-13 16:32:35.012361+00:00,63.8,2.0,2025-06-13 19:59:59.497358+00:00,60.59,42.0,61.52,93.0
AMZN,2025-06-20,C,155.0,,,2025-06-13 15:08:10.087275+00:00,58.979,1.0,2025-06-13 19:59:59.841278+00:00,58.21,25.0,58.56,20.0
