underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
APP,2025-06-20,C,105.0,,,2025-04-30 13:50:00.616636+00:00,158.0,1.0,2025-06-13 19:59:51.160098+00:00,258.019,27.0,262.19,12.0
APP,2025-06-20,C,110.0,,,2025-06-11 19:14:43.895392+00:00,274.07,1.0,2025-06-13 19:59:49.279461+00:00,246.46,25.0,256.819,21.0
APP,2025-06-20,C,115.0,,,,,,2025-06-13 19:59:51.158063+00:00,245.78,32.0,257.48,12.0
APP,2025-06-20,C,120.0,,,,,,2025-06-13 19:59:51.071783+00:00,243.54,27.0,243.69,12.0
APP,2025-06-20,C,125.0,,,2025-05-23 13:32:28.366488+00:00,219.0,1.0,2025-06-13 19:59:51.092898+00:00,233.05,32.0,244.29,12.0
APP,2025-06-20,C,130.0,,,,,,2025-06-13 19:59:51.082093+00:00,227.969,32.0,235.04,12.0
APP,2025-06-20,C,135.0,,,,,,2025-06-13 19:59:49.276764+00:00,223.35,32.0,234.58,13.0
APP,2025-06-20,C,140.0,,,,,,2025-06-13 19:59:49.291775+00:00,216.91,27.0,228.41,13.0
APP,2025-06-20,C,145.0,,,2025-05-06 13:41:14.727349+00:00,156.5,1.0,2025-06-13 19:59:49.268495+00:00,214.39,25.0,220.169,22.0
APP,2025-06-20,C,150.0,,,2025-04-08 17:13:17.872677+00:00,100.27,3.0,2025-06-13 19:59:51.085646+00:00,207.18,27.0,216.43,13.0
APP,2025-06-20,C,155.0,,,2025-05-08 13:31:58.775936+00:00,190.7,1.0,2025-06-13 19:59:49.300881+00:00,206.43,27.0,208.89,22.0
APP,2025-06-20,C,160.0,,,2025-05-30 17:14:56.098490+00:00,217.5,1.0,2025-06-13 19:59:49.288940+00:00,203.14,25.0,206.169,22.0
APP,2025-06-20,C,165.0,,,2025-05-15 16:12:07.683861+00:00,198.93,1.0,2025-06-13 19:59:49.276764+00:00,196.49,25.0,205.94,22.0
APP,2025-06-20,C,170.0,,,2025-06-13 18:15:06.310405+00:00,195.8,1.0,2025-06-13 19:59:49.288940+00:00,187.4,25.0,195.38,22.0
APP,2025-06-20,C,175.0,,,2025-05-01 16:25:58.157364+00:00,114.81,1.0,2025-06-13 19:59:49.286517+00:00,185.64,25.0,192.98,22.0
APP,2025-06-20,C,180.0,,,2025-03-11 18:51:23.230562+00:00,95.91,2.0,2025-06-13 19:59:59.050168+00:00,176.57,34.0,184.53,12.0
APP,2025-06-20,C,185.0,,,2025-05-09 14:59:52.455660+00:00,150.42,7.0,2025-06-13 19:59:59.050203+00:00,175.82,29.0,182.42,12.0
APP,2025-06-20,C,190.0,,,2025-05-14 14:35:52.117440+00:00,183.21,5.0,2025-06-13 19:59:48.740653+00:00,173.5,24.0,174.45,16.0
APP,2025-06-20,C,195.0,,,2025-05-12 13:39:35.377488+00:00,156.0,1.0,2025-06-13 19:59:49.295178+00:00,161.98,28.0,169.77,19.0
APP,2025-06-20,C,200.0,,,2025-06-13 17:29:56.443142+00:00,169.8,10.0,2025-06-13 19:59:59.511255+00:00,161.68,154.0,166.79,5.0
APP,2025-06-20,C,210.0,,,2025-06-11 19:14:43.895392+00:00,174.22,1.0,2025-06-13 19:59:56.413445+00:00,153.03,23.0,156.16,15.0
APP,2025-06-20,C,220.0,,,2025-06-13 19:01:00.895376+00:00,144.44,1.0,2025-06-13 19:59:58.442235+00:00,138.45,22.0,150.44,13.0
APP,2025-06-20,C,230.0,,,2025-05-27 15:05:19.350398+00:00,139.38,5.0,2025-06-13 19:59:55.501399+00:00,131.89,27.0,139.94,6.0
APP,2025-06-20,C,240.0,,,2025-06-13 18:49:37.498539+00:00,119.22,1.0,2025-06-13 19:59:56.161551+00:00,121.35,38.0,124.63,5.0
APP,2025-06-20,C,250.0,,,2025-06-06 18:33:14.318207+00:00,170.5,1.0,2025-06-13 19:59:59.634652+00:00,108.64,19.0,116.05,5.0
APP,2025-06-20,C,260.0,,,2025-06-13 13:50:07.706302+00:00,116.74,1.0,2025-06-13 19:59:53.003752+00:00,101.81,14.0,107.03,5.0
APP,2025-06-20,C,265.0,,,2025-06-10 14:03:10.043826+00:00,125.0,1.0,2025-06-13 19:59:48.729903+00:00,95.74,9.0,100.79,5.0
APP,2025-06-20,C,270.0,,,2025-06-13 15:59:43.044540+00:00,104.1,1.0,2025-06-13 19:59:59.634249+00:00,89.68,14.0,96.82,5.0
APP,2025-06-20,C,275.0,,,2025-06-06 16:53:25.665712+00:00,147.17,1.0,2025-06-13 19:59:48.729903+00:00,86.05,12.0,91.58,7.0
APP,2025-06-20,C,280.0,,,2025-06-12 16:09:02.390781+00:00,96.94,8.0,2025-06-13 19:59:59.687420+00:00,81.37,13.0,84.98,9.0
