underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
ASML,2025-06-20,C,310.0,,,2025-05-07 18:00:54.130830+00:00,377.32,1.0,2025-06-13 19:55:57.404797+00:00,439.85,15.0,453.839,13.0
ASML,2025-06-20,C,320.0,,,2025-05-06 18:29:16.380416+00:00,364.73,2.0,2025-06-13 19:55:38.881025+00:00,441.239,1.0,451.839,1.0
ASML,2025-06-20,C,330.0,,,2025-05-06 18:29:16.380496+00:00,354.83,2.0,2025-06-13 19:55:38.875597+00:00,427.539,1.0,436.989,1.0
ASML,2025-06-20,C,340.0,,,2025-05-06 16:50:28.875205+00:00,339.73,2.0,2025-06-13 19:59:59.043942+00:00,409.54,12.0,417.42,12.0
ASML,2025-06-20,C,350.0,,,2025-05-09 17:22:29.399913+00:00,358.19,2.0,2025-06-13 19:55:38.884593+00:00,408.13,1.0,415.86,1.0
ASML,2025-06-20,C,360.0,,,2025-05-06 15:27:37.068377+00:00,325.04,2.0,2025-06-13 19:55:44.777644+00:00,392.48,13.0,407.67,13.0
ASML,2025-06-20,C,370.0,,,2025-05-09 17:22:30.341191+00:00,336.72,2.0,2025-06-13 19:59:59.043737+00:00,392.3,12.0,402.1,13.0
ASML,2025-06-20,C,380.0,,,2025-05-07 13:59:15.094996+00:00,309.74,1.0,2025-06-13 19:55:38.882543+00:00,368.43,13.0,379.88,1.0
ASML,2025-06-20,C,390.0,,,2025-05-16 14:22:28.671132+00:00,358.87,2.0,2025-06-13 19:55:38.878373+00:00,372.95,1.0,383.55,1.0
ASML,2025-06-20,C,400.0,,,2025-05-16 19:54:38.834581+00:00,349.4,1.0,2025-06-13 19:59:59.043697+00:00,353.86,12.0,363.99,15.0
ASML,2025-06-20,C,410.0,,,2025-05-07 18:48:21.907387+00:00,286.03,2.0,2025-06-13 19:55:38.879846+00:00,344.02,13.0,361.21,1.0
ASML,2025-06-20,C,420.0,,,2025-05-28 14:51:25.403520+00:00,331.43,2.0,2025-06-13 19:59:10.287170+00:00,341.84,15.0,353.11,13.0
ASML,2025-06-20,C,430.0,,,2025-05-09 15:10:03.298129+00:00,280.11,2.0,2025-06-13 19:59:10.287170+00:00,326.07,13.0,336.38,13.0
ASML,2025-06-20,C,440.0,,,2025-05-12 14:31:08.526985+00:00,294.89,2.0,2025-06-13 19:55:57.406371+00:00,320.54,12.0,328.15,13.0
ASML,2025-06-20,C,450.0,,,2025-06-11 13:35:20.678656+00:00,342.5,1.0,2025-06-13 19:55:38.875581+00:00,304.4,1.0,322.26,1.0
ASML,2025-06-20,C,460.0,,,2025-05-15 19:22:01.566111+00:00,301.48,2.0,2025-06-13 19:58:54.288806+00:00,288.81,12.0,309.51,12.0
ASML,2025-06-20,C,470.0,,,2024-10-21 16:25:15.182214+00:00,263.1,1.0,2025-06-13 19:57:22.858842+00:00,284.09,12.0,301.73,12.0
ASML,2025-06-20,C,480.0,,,2025-06-11 16:47:52.958362+00:00,307.3,2.0,2025-06-13 19:55:38.874233+00:00,271.65,1.0,289.05,1.0
ASML,2025-06-20,C,490.0,,,2025-01-30 16:51:21.523837+00:00,258.2,1.0,2025-06-13 19:58:43.838184+00:00,264.15,12.0,282.04,12.0
ASML,2025-06-20,C,500.0,,,2025-05-27 13:40:34.639193+00:00,254.82,1.0,2025-06-13 19:58:31.028606+00:00,260.04,12.0,269.19,13.0
ASML,2025-06-20,C,510.0,,,2025-05-12 19:35:58.639068+00:00,239.17,8.0,2025-06-13 19:59:10.325525+00:00,241.46,12.0,257.16,12.0
ASML,2025-06-20,C,520.0,,,2025-05-13 15:32:28.904392+00:00,248.86,8.0,2025-06-13 19:59:10.318494+00:00,234.15,12.0,250.18,12.0
ASML,2025-06-20,C,530.0,,,2025-05-15 15:13:56.096225+00:00,238.22,8.0,2025-06-13 19:59:10.318439+00:00,228.319,12.0,243.3,12.0
ASML,2025-06-20,C,540.0,,,2025-05-15 15:15:20.594943+00:00,228.13,8.0,2025-06-13 19:59:10.289605+00:00,218.569,13.0,230.28,12.0
ASML,2025-06-20,C,550.0,,,2025-05-19 17:57:38.014113+00:00,200.7,2.0,2025-06-13 19:59:10.292658+00:00,208.49,11.0,214.84,12.0
ASML,2025-06-20,C,560.0,,,2025-04-08 14:57:33.841130+00:00,97.0,1.0,2025-06-13 19:59:10.292658+00:00,198.09,12.0,212.13,13.0
ASML,2025-06-20,C,570.0,,,2025-06-13 14:39:24.502646+00:00,196.6,1.0,2025-06-13 19:59:10.292658+00:00,184.98,13.0,202.94,13.0
ASML,2025-06-20,C,580.0,,,2025-06-09 14:28:59.822646+00:00,199.91,1.0,2025-06-13 19:59:10.292723+00:00,177.45,13.0,187.97,13.0
