underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
ASTS,2025-06-20,C,10.0,,,2025-06-05 14:19:53.110597+00:00,18.6,3.0,2025-06-13 19:59:51.228897+00:00,27.889,52.0,29.32,52.0
ASTS,2025-06-20,C,11.0,,,2025-06-09 15:21:25.162740+00:00,24.95,1.0,2025-06-13 19:59:51.231533+00:00,26.58,52.0,28.32,52.0
ASTS,2025-06-20,C,12.0,,,2025-06-11 14:41:58.892324+00:00,24.62,1.0,2025-06-13 19:59:51.228702+00:00,25.73,52.0,27.78,52.0
ASTS,2025-06-20,C,13.0,,,2025-06-10 19:05:06.410697+00:00,22.86,1.0,2025-06-13 19:59:57.209447+00:00,24.21,72.0,26.03,71.0
ASTS,2025-06-20,C,14.0,,,2025-06-10 16:30:02.075209+00:00,21.45,1.0,2025-06-13 19:59:58.376232+00:00,24.15,66.0,24.67,59.0
ASTS,2025-06-20,C,15.0,,,2025-06-13 14:59:39.774394+00:00,24.17,2.0,2025-06-13 19:59:51.398666+00:00,22.01,127.0,24.38,121.0
ASTS,2025-06-20,C,16.0,,,2025-06-13 13:42:36.093424+00:00,24.81,8.0,2025-06-13 19:59:56.011534+00:00,21.71,101.0,23.24,95.0
ASTS,2025-06-20,C,17.5,,,2025-06-13 15:20:52.475003+00:00,21.83,1.0,2025-06-13 19:59:57.845483+00:00,20.72,235.0,22.92,436.0
ASTS,2025-06-20,C,18.0,,,2025-06-13 19:59:37.959399+00:00,20.65,5.0,2025-06-13 19:59:58.848146+00:00,20.65,481.0,21.28,386.0
ASTS,2025-06-20,C,19.0,,,2025-06-13 15:25:01.366498+00:00,20.25,5.0,2025-06-13 19:59:51.226937+00:00,17.88,122.0,19.53,74.0
ASTS,2025-06-20,C,20.0,,,2025-06-13 19:53:09.408182+00:00,18.44,5.0,2025-06-13 19:59:58.418237+00:00,18.42,479.0,18.66,122.0
ASTS,2025-06-20,C,21.0,,,2025-06-06 14:18:32.036420+00:00,9.1,1.0,2025-06-13 19:59:57.816719+00:00,16.44,439.0,18.33,343.0
ASTS,2025-06-20,C,21.5,,,2025-06-11 15:32:57.275100+00:00,14.96,1.0,2025-06-13 19:59:52.308147+00:00,16.36,90.0,18.99,59.0
ASTS,2025-06-20,C,22.0,,,2025-06-13 18:27:42.525015+00:00,16.46,1.0,2025-06-13 19:59:55.214545+00:00,16.0,123.0,17.68,132.0
ASTS,2025-06-20,C,22.5,,,2025-06-13 18:37:33.438175+00:00,15.519,5.0,2025-06-13 19:59:59.261385+00:00,15.64,499.0,16.89,214.0
ASTS,2025-06-20,C,23.0,,,2025-06-13 13:49:31.264847+00:00,16.98,1.0,2025-06-13 19:59:58.265703+00:00,14.11,183.0,15.55,33.0
ASTS,2025-06-20,C,23.5,,,2025-06-13 17:58:42.252645+00:00,15.7,1.0,2025-06-13 19:59:56.216682+00:00,14.169,64.0,16.119,119.0
ASTS,2025-06-20,C,24.0,,,2025-06-13 19:54:18.617813+00:00,14.169,2.0,2025-06-13 19:59:56.187763+00:00,14.169,744.0,15.7,490.0
ASTS,2025-06-20,C,24.5,,,2025-06-10 13:37:09.541292+00:00,10.55,1.0,2025-06-13 19:59:57.122866+00:00,12.4,460.0,14.119,12.0
ASTS,2025-06-20,C,25.0,,,2025-06-13 19:07:08.181820+00:00,13.63,10.0,2025-06-13 19:59:57.960747+00:00,13.119,165.0,14.369,486.0
ASTS,2025-06-20,C,25.5,,,2025-06-13 14:25:38.505061+00:00,13.46,1.0,2025-06-13 19:59:57.845472+00:00,12.63,156.0,13.08,21.0
ASTS,2025-06-20,C,26.0,,,2025-06-13 18:50:52.714189+00:00,12.28,2.0,2025-06-13 19:59:57.943967+00:00,12.33,16.0,13.14,510.0
ASTS,2025-06-20,C,26.5,,,2025-06-13 15:27:37.647228+00:00,12.91,1.0,2025-06-13 19:59:56.182111+00:00,12.07,14.0,12.64,297.0
ASTS,2025-06-20,C,27.0,,,2025-06-13 19:28:54.282042+00:00,11.45,5.0,2025-06-13 19:59:56.185453+00:00,11.35,170.0,12.42,514.0
ASTS,2025-06-20,C,27.5,,,2025-06-13 19:06:07.612901+00:00,11.25,3.0,2025-06-13 19:59:56.340558+00:00,10.82,126.0,11.78,471.0
ASTS,2025-06-20,C,28.0,,,2025-06-13 18:45:09.857672+00:00,10.39,4.0,2025-06-13 19:59:54.909619+00:00,9.83,902.0,10.75,21.0
ASTS,2025-06-20,C,28.5,,,2025-06-13 17:14:07.186914+00:00,11.0,2.0,2025-06-13 19:59:57.948538+00:00,9.7,1.0,10.74,298.0
ASTS,2025-06-20,C,29.0,,,2025-06-13 19:04:09.065858+00:00,9.45,1.0,2025-06-13 19:59:56.169500+00:00,9.5,17.0,10.19,349.0
ASTS,2025-06-20,C,29.5,,,2025-06-13 19:01:55.963394+00:00,8.95,1.0,2025-06-13 19:59:57.122214+00:00,7.77,798.0,9.14,157.0
ASTS,2025-06-20,C,30.0,,,2025-06-13 19:58:02.729614+00:00,8.45,3.0,2025-06-13 19:59:59.262038+00:00,8.27,241.0,9.57,520.0
ASTS,2025-06-20,C,30.5,,,2025-06-13 19:59:39.853531+00:00,8.0,2.0,2025-06-13 19:59:59.997895+00:00,7.74,550.0,8.22,13.0
ASTS,2025-06-20,C,31.0,,,2025-06-13 18:27:20.280173+00:00,7.45,15.0,2025-06-13 19:59:58.169695+00:00,7.34,15.0,8.49,483.0
ASTS,2025-06-20,C,31.5,,,2025-06-13 17:29:34.588898+00:00,7.93,1.0,2025-06-13 19:59:59.567284+00:00,6.87,554.0,7.42,127.0
ASTS,2025-06-20,C,32.0,,,2025-06-13 19:26:14.801572+00:00,6.75,2.0,2025-06-13 19:59:54.910411+00:00,6.459,21.0,7.509,565.0
ASTS,2025-06-20,C,32.5,,,2025-06-13 18:50:52.716374+00:00,5.84,2.0,2025-06-13 19:59:59.998086+00:00,6.0,12.0,7.259,323.0
ASTS,2025-06-20,C,33.0,,,2025-06-13 19:53:03.597627+00:00,5.7,2.0,2025-06-13 19:59:58.856786+00:00,5.57,128.0,6.52,380.0
