underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
AXON,2025-06-20,C,140.0,,,2024-10-04 13:31:51.605066+00:00,281.05,1.0,2025-06-13 19:59:58.155866+00:00,639.69,4.0,654.57,4.0
AXON,2025-06-20,C,145.0,,,2025-02-27 14:33:00.373296+00:00,412.13,1.0,2025-06-13 19:59:58.155866+00:00,635.86,4.0,648.18,4.0
AXON,2025-06-20,C,150.0,,,2025-02-18 19:32:05.142466+00:00,558.24,1.0,2025-06-13 19:59:58.155866+00:00,635.41,4.0,645.41,4.0
AXON,2025-06-20,C,155.0,,,2025-02-18 19:32:05.142623+00:00,553.8,1.0,2025-06-13 19:59:58.155861+00:00,618.89,4.0,627.64,4.0
AXON,2025-06-20,C,160.0,,,2025-05-13 18:53:33.467552+00:00,570.1,1.0,2025-06-13 19:59:58.155866+00:00,609.79,4.0,618.06,4.0
AXON,2025-06-20,C,165.0,,,2025-01-06 14:42:54.270862+00:00,412.96,1.0,2025-06-13 19:59:58.155866+00:00,616.07,4.0,619.49,4.0
AXON,2025-06-20,C,170.0,,,2024-06-06 17:21:05.819355+00:00,121.0,1.0,2025-06-13 19:59:58.133507+00:00,604.78,2.0,626.89,4.0
AXON,2025-06-20,C,175.0,,,,,,2025-06-13 19:59:58.155922+00:00,599.46,4.0,606.3,4.0
AXON,2025-06-20,C,180.0,,,2025-06-04 18:16:28.146989+00:00,590.9,2.0,2025-06-13 19:59:58.155866+00:00,598.61,4.0,601.04,4.0
AXON,2025-06-20,C,185.0,,,2025-06-02 18:36:53.589219+00:00,571.4,1.0,2025-06-13 19:59:58.133368+00:00,594.07,2.0,603.97,4.0
AXON,2025-06-20,C,190.0,,,2025-06-02 15:39:17.667360+00:00,568.07,1.0,2025-06-13 19:59:58.155866+00:00,594.78,4.0,605.97,4.0
AXON,2025-06-20,C,195.0,,,2025-05-20 19:56:18.834287+00:00,546.81,1.0,2025-06-13 19:59:58.155922+00:00,577.98,4.0,599.24,4.0
AXON,2025-06-20,C,200.0,,,2025-03-06 20:30:00.008695+00:00,302.75,2.0,2025-06-13 19:59:58.133733+00:00,574.99,3.0,593.6,1.0
AXON,2025-06-20,C,210.0,,,2025-06-04 18:48:36.245924+00:00,572.74,1.0,2025-06-13 19:59:58.156182+00:00,575.65,4.0,584.0,4.0
AXON,2025-06-20,C,220.0,,,2024-12-11 19:10:38.084355+00:00,431.64,3.0,2025-06-13 19:59:58.156182+00:00,562.12,4.0,572.12,4.0
