underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
BROS,2025-06-20,C,30.0,,,,,,2025-06-13 19:59:46.754908+00:00,36.93,40.0,39.91,42.0
BROS,2025-06-20,C,32.5,,,2025-06-10 13:47:36.448004+00:00,40.04,5.0,2025-06-13 19:59:57.550112+00:00,34.29,42.0,37.3,42.0
BROS,2025-06-20,C,35.0,,,,,,2025-06-13 19:57:35.371154+00:00,32.75,42.0,34.23,42.0
BROS,2025-06-20,C,37.5,,,,,,2025-06-13 19:59:57.550112+00:00,29.73,42.0,30.6,6.0
BROS,2025-06-20,C,40.0,,,2025-04-23 13:34:03.480444+00:00,22.64,15.0,2025-06-13 19:59:58.133586+00:00,26.93,59.0,29.46,61.0
BROS,2025-06-20,C,42.5,,,2025-05-21 19:17:12.913043+00:00,22.99,1.0,2025-06-13 19:59:49.277712+00:00,24.56,42.0,27.41,42.0
BROS,2025-06-20,C,45.0,,,2025-05-13 16:23:03.763922+00:00,25.63,1.0,2025-06-13 19:59:57.401641+00:00,22.57,50.0,23.76,15.0
BROS,2025-06-20,C,47.5,,,,,,2025-06-13 19:58:53.672970+00:00,19.25,1.0,21.37,1.0
BROS,2025-06-20,C,50.0,,,2025-06-02 19:52:09.905964+00:00,21.74,1.0,2025-06-13 19:59:59.339219+00:00,17.8,54.0,18.65,9.0
BROS,2025-06-20,C,52.5,,,2025-06-05 13:38:50.512944+00:00,24.2,3.0,2025-06-13 19:59:59.447913+00:00,15.11,32.0,16.03,11.0
BROS,2025-06-20,C,54.0,,,,,,2025-06-13 19:59:59.447913+00:00,13.719,31.0,14.25,7.0
BROS,2025-06-20,C,55.0,,,2025-06-13 14:52:04.510472+00:00,12.84,1.0,2025-06-13 19:59:59.309623+00:00,12.76,11.0,13.54,66.0
BROS,2025-06-20,C,56.0,0.6482,delta=0.9958 gamma=0.0024 rho=0.0076 theta=-0.013 vega=0.001,,,,2025-06-13 19:59:57.324767+00:00,11.53,44.0,12.83,66.0
BROS,2025-06-20,C,57.0,1.3273,delta=0.8908 gamma=0.0177 rho=0.0067 theta=-0.2038 vega=0.0149,2025-06-10 13:53:33.397462+00:00,15.819,1.0,2025-06-13 19:59:57.207097+00:00,10.87,36.0,12.67,64.0
BROS,2025-06-20,C,57.5,0.703,delta=0.9826 gamma=0.0077 rho=0.0077 theta=-0.0307 vega=0.0034,2025-06-03 13:30:54.585140+00:00,14.469,6.0,2025-06-13 19:59:51.134006+00:00,10.38,25.0,11.04,6.0
BROS,2025-06-20,C,58.0,0.5989,delta=0.9904 gamma=0.0054 rho=0.0078 theta=-0.019 vega=0.002,2025-05-22 18:45:36.812055+00:00,10.3,5.0,2025-06-13 19:59:47.060571+00:00,9.92,1.0,10.46,12.0
BROS,2025-06-20,C,59.0,,,,,,2025-06-13 19:59:40.495683+00:00,8.25,8.0,9.92,11.0
BROS,2025-06-20,C,60.0,,,2025-06-13 14:35:06.702535+00:00,7.25,6.0,2025-06-13 19:59:50.711569+00:00,7.52,14.0,8.27,8.0
BROS,2025-06-20,C,60.5,,,2025-05-28 17:28:39.837145+00:00,11.0,1.0,2025-06-13 19:59:14.219465+00:00,6.62,9.0,8.7,20.0
BROS,2025-06-20,C,61.0,0.8281,delta=0.8843 gamma=0.0295 rho=0.0072 theta=-0.135 vega=0.0155,,,,2025-06-13 19:59:51.154119+00:00,6.58,9.0,8.55,10.0
BROS,2025-06-20,C,61.5,0.7003,delta=0.903 gamma=0.0307 rho=0.0075 theta=-0.1023 vega=0.0137,,,,2025-06-13 19:59:30.297350+00:00,6.0,9.0,7.88,20.0
