underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
CELH,2025-06-20,C,12.5,,,2025-05-13 18:36:30.508182+00:00,24.74,1.0,2025-06-13 19:59:58.397455+00:00,26.989,101.0,30.92,101.0
CELH,2025-06-20,C,15.0,,,2025-05-14 16:04:25.897422+00:00,24.42,1.0,2025-06-13 19:59:47.967433+00:00,25.76,31.0,26.88,75.0
CELH,2025-06-20,C,17.5,,,2025-05-29 18:46:14.965541+00:00,18.5,4.0,2025-06-13 19:59:59.406284+00:00,22.44,149.0,24.32,56.0
CELH,2025-06-20,C,20.0,,,2025-06-13 18:22:12.593025+00:00,20.78,1.0,2025-06-13 19:59:57.426059+00:00,20.33,560.0,20.9,17.0
CELH,2025-06-20,C,22.5,,,2025-06-13 14:14:36.101459+00:00,18.4,1.0,2025-06-13 19:59:55.899585+00:00,18.64,6.0,18.94,17.0
CELH,2025-06-20,C,25.0,,,2025-06-11 18:50:47.910769+00:00,17.09,1.0,2025-06-13 19:59:58.335969+00:00,15.969,14.0,16.87,375.0
CELH,2025-06-20,C,27.5,,,2025-06-13 17:41:27.668635+00:00,13.49,1.0,2025-06-13 19:59:56.334909+00:00,13.39,18.0,13.58,11.0
CELH,2025-06-20,C,30.0,,,2025-06-13 18:05:12.549999+00:00,10.95,1.0,2025-06-13 19:59:57.170450+00:00,10.88,22.0,11.58,26.0
CELH,2025-06-20,C,31.0,,,2025-06-10 15:16:44.866281+00:00,11.84,2.0,2025-06-13 19:59:55.997709+00:00,9.8,7.0,11.45,116.0
CELH,2025-06-20,C,32.0,,,2025-06-13 18:00:02.863644+00:00,9.03,1.0,2025-06-13 19:59:56.351658+00:00,8.95,5.0,10.1,105.0
CELH,2025-06-20,C,32.5,,,2025-06-13 19:59:59.621397+00:00,8.72,1.0,2025-06-13 19:59:59.452514+00:00,8.68,23.0,8.72,1.0
CELH,2025-06-20,C,33.0,,,2025-06-13 14:18:16.182323+00:00,7.67,1.0,2025-06-13 19:59:56.345308+00:00,7.99,6.0,8.22,8.0
CELH,2025-06-20,C,33.5,,,2025-06-12 19:42:13.261448+00:00,8.6,5.0,2025-06-13 19:59:56.338887+00:00,7.02,114.0,8.43,114.0
CELH,2025-06-20,C,34.0,,,2025-06-11 17:44:25.098836+00:00,8.59,1.0,2025-06-13 19:59:59.008280+00:00,6.07,184.0,8.44,162.0
CELH,2025-06-20,C,34.5,1.3313,delta=0.881 gamma=0.0312 rho=0.004 theta=-0.1303 vega=0.0095,2025-06-09 18:23:32.339051+00:00,8.03,1.0,2025-06-13 19:59:56.334663+00:00,5.91,395.0,7.809,405.0
CELH,2025-06-20,C,35.0,1.1781,delta=0.8869 gamma=0.034 rho=0.0041 theta=-0.1118 vega=0.0092,2025-06-13 17:31:49.954991+00:00,6.16,1.0,2025-06-13 19:59:55.899585+00:00,6.18,19.0,6.4,15.0
CELH,2025-06-20,C,35.5,1.1366,delta=0.8734 gamma=0.0381 rho=0.0041 theta=-0.1166 vega=0.01,2025-06-11 19:19:43.149695+00:00,6.47,15.0,2025-06-13 19:59:56.334904+00:00,5.73,11.0,5.92,35.0
CELH,2025-06-20,C,36.0,0.887,delta=0.9026 gamma=0.0405 rho=0.0044 theta=-0.0769 vega=0.0083,2025-06-13 19:36:25.999392+00:00,5.17,8.0,2025-06-13 19:59:59.177729+00:00,5.13,14.0,5.2,18.0
CELH,2025-06-20,C,36.5,0.9364,delta=0.866 gamma=0.0481 rho=0.0042 theta=-0.1005 vega=0.0104,2025-06-13 14:52:22.578384+00:00,4.35,1.0,2025-06-13 19:59:56.335098+00:00,4.74,21.0,4.82,36.0
CELH,2025-06-20,C,37.0,0.951,delta=0.834 gamma=0.0547 rho=0.0041 theta=-0.1171 vega=0.0119,2025-06-13 13:58:02.076337+00:00,4.05,4.0,2025-06-13 19:59:59.405286+00:00,4.22,13.0,4.55,142.0
CELH,2025-06-20,C,37.5,0.8322,delta=0.8304 gamma=0.0634 rho=0.0041 theta=-0.1043 vega=0.0121,2025-06-13 19:27:26.144923+00:00,3.57,1.0,2025-06-13 19:59:59.596492+00:00,3.81,16.0,3.87,33.0
CELH,2025-06-20,C,38.0,0.7306,delta=0.8215 gamma=0.0746 rho=0.0042 theta=-0.095 vega=0.0125,2025-06-13 18:46:29.298108+00:00,3.1,1.0,2025-06-13 19:59:59.026900+00:00,3.229,20.0,3.4,31.0
CELH,2025-06-20,C,38.5,0.7607,delta=0.7708 gamma=0.0832 rho=0.0039 theta=-0.1138 vega=0.0145,2025-06-13 18:29:28.768638+00:00,2.56,2.0,2025-06-13 19:59:58.793759+00:00,2.77,27.0,3.17,356.0
CELH,2025-06-20,C,39.0,0.7192,delta=0.7343 gamma=0.0952 rho=0.0038 theta=-0.1163 vega=0.0157,2025-06-13 19:58:41.060708+00:00,2.54,1.0,2025-06-13 19:59:59.111571+00:00,2.42,12.0,2.67,254.0
CELH,2025-06-20,C,39.5,0.6418,delta=0.6992 gamma=0.1132 rho=0.0036 theta=-0.1102 vega=0.0167,2025-06-13 19:03:16.192834+00:00,1.87,99.0,2025-06-13 19:59:59.962419+00:00,2.02,6.0,2.13,16.0
CELH,2025-06-20,C,40.0,0.6419,delta=0.6386 gamma=0.1218 rho=0.0033 theta=-0.1181 vega=0.018,2025-06-13 19:59:51.679967+00:00,1.75,5.0,2025-06-13 19:59:59.595264+00:00,1.72,5.0,1.789,32.0
CELH,2025-06-20,C,40.5,0.6175,delta=0.5768 gamma=0.1323 rho=0.003 theta=-0.1185 vega=0.0188,2025-06-13 19:48:12.010730+00:00,1.4,175.0,2025-06-13 19:59:59.249239+00:00,1.4,19.0,1.44,29.0
CELH,2025-06-20,C,41.0,0.5925,delta=0.5088 gamma=0.1405 rho=0.0027 theta=-0.1156 vega=0.0191,2025-06-13 19:52:38.064113+00:00,1.14,3.0,2025-06-13 19:59:58.729095+00:00,1.08,28.0,1.15,32.0
CELH,2025-06-20,C,41.5,0.5835,delta=0.438 gamma=0.141 rho=0.0023 theta=-0.1122 vega=0.0189,2025-06-13 19:57:11.388107+00:00,0.9,2.0,2025-06-13 19:59:59.070699+00:00,0.84,9.0,0.91,10.0
CELH,2025-06-20,C,42.0,0.5966,delta=0.3734 gamma=0.1325 rho=0.002 theta=-0.11 vega=0.0181,2025-06-13 19:58:51.708783+00:00,0.69,3.0,2025-06-13 19:59:59.545280+00:00,0.69,11.0,0.73,3.0
CELH,2025-06-20,C,42.5,0.5867,delta=0.3079 gamma=0.1251 rho=0.0017 theta=-0.1003 vega=0.0169,2025-06-13 19:58:23.851984+00:00,0.51,106.0,2025-06-13 19:59:56.090856+00:00,0.49,57.0,0.58,101.0
CELH,2025-06-20,C,43.0,0.5719,delta=0.2447 gamma=0.1147 rho=0.0013 theta=-0.0872 vega=0.0151,2025-06-13 19:39:39.410234+00:00,0.36,1.0,2025-06-13 19:59:59.610716+00:00,0.36,4.0,0.409,73.0
CELH,2025-06-20,C,43.5,0.5981,delta=0.2052 gamma=0.0992 rho=0.0011 theta=-0.0824 vega=0.0136,2025-06-13 19:52:41.740712+00:00,0.29,2.0,2025-06-13 19:59:59.609748+00:00,0.31,8.0,0.33,10.0
CELH,2025-06-20,C,44.0,0.604,delta=0.1646 gamma=0.0856 rho=0.0009 theta=-0.0725 vega=0.0119,2025-06-13 19:58:59.278833+00:00,0.229,2.0,2025-06-13 19:59:59.038953+00:00,0.229,71.0,0.26,6.0
CELH,2025-06-20,C,44.5,0.6095,delta=0.1303 gamma=0.0726 rho=0.0007 theta=-0.0625 vega=0.0102,2025-06-13 19:54:30.472422+00:00,0.17,2.0,2025-06-13 19:59:59.106304+00:00,0.17,48.0,0.2,2.0
CELH,2025-06-20,C,45.0,0.6044,delta=0.098 gamma=0.0597 rho=0.0005 theta=-0.0505 vega=0.0083,2025-06-13 19:56:19.490358+00:00,0.14,1.0,2025-06-13 19:59:56.335690+00:00,0.09,46.0,0.17,5.0
CELH,2025-06-20,C,45.5,0.5767,delta=0.064 gamma=0.0453 rho=0.0003 theta=-0.0349 vega=0.006,2025-06-13 18:31:53.741121+00:00,0.08,1.0,2025-06-13 19:59:56.335515+00:00,0.06,301.0,0.09,10.0
CELH,2025-06-20,C,46.0,0.6137,delta=0.0572 gamma=0.039 rho=0.0003 theta=-0.034 vega=0.0055,2025-06-13 19:56:06.514795+00:00,0.08,1.0,2025-06-13 19:59:58.215200+00:00,0.04,224.0,0.1,15.0
CELH,2025-06-20,C,46.5,0.6276,delta=0.0456 gamma=0.0319 rho=0.0002 theta=-0.029 vega=0.0046,2025-06-13 14:14:55.640483+00:00,0.05,1.0,2025-06-13 19:59:58.712956+00:00,0.01,303.0,0.1,51.0
CELH,2025-06-20,C,47.0,1.0019,delta=0.1327 gamma=0.0447 rho=0.0007 theta=-0.1036 vega=0.0103,2025-06-13 16:02:03.017579+00:00,0.23,3.0,2025-06-13 19:59:57.705630+00:00,0.06,1.0,0.55,823.0
CELH,2025-06-20,C,47.5,,,2025-06-13 19:43:53.507665+00:00,0.06,2.0,2025-06-13 19:52:16.149307+00:00,0.0,0.0,0.06,2.0
CELH,2025-06-20,C,48.0,1.0739,delta=0.1154 gamma=0.0378 rho=0.0006 theta=-0.1007 vega=0.0093,2025-06-13 15:15:52.160957+00:00,0.03,1.0,2025-06-13 19:59:56.335757+00:00,0.03,1.0,0.52,308.0
CELH,2025-06-20,C,49.0,,,2025-06-10 19:38:40.984616+00:00,0.17,1.0,2025-06-13 19:59:56.342792+00:00,0.0,0.0,0.28,6.0
CELH,2025-06-20,C,50.0,0.8204,delta=0.0213 gamma=0.013 rho=0.0001 theta=-0.0202 vega=0.0024,2025-06-13 18:40:17.199831+00:00,0.02,5.0,2025-06-13 19:49:07.438193+00:00,0.01,5.0,0.05,38.0
CELH,2025-06-20,C,55.0,,,2025-06-13 18:17:13.753974+00:00,0.05,1.0,2025-06-13 19:45:07.875563+00:00,0.03,1.0,0.08,13.0
CELH,2025-06-20,C,60.0,,,2025-06-13 18:14:32.239246+00:00,0.01,5.0,2025-06-13 18:14:32.239246+00:00,0.01,7.0,0.02,2.0
CELH,2025-06-20,C,64.0,,,,,,2025-06-13 19:59:57.431026+00:00,0.0,0.0,2.15,10.0
CELH,2025-06-20,C,65.0,,,2025-06-12 18:38:18.859382+00:00,0.02,1.0,2025-06-13 15:25:04.425278+00:00,0.0,0.0,0.08,5.0
CELH,2025-06-20,C,70.0,,,2025-06-12 15:32:26.050864+00:00,0.01,2.0,2025-06-13 19:59:56.589575+00:00,0.0,0.0,0.07,420.0
CELH,2025-06-20,C,75.0,,,2025-06-11 17:43:05.812478+00:00,0.01,1.0,2025-06-13 13:59:58.517850+00:00,0.0,0.0,0.06,7.0
CELH,2025-06-20,C,80.0,,,2025-06-11 17:13:10.202382+00:00,0.01,1.0,2025-06-13 14:58:59.920040+00:00,0.0,0.0,0.03,3.0
CELH,2025-06-20,C,85.0,,,2025-06-09 18:59:42.787238+00:00,0.01,2.0,2025-06-13 13:30:00.310552+00:00,0.0,0.0,0.03,1.0
CELH,2025-06-20,C,90.0,,,2025-06-03 13:39:09.708682+00:00,0.01,4.0,2025-06-13 19:59:56.351021+00:00,0.0,0.0,0.03,100.0
CELH,2025-06-20,C,95.0,,,2025-06-02 18:22:50.802993+00:00,0.01,1.0,2025-06-13 19:59:56.636367+00:00,0.0,0.0,0.61,10.0
CELH,2025-06-20,C,100.0,,,2025-06-03 13:36:51.688788+00:00,0.02,1.0,2025-06-13 13:33:56.423140+00:00,0.0,0.0,0.01,1.0
CELH,2025-06-20,C,105.0,,,2025-06-11 14:10:20.586394+00:00,0.01,4.0,2025-06-13 19:59:56.339159+00:00,0.0,0.0,1.1,47.0
CELH,2025-06-20,C,110.0,,,2025-03-31 16:05:04.951422+00:00,0.1,15.0,2025-06-13 19:59:56.337695+00:00,0.0,0.0,0.58,30.0
CELH,2025-06-20,C,115.0,,,2025-04-09 19:13:21.038396+00:00,0.1,1.0,2025-06-13 13:32:04.565924+00:00,0.0,0.0,0.07,1.0
CELH,2025-06-20,C,120.0,,,2025-03-19 19:21:20.968941+00:00,0.03,2.0,2025-06-13 19:59:52.185292+00:00,0.0,0.0,0.07,164.0
CELH,2025-06-20,C,125.0,,,2025-02-21 16:59:50.927362+00:00,0.05,1.0,2025-06-13 19:59:56.337435+00:00,0.0,0.0,1.1,14.0
CELH,2025-06-20,C,130.0,,,2025-02-03 18:39:57.916923+00:00,0.05,1.0,2025-06-13 19:59:57.179011+00:00,0.0,0.0,0.9,11.0
CELH,2025-06-20,C,135.0,,,2025-05-23 17:43:18.426815+00:00,0.01,4.0,2025-06-13 14:48:07.279014+00:00,0.0,0.0,0.01,6.0
CELH,2025-06-20,P,12.5,,,2025-02-24 19:34:41.078341+00:00,0.05,1.0,2025-06-13 13:33:55.901476+00:00,0.0,0.0,0.07,1.0
CELH,2025-06-20,P,15.0,,,2025-05-14 13:48:16.071864+00:00,0.05,2.0,2025-06-13 19:59:56.337243+00:00,0.0,0.0,0.12,9.0
CELH,2025-06-20,P,17.5,,,2025-06-13 19:57:32.953376+00:00,0.01,1.0,2025-06-13 19:59:48.171590+00:00,0.0,0.0,0.01,1.0
CELH,2025-06-20,P,20.0,,,2025-06-09 14:05:38.531555+00:00,0.05,7.0,2025-06-13 16:46:49.550483+00:00,0.0,0.0,0.13,1.0
CELH,2025-06-20,P,22.5,,,2025-06-13 18:04:33.336001+00:00,0.02,1.0,2025-06-13 19:53:00.027616+00:00,0.0,0.0,0.01,1.0
CELH,2025-06-20,P,25.0,,,2025-06-12 15:46:58.131868+00:00,0.07,5.0,2025-06-13 19:53:02.415157+00:00,0.0,0.0,0.14,1.0
CELH,2025-06-20,P,27.5,,,2025-06-13 19:53:36.173353+00:00,0.02,5.0,2025-06-13 19:59:50.544306+00:00,0.01,5.0,0.24,1349.0
CELH,2025-06-20,P,30.0,,,2025-06-13 15:17:00.450382+00:00,0.18,6.0,2025-06-13 19:41:18.352862+00:00,0.01,29.0,0.13,15.0
CELH,2025-06-20,P,31.0,,,2025-06-10 13:46:53.587315+00:00,0.01,2.0,2025-06-13 19:59:54.878688+00:00,0.01,1.0,0.18,10.0
CELH,2025-06-20,P,32.0,,,2025-06-13 19:07:44.672987+00:00,0.1,10.0,2025-06-13 19:59:59.427594+00:00,0.0,0.0,0.13,298.0
CELH,2025-06-20,P,32.5,,,2025-06-13 19:13:07.000602+00:00,0.04,15.0,2025-06-13 19:59:56.337539+00:00,0.01,1.0,0.07,7.0
CELH,2025-06-20,P,33.0,,,2025-06-11 17:33:45.529246+00:00,0.07,200.0,2025-06-13 19:59:58.689490+00:00,0.03,1.0,0.07,27.0
CELH,2025-06-20,P,33.5,,,2025-06-09 16:09:30.821661+00:00,0.01,1.0,2025-06-13 19:59:58.301440+00:00,0.0,0.0,0.3,14.0
CELH,2025-06-20,P,34.0,,,2025-06-13 15:17:19.820091+00:00,0.01,5.0,2025-06-13 19:59:56.343494+00:00,0.0,0.0,0.34,5.0
CELH,2025-06-20,P,34.5,,,2025-06-13 18:31:09.618856+00:00,0.11,4.0,2025-06-13 19:59:56.340778+00:00,0.0,0.0,0.31,6.0
CELH,2025-06-20,P,35.0,,,2025-06-13 19:32:01.335876+00:00,0.02,14.0,2025-06-13 19:49:19.267160+00:00,0.0,0.0,0.12,6.0
CELH,2025-06-20,P,35.5,,,2025-06-12 15:46:42.915273+00:00,0.12,1.0,2025-06-13 19:59:56.346616+00:00,0.0,0.0,0.36,5.0
CELH,2025-06-20,P,36.0,0.7578,delta=-0.0667 gamma=0.0356 rho=-0.0004 theta=-0.0466 vega=0.0062,2025-06-13 18:46:29.251381+00:00,0.1,1.0,2025-06-13 19:59:56.335416+00:00,0.01,1.0,0.21,1.0
