underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
CHYM,2025-06-20,C,25.0,,,,,,2025-06-17 19:59:43.732435+00:00,9.02,7.0,10.43,7.0
CHYM,2025-06-20,C,30.0,,,2025-06-17 19:40:02.330364+00:00,4.5,1.0,2025-06-17 19:59:55.188927+00:00,3.57,35.0,5.18,22.0
CHYM,2025-06-20,C,35.0,0.9516,delta=0.4458 gamma=0.133 rho=0.0012 theta=-0.1975 vega=0.0123,2025-06-17 19:58:47.054164+00:00,1.0,1.0,2025-06-17 19:59:59.762905+00:00,0.77,54.0,1.12,16.0
CHYM,2025-06-20,C,40.0,1.1335,delta=0.0809 gamma=0.0424 rho=0.0002 theta=-0.0888 vega=0.0047,2025-06-17 19:59:48.443374+00:00,0.15,2.0,2025-06-17 19:59:54.937092+00:00,0.08,15.0,0.17,5.0
CHYM,2025-06-20,C,45.0,,,2025-06-17 19:43:36.812368+00:00,0.1,1.0,2025-06-17 19:49:50.108458+00:00,0.07,5.0,0.12,9.0
CHYM,2025-06-20,C,50.0,,,2025-06-17 19:26:43.493367+00:00,0.05,2.0,2025-06-17 19:57:18.775910+00:00,0.0,0.0,0.08,15.0
CHYM,2025-06-20,C,55.0,,,2025-06-17 13:57:16.444031+00:00,0.05,1.0,2025-06-17 19:59:36.502994+00:00,0.0,0.0,0.17,23.0
CHYM,2025-06-20,P,25.0,,,,,,2025-06-17 19:59:01.718391+00:00,0.0,0.0,0.22,19.0
CHYM,2025-06-20,P,30.0,1.1114,delta=-0.0768 gamma=0.0415 rho=-0.0002 theta=-0.0831 vega=0.0045,2025-06-17 19:58:10.351259+00:00,0.13,4.0,2025-06-17 19:59:57.723188+00:00,0.12,25.0,0.13,10.0
CHYM,2025-06-20,P,35.0,0.9657,delta=-0.5529 gamma=0.1311 rho=-0.0017 theta=-0.1964 vega=0.0124,2025-06-17 19:55:56.056042+00:00,1.45,1.0,2025-06-17 19:59:54.912223+00:00,1.42,6.0,1.58,1.0
CHYM,2025-06-20,P,40.0,,,2025-06-17 19:44:11.897476+00:00,5.6,4.0,2025-06-17 19:59:58.613289+00:00,4.93,14.0,5.96,10.0
CHYM,2025-06-20,P,45.0,,,2025-06-17 18:30:38.729900+00:00,10.7,1.0,2025-06-17 19:59:36.514015+00:00,9.97,14.0,10.88,9.0
CHYM,2025-06-20,P,50.0,,,,,,2025-06-17 19:59:36.514015+00:00,14.38,8.0,17.32,16.0
CHYM,2025-06-20,P,55.0,,,,,,2025-06-17 19:59:36.504046+00:00,19.23,8.0,21.4,6.0
