underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
COIN,2025-06-20,C,2.5,,,2025-06-12 19:35:22.149884+00:00,239.97,10.0,2025-06-13 19:59:59.015568+00:00,238.78,216.0,240.29,187.0
COIN,2025-06-20,C,5.0,,,2025-06-02 18:02:50.953864+00:00,240.65,10.0,2025-06-13 19:59:59.010414+00:00,233.65,223.0,243.51,86.0
COIN,2025-06-20,C,7.5,,,2025-04-30 18:05:58.718152+00:00,193.36,1.0,2025-06-13 19:59:59.079248+00:00,231.16,57.0,238.93,51.0
COIN,2025-06-20,C,10.0,,,2025-05-29 14:08:51.440275+00:00,244.569,1.0,2025-06-13 19:59:59.070478+00:00,231.48,51.0,241.18,51.0
COIN,2025-06-20,C,12.5,,,2025-04-30 19:19:31.333183+00:00,188.12,1.0,2025-06-13 19:59:59.641137+00:00,227.79,70.0,238.45,51.0
COIN,2025-06-20,C,15.0,,,2024-07-10 15:47:42.281482+00:00,204.95,1.0,2025-06-13 19:59:59.639713+00:00,227.469,70.0,229.25,51.0
COIN,2025-06-20,C,17.5,,,2025-04-30 14:58:55.427357+00:00,184.05,3.0,2025-06-13 19:59:59.649376+00:00,223.369,51.0,226.019,69.0
COIN,2025-06-20,C,20.0,,,2025-04-30 14:58:55.427362+00:00,179.55,3.0,2025-06-13 19:59:59.653050+00:00,216.66,51.0,229.5,70.0
COIN,2025-06-20,C,22.5,,,2025-05-15 17:23:09.783199+00:00,221.24,1.0,2025-06-13 19:59:59.649567+00:00,220.59,51.0,227.59,69.0
COIN,2025-06-20,C,25.0,,,2025-05-09 19:54:32.888939+00:00,174.37,16.0,2025-06-13 19:59:59.651236+00:00,217.119,51.0,223.91,71.0
COIN,2025-06-20,C,30.0,,,2025-05-15 17:22:42.716204+00:00,217.33,2.0,2025-06-13 19:59:59.651647+00:00,213.06,51.0,214.39,70.0
COIN,2025-06-20,C,35.0,,,2025-05-13 15:48:56.196956+00:00,213.64,16.0,2025-06-13 19:59:59.614672+00:00,206.34,61.0,206.96,61.0
COIN,2025-06-20,C,40.0,,,2025-06-11 13:40:22.931543+00:00,217.76,1.0,2025-06-13 19:59:59.652113+00:00,199.94,51.0,202.94,75.0
