underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
CRM,2025-06-20,C,100.0,,,2025-05-28 19:49:57.898391+00:00,175.19,1.0,2025-06-13 19:59:53.698885+00:00,154.28,28.0,161.68,22.0
CRM,2025-06-20,C,105.0,,,2025-05-01 13:30:10.013372+00:00,166.21,3.0,2025-06-13 19:59:57.372006+00:00,149.81,24.0,157.97,30.0
CRM,2025-06-20,C,110.0,,,2025-02-27 15:27:03.357325+00:00,193.66,1.0,2025-06-13 19:59:53.697015+00:00,146.06,21.0,152.05,23.0
CRM,2025-06-20,C,115.0,,,2024-12-04 15:14:48.920472+00:00,249.78,1.0,2025-06-13 19:59:53.701326+00:00,143.67,26.0,143.97,23.0
CRM,2025-06-20,C,120.0,,,2025-02-27 15:27:03.798712+00:00,184.01,1.0,2025-06-13 19:59:53.699782+00:00,137.03,21.0,138.66,16.0
CRM,2025-06-20,C,125.0,,,2025-04-09 17:18:44.913114+00:00,133.77,1.0,2025-06-13 19:59:53.698559+00:00,130.259,21.0,135.96,27.0
CRM,2025-06-20,C,130.0,,,2025-04-04 15:28:12.423589+00:00,117.12,1.0,2025-06-13 19:59:53.696659+00:00,128.9,21.0,131.48,23.0
CRM,2025-06-20,C,135.0,,,2025-05-27 16:32:32.885907+00:00,141.8,4.0,2025-06-13 19:59:53.697351+00:00,119.68,24.0,124.82,7.0
CRM,2025-06-20,C,140.0,,,2025-05-13 16:01:56.865686+00:00,153.58,1.0,2025-06-13 19:59:53.693442+00:00,116.47,21.0,117.82,16.0
CRM,2025-06-20,C,145.0,,,2025-05-13 16:02:22.269419+00:00,147.42,1.0,2025-06-13 19:59:53.694860+00:00,112.74,24.0,115.44,24.0
CRM,2025-06-20,C,150.0,,,2025-05-30 15:44:17.941396+00:00,115.11,1.0,2025-06-13 19:59:58.474598+00:00,107.509,25.0,108.409,23.0
CRM,2025-06-20,C,155.0,,,2025-02-12 19:24:19.346593+00:00,175.52,9.0,2025-06-13 19:59:53.695056+00:00,101.85,25.0,106.9,27.0
CRM,2025-06-20,C,160.0,,,2025-05-20 18:58:49.223938+00:00,127.7,1.0,2025-06-13 19:59:59.153262+00:00,97.88,23.0,99.31,23.0
CRM,2025-06-20,C,165.0,,,2024-12-19 14:55:37.254341+00:00,176.85,1.0,2025-06-13 19:59:53.694564+00:00,92.31,20.0,93.97,7.0
CRM,2025-06-20,C,170.0,,,2025-05-23 17:43:09.087758+00:00,110.52,1.0,2025-06-13 19:59:59.067688+00:00,86.28,19.0,90.0,28.0
CRM,2025-06-20,C,175.0,,,2025-05-30 17:01:03.103414+00:00,87.38,1.0,2025-06-13 19:59:59.210989+00:00,81.37,39.0,84.8,38.0
CRM,2025-06-20,C,180.0,,,2025-06-13 15:32:31.587961+00:00,82.13,1.0,2025-06-13 19:59:59.067418+00:00,77.25,23.0,80.63,20.0
CRM,2025-06-20,C,185.0,,,2025-04-22 15:11:55.137936+00:00,59.51,1.0,2025-06-13 19:59:53.693442+00:00,70.97,24.0,74.96,23.0
CRM,2025-06-20,C,190.0,,,2025-06-03 16:33:14.274523+00:00,73.83,1.0,2025-06-13 19:59:59.214036+00:00,67.38,38.0,70.17,39.0
CRM,2025-06-20,C,195.0,,,2025-06-11 19:32:37.012337+00:00,70.42,1.0,2025-06-13 19:59:59.213876+00:00,61.89,37.0,64.2,28.0
