underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
CRWD,2025-06-20,C,75.0,,,2025-06-04 18:12:52.662506+00:00,388.99,1.0,2025-06-13 19:59:50.638190+00:00,408.66,22.0,413.77,24.0
CRWD,2025-06-20,C,80.0,,,2025-04-04 19:57:57.236050+00:00,243.34,1.0,2025-06-13 19:59:54.984542+00:00,403.51,24.0,406.13,25.0
CRWD,2025-06-20,C,85.0,,,2025-03-07 14:56:55.562077+00:00,261.04,2.0,2025-06-13 19:59:22.166790+00:00,390.13,22.0,402.66,26.0
CRWD,2025-06-20,C,90.0,,,2025-04-09 17:18:44.223191+00:00,271.67,1.0,2025-06-13 19:59:47.730404+00:00,394.52,25.0,401.22,27.0
CRWD,2025-06-20,C,95.0,,,2024-07-31 16:25:52.687446+00:00,142.55,1.0,2025-06-13 19:59:54.199235+00:00,381.79,22.0,381.92,28.0
CRWD,2025-06-20,C,100.0,,,2025-05-09 18:19:06.350796+00:00,312.78,1.0,2025-06-13 19:59:14.770434+00:00,372.81,22.0,388.18,28.0
CRWD,2025-06-20,C,105.0,,,2025-05-14 13:30:03.042010+00:00,341.27,1.0,2025-06-13 19:59:50.145569+00:00,372.79,23.0,383.97,29.0
CRWD,2025-06-20,C,110.0,,,2025-04-30 19:02:10.743485+00:00,319.8,1.0,2025-06-13 19:59:37.714162+00:00,371.5,22.0,373.67,26.0
CRWD,2025-06-20,C,115.0,,,2025-04-09 17:18:44.223266+00:00,248.93,1.0,2025-06-13 19:59:53.148455+00:00,362.99,22.0,364.99,27.0
CRWD,2025-06-20,C,120.0,,,2025-06-09 17:36:03.152915+00:00,346.97,1.0,2025-06-13 19:59:37.977449+00:00,361.69,22.0,366.61,27.0
CRWD,2025-06-20,C,125.0,,,2024-07-31 16:43:06.441052+00:00,114.1,1.0,2025-06-13 19:59:45.322684+00:00,358.9,23.0,359.93,28.0
CRWD,2025-06-20,C,130.0,,,2025-06-13 15:53:46.436698+00:00,357.52,2.0,2025-06-13 19:59:50.135063+00:00,347.96,23.0,350.76,26.0
CRWD,2025-06-20,C,135.0,,,2024-12-20 19:28:34.015308+00:00,233.99,1.0,2025-06-13 19:59:20.303744+00:00,340.42,22.0,342.69,29.0
CRWD,2025-06-20,C,140.0,,,2025-05-23 15:20:11.840301+00:00,310.95,1.0,2025-06-13 19:59:56.662779+00:00,332.5,24.0,341.7,30.0
CRWD,2025-06-20,C,145.0,,,2024-08-12 16:49:59.242266+00:00,109.63,2.0,2025-06-13 19:59:49.907387+00:00,333.05,22.0,335.0,26.0
CRWD,2025-06-20,C,150.0,,,2025-06-09 13:44:02.490664+00:00,318.84,1.0,2025-06-13 19:59:37.129246+00:00,324.27,22.0,333.39,28.0
CRWD,2025-06-20,C,155.0,,,2025-06-06 16:29:00.911438+00:00,319.26,1.0,2025-06-13 19:59:50.490223+00:00,317.49,26.0,332.96,29.0
CRWD,2025-06-20,C,160.0,,,2025-06-13 14:31:37.975637+00:00,322.72,1.0,2025-06-13 19:59:31.576866+00:00,317.58,22.0,318.43,22.0
CRWD,2025-06-20,C,165.0,,,2025-05-16 14:57:31.004420+00:00,275.6,1.0,2025-06-13 19:59:47.667931+00:00,306.5,22.0,320.93,25.0
CRWD,2025-06-20,C,170.0,,,2025-06-06 16:29:00.911438+00:00,302.13,1.0,2025-06-13 19:59:56.367647+00:00,303.21,22.0,311.17,26.0
CRWD,2025-06-20,C,175.0,,,2025-06-13 16:57:40.839390+00:00,309.88,1.0,2025-06-13 19:58:34.198612+00:00,306.47,23.0,314.33,30.0
CRWD,2025-06-20,C,180.0,,,2025-06-09 13:44:16.394192+00:00,284.07,2.0,2025-06-13 19:59:52.786099+00:00,296.59,25.0,302.59,29.0
CRWD,2025-06-20,C,185.0,,,2025-04-28 13:30:03.817533+00:00,240.23,10.0,2025-06-13 19:59:58.285172+00:00,287.4,23.0,293.08,26.0
CRWD,2025-06-20,C,190.0,,,2025-05-13 18:07:59.272554+00:00,253.83,2.0,2025-06-13 19:59:37.183075+00:00,286.9,22.0,295.2,29.0
CRWD,2025-06-20,C,195.0,,,2025-05-08 17:34:55.607214+00:00,238.49,1.0,2025-06-13 19:59:52.045302+00:00,279.36,26.0,293.06,28.0
CRWD,2025-06-20,C,200.0,,,2025-06-11 16:08:30.113931+00:00,273.68,2.0,2025-06-13 19:59:35.421516+00:00,275.12,25.0,286.77,25.0
CRWD,2025-06-20,C,210.0,,,2025-06-05 14:24:20.163639+00:00,247.819,1.0,2025-06-13 19:59:36.429367+00:00,270.55,22.0,276.41,28.0
CRWD,2025-06-20,C,220.0,,,2025-05-05 18:03:46.781778+00:00,230.74,1.0,2025-06-13 19:59:36.877353+00:00,258.819,22.0,265.77,29.0
CRWD,2025-06-20,C,230.0,,,2025-06-04 19:20:28.636303+00:00,234.32,1.0,2025-06-13 19:59:47.779221+00:00,244.19,23.0,251.8,24.0
CRWD,2025-06-20,C,240.0,,,2025-06-05 15:45:38.406056+00:00,225.369,1.0,2025-06-13 19:59:54.048536+00:00,242.069,25.0,246.269,25.0
CRWD,2025-06-20,C,250.0,,,2025-06-13 16:13:01.600049+00:00,235.0,2.0,2025-06-13 19:59:59.829586+00:00,227.369,63.0,231.54,25.0
CRWD,2025-06-20,C,260.0,,,2025-06-13 19:08:17.815462+00:00,220.16,1.0,2025-06-13 19:59:54.753613+00:00,220.969,10.0,225.74,27.0
CRWD,2025-06-20,C,270.0,,,2025-06-13 19:08:17.815462+00:00,211.6,1.0,2025-06-13 19:59:44.470327+00:00,212.369,42.0,214.55,30.0
CRWD,2025-06-20,C,280.0,,,2025-06-12 16:54:27.727030+00:00,208.75,2.0,2025-06-13 19:59:59.533857+00:00,196.97,50.0,205.6,31.0
CRWD,2025-06-20,C,290.0,,,2025-06-12 16:54:27.727034+00:00,198.08,2.0,2025-06-13 19:59:16.390748+00:00,189.28,28.0,193.64,29.0
CRWD,2025-06-20,C,300.0,,,2025-06-13 18:43:21.310514+00:00,180.17,1.0,2025-06-13 19:59:57.974609+00:00,182.09,21.0,185.31,17.0
CRWD,2025-06-20,C,310.0,,,2025-06-12 14:38:49.397761+00:00,169.87,1.0,2025-06-13 19:59:58.375146+00:00,171.96,24.0,172.42,25.0
CRWD,2025-06-20,C,320.0,,,2025-06-12 18:34:19.746459+00:00,163.3,1.0,2025-06-13 19:59:56.589680+00:00,156.6,41.0,163.78,26.0
CRWD,2025-06-20,C,330.0,,,2025-06-13 15:04:51.335213+00:00,152.5,1.0,2025-06-13 19:59:59.838532+00:00,150.7,69.0,155.4,25.0
CRWD,2025-06-20,C,340.0,,,2025-06-13 16:39:49.397400+00:00,144.8,1.0,2025-06-13 19:59:56.937708+00:00,141.29,1.0,144.94,10.0
CRWD,2025-06-20,C,345.0,,,2025-06-12 18:36:59.490093+00:00,139.32,1.0,2025-06-13 19:59:38.265519+00:00,129.78,23.0,137.09,26.0
CRWD,2025-06-20,C,350.0,,,2025-06-13 18:16:41.743386+00:00,130.53,1.0,2025-06-13 19:59:54.989013+00:00,129.32,46.0,131.6,34.0
CRWD,2025-06-20,C,355.0,,,2025-06-13 14:03:46.613264+00:00,125.59,1.0,2025-06-13 19:59:53.231889+00:00,124.459,23.0,129.359,25.0
CRWD,2025-06-20,C,360.0,,,2025-06-13 18:30:00.906384+00:00,119.13,6.0,2025-06-13 19:59:54.989008+00:00,116.37,51.0,122.759,27.0
CRWD,2025-06-20,C,365.0,,,2025-06-13 14:18:11.674403+00:00,114.35,1.0,2025-06-13 19:59:46.531418+00:00,110.859,26.0,116.88,30.0
CRWD,2025-06-20,C,370.0,,,2025-06-13 18:57:45.623169+00:00,108.8,1.0,2025-06-13 19:59:55.039343+00:00,107.759,73.0,110.99,25.0
CRWD,2025-06-20,C,375.0,,,2025-06-11 16:44:00.161442+00:00,104.18,3.0,2025-06-13 19:59:37.629516+00:00,101.92,23.0,107.57,28.0
CRWD,2025-06-20,C,380.0,,,2025-06-13 18:26:15.176896+00:00,98.73,1.0,2025-06-13 19:59:59.831695+00:00,100.26,25.0,104.29,26.0
CRWD,2025-06-20,C,385.0,,,2025-06-04 18:04:14.009466+00:00,78.23,1.0,2025-06-13 19:59:46.277158+00:00,93.79,23.0,99.1,28.0
CRWD,2025-06-20,C,390.0,,,2025-06-13 19:55:06.628547+00:00,91.5,1.0,2025-06-13 19:59:54.331054+00:00,91.5,11.0,93.85,28.0
CRWD,2025-06-20,C,395.0,0.8707,delta=0.9748 gamma=0.0012 rho=0.0524 theta=-0.3324 vega=0.033,2025-06-09 19:34:54.136259+00:00,70.78,10.0,2025-06-13 19:59:52.898667+00:00,81.41,23.0,88.82,26.0
CRWD,2025-06-20,C,400.0,1.0608,delta=0.9364 gamma=0.0021 rho=0.0503 theta=-0.7854 vega=0.07,2025-06-13 19:48:46.151397+00:00,80.6,1.0,2025-06-13 19:59:57.569896+00:00,78.96,1.0,83.77,30.0
CRWD,2025-06-20,C,405.0,,,2025-06-13 16:11:46.367986+00:00,79.05,2.0,2025-06-13 19:59:43.624549+00:00,71.09,24.0,77.99,25.0
CRWD,2025-06-20,C,410.0,0.5583,delta=0.9925 gamma=0.0007 rho=0.0556 theta=-0.1124 vega=0.0116,2025-06-13 15:24:23.817883+00:00,73.58,1.0,2025-06-13 19:59:52.990490+00:00,67.73,1.0,71.71,24.0
CRWD,2025-06-20,C,412.5,0.6985,delta=0.9704 gamma=0.0017 rho=0.0545 theta=-0.3107 vega=0.0378,,,,2025-06-13 19:59:53.064621+00:00,64.24,23.0,70.97,29.0
CRWD,2025-06-20,C,415.0,0.7113,delta=0.9626 gamma=0.002 rho=0.0543 theta=-0.3725 vega=0.0458,2025-06-10 14:32:28.243425+00:00,51.08,1.0,2025-06-13 19:59:39.533289+00:00,61.75,25.0,68.77,29.0
CRWD,2025-06-20,C,417.5,0.8098,delta=0.9348 gamma=0.0028 rho=0.0527 theta=-0.623 vega=0.0713,,,,2025-06-13 19:59:40.490606+00:00,60.36,23.0,66.62,27.0
CRWD,2025-06-20,C,420.0,0.846,delta=0.9179 gamma=0.0032 rho=0.0519 theta=-0.764 vega=0.085,2025-06-13 19:35:41.325765+00:00,60.0,2.0,2025-06-13 19:59:54.988367+00:00,59.85,72.0,63.14,20.0
