underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
CSCO,2025-06-20,C,25.0,,,2025-02-19 14:49:21.707971+00:00,39.61,1.0,2025-06-13 19:59:52.317806+00:00,37.91,161.0,39.19,119.0
CSCO,2025-06-20,C,27.5,,,2024-08-15 14:02:10.820623+00:00,21.84,1.0,2025-06-13 19:59:55.121123+00:00,36.72,51.0,37.12,152.0
CSCO,2025-06-20,C,30.0,,,2025-05-15 18:41:51.688629+00:00,34.58,1.0,2025-06-13 19:59:54.929357+00:00,33.18,1.0,35.02,150.0
CSCO,2025-06-20,C,32.5,,,2025-06-03 16:55:17.938694+00:00,31.8,1.0,2025-06-13 19:59:54.460266+00:00,31.43,1.0,31.78,94.0
CSCO,2025-06-20,C,35.0,,,2025-05-09 17:22:28.839892+00:00,25.2,1.0,2025-06-13 19:59:56.818720+00:00,28.289,1.0,29.66,1.0
CSCO,2025-06-20,C,37.5,,,2025-05-15 14:19:16.746599+00:00,27.73,1.0,2025-06-13 19:59:53.104727+00:00,25.95,102.0,27.76,150.0
CSCO,2025-06-20,C,40.0,,,2025-06-11 16:33:36.033265+00:00,24.26,3.0,2025-06-13 19:59:57.204748+00:00,23.81,49.0,24.48,180.0
CSCO,2025-06-20,C,42.5,,,2025-06-05 18:47:45.530954+00:00,22.4,1.0,2025-06-13 19:59:58.448586+00:00,20.9,380.0,22.35,365.0
CSCO,2025-06-20,C,45.0,,,2025-06-13 15:26:25.120106+00:00,19.7,1.0,2025-06-13 19:59:58.482657+00:00,18.95,672.0,19.05,322.0
CSCO,2025-06-20,C,47.5,,,2025-06-10 14:39:43.531606+00:00,18.47,1.0,2025-06-13 19:59:59.257570+00:00,16.64,5.0,17.29,652.0
CSCO,2025-06-20,C,50.0,,,2025-06-13 18:27:52.480388+00:00,14.06,1.0,2025-06-13 19:59:57.731681+00:00,13.9,5.0,14.619,415.0
CSCO,2025-06-20,C,51.0,,,,,,2025-06-13 19:59:57.204667+00:00,13.169,80.0,13.5,115.0
CSCO,2025-06-20,C,52.0,,,,,,2025-06-13 19:59:52.318301+00:00,11.78,43.0,12.17,74.0
CSCO,2025-06-20,C,52.5,0.6863,delta=0.9946 gamma=0.003 rho=0.0071 theta=-0.0141 vega=0.0012,2025-06-13 15:28:20.426319+00:00,12.09,5.0,2025-06-13 19:59:59.492479+00:00,11.49,21.0,11.97,511.0
CSCO,2025-06-20,C,53.0,,,,,,2025-06-13 19:59:54.029476+00:00,10.8,32.0,11.4,156.0
CSCO,2025-06-20,C,54.0,0.9454,delta=0.9477 gamma=0.0151 rho=0.0069 theta=-0.0819 vega=0.008,2025-06-12 14:11:18.993008+00:00,10.93,4.0,2025-06-13 19:59:55.189284+00:00,9.84,62.0,10.93,157.0
CSCO,2025-06-20,C,55.0,,,2025-06-13 19:56:07.764429+00:00,9.29,4.0,2025-06-13 19:59:59.327912+00:00,8.91,41.0,9.35,276.0
CSCO,2025-06-20,C,56.0,0.9523,delta=0.9007 gamma=0.0244 rho=0.0067 theta=-0.1307 vega=0.0131,2025-05-29 15:03:03.813989+00:00,7.23,32.0,2025-06-13 19:59:54.136496+00:00,8.13,29.0,9.02,180.0
CSCO,2025-06-20,C,57.0,0.7309,delta=0.9248 gamma=0.0258 rho=0.0071 theta=-0.084 vega=0.0107,2025-06-10 15:32:30.810516+00:00,8.5,1.0,2025-06-13 19:59:55.192227+00:00,6.99,22.0,7.84,160.0
CSCO,2025-06-20,C,57.5,,,2025-06-13 17:35:11.297537+00:00,6.82,1.0,2025-06-13 19:59:56.537330+00:00,6.08,445.0,6.84,211.0
CSCO,2025-06-20,C,58.0,0.5908,delta=0.9344 gamma=0.0288 rho=0.0073 theta=-0.063 vega=0.0096,2025-05-23 14:43:01.984004+00:00,5.08,2.0,2025-06-13 19:59:57.596279+00:00,5.93,55.0,6.78,204.0
CSCO,2025-06-20,C,59.0,0.6495,delta=0.8759 gamma=0.042 rho=0.0069 theta=-0.1059 vega=0.0154,2025-06-13 16:51:41.504564+00:00,5.57,1.0,2025-06-13 19:59:52.317424+00:00,4.94,39.0,6.13,171.0
CSCO,2025-06-20,C,60.0,,,2025-06-13 19:29:16.706397+00:00,4.2,200.0,2025-06-13 19:59:58.479189+00:00,3.979,130.0,4.4,31.0
CSCO,2025-06-20,C,61.0,,,2025-06-13 16:49:14.352607+00:00,3.63,5.0,2025-06-13 19:59:58.336309+00:00,2.47,239.0,3.87,210.0
CSCO,2025-06-20,C,62.0,0.3274,delta=0.8265 gamma=0.1042 rho=0.0069 theta=-0.069 vega=0.0193,2025-06-13 18:27:50.957130+00:00,2.31,1.0,2025-06-13 19:59:58.938636+00:00,2.24,34.0,2.68,643.0
CSCO,2025-06-20,C,62.5,0.2836,delta=0.799 gamma=0.1318 rho=0.0068 theta=-0.0656 vega=0.0211,2025-06-13 19:56:47.577022+00:00,1.81,1.0,2025-06-13 19:59:59.476200+00:00,1.81,38.0,2.13,497.0
CSCO,2025-06-20,C,63.0,0.2146,delta=0.7826 gamma=0.1824 rho=0.0067 theta=-0.0532 vega=0.0221,2025-06-13 19:58:26.213614+00:00,1.37,2.0,2025-06-13 19:59:59.456093+00:00,1.37,35.0,1.49,7.0
CSCO,2025-06-20,C,64.0,0.1918,delta=0.5673 gamma=0.2728 rho=0.0049 theta=-0.0609 vega=0.0295,2025-06-13 19:59:40.691971+00:00,0.7,5.0,2025-06-13 19:59:59.274746+00:00,0.66,34.0,0.73,3.0
CSCO,2025-06-20,C,65.0,0.1984,delta=0.3075 gamma=0.2358 rho=0.0027 theta=-0.0547 vega=0.0264,2025-06-13 19:59:26.776910+00:00,0.26,3.0,2025-06-13 19:59:57.740316+00:00,0.22,453.0,0.36,71.0
CSCO,2025-06-20,C,66.0,0.2171,delta=0.1449 gamma=0.1397 rho=0.0013 theta=-0.0382 vega=0.0171,2025-06-13 19:59:58.411453+00:00,0.1,10.0,2025-06-13 19:59:54.997945+00:00,0.1,30.0,0.14,22.0
CSCO,2025-06-20,C,67.0,0.2365,delta=0.0651 gamma=0.0715 rho=0.0006 theta=-0.023 vega=0.0095,2025-06-13 19:59:58.411453+00:00,0.04,10.0,2025-06-13 19:59:58.515771+00:00,0.04,11.0,0.06,15.0
CSCO,2025-06-20,C,67.5,0.2682,delta=0.0586 gamma=0.058 rho=0.0005 theta=-0.024 vega=0.0088,2025-06-13 19:38:41.166585+00:00,0.04,1.0,2025-06-13 19:59:52.325109+00:00,0.04,19.0,0.06,41.0
CSCO,2025-06-20,C,68.0,0.2414,delta=0.0224 gamma=0.0294 rho=0.0002 theta=-0.0098 vega=0.004,2025-06-12 19:49:25.748735+00:00,0.04,1.0,2025-06-13 19:59:58.058534+00:00,0.01,2.0,0.02,43.0
CSCO,2025-06-20,C,69.0,,,2025-06-11 16:01:23.811670+00:00,0.02,4.0,2025-06-13 19:49:52.231931+00:00,0.0,0.0,0.01,60.0
CSCO,2025-06-20,C,70.0,,,2025-06-13 19:04:44.158442+00:00,0.02,1.0,2025-06-13 19:57:22.156991+00:00,0.0,0.0,0.01,35.0
CSCO,2025-06-20,C,71.0,,,2025-06-12 16:56:22.010326+00:00,0.03,1.0,2025-06-13 19:57:22.015128+00:00,0.0,0.0,0.05,42.0
CSCO,2025-06-20,C,72.0,,,2025-06-10 18:19:25.539898+00:00,0.01,3.0,2025-06-13 19:57:23.158613+00:00,0.0,0.0,0.01,48.0
CSCO,2025-06-20,C,72.5,,,2025-06-12 19:24:41.045694+00:00,0.02,4.0,2025-06-13 19:59:37.049151+00:00,0.0,0.0,0.01,198.0
CSCO,2025-06-20,C,73.0,,,2025-06-10 17:26:27.388465+00:00,0.01,10.0,2025-06-13 19:57:23.158713+00:00,0.0,0.0,0.05,60.0
CSCO,2025-06-20,C,74.0,,,,,,2025-06-13 19:59:11.942463+00:00,0.0,0.0,0.01,97.0
CSCO,2025-06-20,C,75.0,,,2025-06-13 16:38:48.713358+00:00,0.01,1.0,2025-06-13 19:54:54.272019+00:00,0.0,0.0,0.04,1.0
CSCO,2025-06-20,C,76.0,,,,,,2025-06-13 19:59:52.329047+00:00,0.0,0.0,2.02,151.0
CSCO,2025-06-20,C,77.0,,,,,,2025-06-13 19:59:52.329047+00:00,0.0,0.0,2.03,151.0
CSCO,2025-06-20,C,80.0,,,2025-06-03 19:41:24.938599+00:00,0.01,1.0,2025-06-13 19:30:12.052129+00:00,0.0,0.0,0.03,1.0
CSCO,2025-06-20,C,85.0,,,2025-05-16 19:25:37.593783+00:00,0.01,4.0,2025-06-13 19:56:17.375663+00:00,0.0,0.0,0.03,10.0
CSCO,2025-06-20,P,25.0,,,2025-04-04 19:21:03.023070+00:00,0.04,1.0,2025-06-13 16:53:59.544034+00:00,0.0,0.0,0.01,400.0
CSCO,2025-06-20,P,27.5,,,2024-09-24 14:19:09.535203+00:00,0.1,1.0,2025-06-13 19:59:52.335241+00:00,0.0,0.0,2.1,152.0
CSCO,2025-06-20,P,30.0,,,2025-04-22 16:29:12.057282+00:00,0.02,2.0,2025-06-13 16:53:59.544034+00:00,0.0,0.0,0.03,350.0
