underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
DUOL,2025-06-20,C,165.0,,,2025-05-02 13:30:43.021141+00:00,286.42,1.0,2025-06-13 19:59:59.848043+00:00,315.68,2.0,320.18,2.0
DUOL,2025-06-20,C,170.0,,,2025-05-15 13:35:56.845125+00:00,364.38,1.0,2025-06-13 19:59:59.848047+00:00,302.34,1.0,312.7,2.0
DUOL,2025-06-20,C,175.0,,,2025-06-02 19:04:16.001602+00:00,347.95,1.0,2025-06-13 19:59:59.902777+00:00,303.63,1.0,307.93,2.0
DUOL,2025-06-20,C,180.0,,,2025-06-02 19:04:16.001606+00:00,346.51,1.0,2025-06-13 19:59:59.902777+00:00,299.29,1.0,300.8,1.0
DUOL,2025-06-20,C,185.0,,,2025-05-15 13:35:56.857590+00:00,352.15,1.0,2025-06-13 19:59:59.902712+00:00,289.93,1.0,291.41,1.0
DUOL,2025-06-20,C,190.0,,,,,,2025-06-13 19:59:59.902712+00:00,281.56,1.0,295.31,1.0
DUOL,2025-06-20,C,195.0,,,2025-05-16 15:46:13.513401+00:00,339.2,4.0,2025-06-13 19:59:59.903584+00:00,285.41,1.0,290.11,1.0
DUOL,2025-06-20,C,200.0,,,,,,2025-06-13 19:59:59.848047+00:00,275.76,2.0,277.2,2.0
DUOL,2025-06-20,C,210.0,,,2025-05-27 13:31:45.723118+00:00,305.74,1.0,2025-06-13 19:59:59.903609+00:00,262.27,1.0,274.19,1.0
DUOL,2025-06-20,C,220.0,,,2025-05-27 13:31:45.723118+00:00,299.05,1.0,2025-06-13 19:59:59.848518+00:00,261.169,1.0,264.48,2.0
DUOL,2025-06-20,C,230.0,,,2025-05-27 13:31:45.723118+00:00,291.31,1.0,2025-06-13 19:59:59.848518+00:00,245.719,1.0,250.219,2.0
DUOL,2025-06-20,C,240.0,,,2025-05-27 13:31:45.728185+00:00,280.05,1.0,2025-06-13 19:59:59.042949+00:00,236.79,1.0,243.36,2.0
DUOL,2025-06-20,C,250.0,,,2025-05-27 13:31:45.728517+00:00,266.57,1.0,2025-06-13 19:59:58.035239+00:00,223.45,1.0,230.59,2.0
DUOL,2025-06-20,C,260.0,,,2025-05-15 13:35:56.845145+00:00,276.42,1.0,2025-06-13 19:59:59.848518+00:00,212.98,1.0,221.98,2.0
DUOL,2025-06-20,C,270.0,,,2025-05-15 13:35:56.864046+00:00,268.23,1.0,2025-06-13 19:59:59.848518+00:00,207.81,1.0,208.769,2.0
DUOL,2025-06-20,C,280.0,,,2025-06-06 13:39:49.711231+00:00,257.09,1.0,2025-06-13 19:59:59.902818+00:00,197.68,1.0,203.47,1.0
DUOL,2025-06-20,C,290.0,,,2025-06-06 13:39:49.711221+00:00,247.96,1.0,2025-06-13 19:59:59.903584+00:00,185.05,1.0,191.34,1.0
DUOL,2025-06-20,C,300.0,,,2025-05-20 14:10:02.699637+00:00,219.42,1.0,2025-06-13 19:59:59.042848+00:00,174.78,1.0,177.52,2.0
DUOL,2025-06-20,C,310.0,,,2025-05-12 15:49:40.559256+00:00,206.82,1.0,2025-06-13 19:59:59.848043+00:00,167.18,5.0,168.34,1.0
DUOL,2025-06-20,C,320.0,,,2025-05-27 13:31:45.723871+00:00,197.89,1.0,2025-06-13 19:59:58.034116+00:00,154.73,5.0,161.95,1.0
DUOL,2025-06-20,C,330.0,,,2025-06-13 15:02:53.566099+00:00,148.07,1.0,2025-06-13 19:59:53.286896+00:00,147.14,1.0,149.09,5.0
DUOL,2025-06-20,C,340.0,,,2025-05-30 18:44:25.457920+00:00,178.74,1.0,2025-06-13 19:59:59.906105+00:00,135.36,5.0,140.05,1.0
DUOL,2025-06-20,C,350.0,,,2025-06-02 13:39:10.616232+00:00,173.45,1.0,2025-06-13 19:58:00.023960+00:00,125.25,5.0,131.33,5.0
DUOL,2025-06-20,C,360.0,,,2025-06-11 19:38:12.549244+00:00,116.95,1.0,2025-06-13 19:59:53.288843+00:00,116.33,1.0,118.73,5.0
DUOL,2025-06-20,C,370.0,,,2025-06-10 14:45:07.476796+00:00,115.89,1.0,2025-06-13 19:58:15.494472+00:00,108.94,5.0,111.909,5.0
DUOL,2025-06-20,C,380.0,,,2025-05-15 15:21:46.660301+00:00,157.81,5.0,2025-06-13 19:57:45.753246+00:00,95.12,5.0,100.07,5.0
DUOL,2025-06-20,C,390.0,0.9971,delta=0.9653 gamma=0.0014 rho=0.051 theta=-0.4727 vega=0.043,2025-06-11 19:38:12.549244+00:00,86.92,1.0,2025-06-13 19:57:59.366151+00:00,88.23,1.0,90.79,5.0
DUOL,2025-06-20,C,400.0,,,2025-06-06 17:11:05.005308+00:00,120.0,10.0,2025-06-13 19:59:46.786903+00:00,77.46,5.0,79.42,8.0
DUOL,2025-06-20,C,410.0,0.6816,delta=0.9763 gamma=0.0015 rho=0.0545 theta=-0.26 vega=0.0313,2025-06-09 17:28:14.266523+00:00,94.49,1.0,2025-06-13 19:59:46.284118+00:00,65.9,1.0,72.24,5.0
DUOL,2025-06-20,C,420.0,,,2025-06-11 13:59:10.172753+00:00,59.82,1.0,2025-06-13 19:58:30.183074+00:00,56.95,5.0,60.44,5.0
DUOL,2025-06-20,C,430.0,0.4909,delta=0.9712 gamma=0.0024 rho=0.0569 theta=-0.23 vega=0.0369,2025-06-12 15:48:43.714130+00:00,43.3,1.0,2025-06-13 19:58:49.452138+00:00,47.54,5.0,50.55,5.0
DUOL,2025-06-20,C,440.0,0.5427,delta=0.9132 gamma=0.0052 rho=0.0544 theta=-0.527 vega=0.0885,2025-06-09 19:29:55.932267+00:00,62.07,1.0,2025-06-13 19:59:43.969891+00:00,38.27,5.0,41.7,7.0
DUOL,2025-06-20,C,450.0,0.5478,delta=0.841 gamma=0.0079 rho=0.0508 theta=-0.7872 vega=0.1357,2025-06-12 18:58:22.173729+00:00,30.4,1.0,2025-06-13 19:59:52.036215+00:00,30.2,7.0,32.57,5.0
DUOL,2025-06-20,C,460.0,0.55,delta=0.7432 gamma=0.0105 rho=0.0455 theta=-1.0318 vega=0.1805,2025-06-13 14:55:36.481715+00:00,23.5,1.0,2025-06-13 19:59:57.426730+00:00,22.87,14.0,24.47,5.0
DUOL,2025-06-20,C,470.0,0.5184,delta=0.6311 gamma=0.013 rho=0.0391 theta=-1.1287 vega=0.2112,2025-06-13 19:15:00.759359+00:00,17.11,1.0,2025-06-13 19:59:58.374218+00:00,15.219,6.0,17.54,5.0
DUOL,2025-06-20,C,480.0,0.5255,delta=0.4955 gamma=0.0136 rho=0.031 theta=-1.2006 vega=0.2234,2025-06-13 19:15:00.759364+00:00,11.46,1.0,2025-06-13 19:59:58.077823+00:00,9.87,6.0,12.42,5.0
DUOL,2025-06-20,C,490.0,0.5095,delta=0.3597 gamma=0.0131 rho=0.0227 theta=-1.0867 vega=0.2095,2025-06-13 19:28:05.538425+00:00,6.6,1.0,2025-06-13 19:59:59.521386+00:00,5.88,7.0,7.64,1.0
DUOL,2025-06-20,C,500.0,0.5272,delta=0.2506 gamma=0.0108 rho=0.0158 theta=-0.9531 vega=0.1782,2025-06-13 19:23:31.123976+00:00,4.43,5.0,2025-06-13 19:59:59.352038+00:00,3.36,9.0,5.21,6.0
DUOL,2025-06-20,C,520.0,0.5367,delta=0.0996 gamma=0.0058 rho=0.0063 theta=-0.5314 vega=0.098,2025-06-13 19:56:28.414499+00:00,1.5,1.0,2025-06-13 19:59:55.957933+00:00,1.18,5.0,1.58,2.0
DUOL,2025-06-20,C,540.0,0.6408,delta=0.0585 gamma=0.0033 rho=0.0037 theta=-0.4223 vega=0.0654,2025-06-13 19:59:05.451121+00:00,0.77,1.0,2025-06-13 19:59:05.450950+00:00,0.77,2.0,0.98,1.0
DUOL,2025-06-20,C,560.0,0.6788,delta=0.0266 gamma=0.0016 rho=0.0017 theta=-0.2355 vega=0.0345,2025-06-13 19:48:04.260686+00:00,0.41,1.0,2025-06-13 19:24:25.762320+00:00,0.08,1.0,0.67,5.0
DUOL,2025-06-20,C,580.0,0.8184,delta=0.0253 gamma=0.0013 rho=0.0016 theta=-0.272 vega=0.0331,2025-06-12 19:09:03.543285+00:00,0.16,2.0,2025-06-13 19:59:49.141376+00:00,0.12,1.0,0.73,7.0
DUOL,2025-06-20,C,600.0,,,2025-06-13 19:48:04.260691+00:00,0.3,1.0,2025-06-13 19:50:01.209694+00:00,0.0,0.0,0.32,19.0
DUOL,2025-06-20,C,620.0,,,2025-06-12 15:24:40.044004+00:00,0.22,1.0,2025-06-13 19:56:23.974226+00:00,0.0,0.0,0.03,4.0
DUOL,2025-06-20,C,640.0,,,2025-06-10 14:42:14.508242+00:00,0.18,1.0,2025-06-13 19:59:01.953906+00:00,0.0,0.0,2.13,5.0
DUOL,2025-06-20,C,660.0,,,2025-06-09 13:38:21.705218+00:00,0.05,1.0,2025-06-13 19:59:56.850600+00:00,0.0,0.0,1.32,6.0
DUOL,2025-06-20,C,680.0,,,2025-06-06 13:55:23.204078+00:00,0.1,1.0,2025-06-13 19:59:40.954286+00:00,0.0,0.0,2.17,6.0
DUOL,2025-06-20,C,700.0,,,2025-06-06 15:31:17.229373+00:00,0.03,20.0,2025-06-13 19:55:15.151494+00:00,0.0,0.0,1.33,1.0
DUOL,2025-06-20,P,165.0,,,2025-06-04 13:43:04.153363+00:00,0.01,9.0,2025-06-13 19:57:53.004105+00:00,0.0,0.0,2.12,2.0
DUOL,2025-06-20,P,170.0,,,2025-06-12 15:48:27.353944+00:00,0.47,1.0,2025-06-13 19:57:32.005099+00:00,0.0,0.0,2.12,2.0
DUOL,2025-06-20,P,175.0,,,2025-06-12 15:48:27.353949+00:00,0.5,1.0,2025-06-13 19:57:56.474460+00:00,0.0,0.0,2.11,2.0
DUOL,2025-06-20,P,180.0,,,,,,2025-06-13 19:59:00.232679+00:00,0.0,0.0,2.12,2.0
DUOL,2025-06-20,P,185.0,,,,,,2025-06-13 19:59:00.232944+00:00,0.0,0.0,2.13,2.0
DUOL,2025-06-20,P,190.0,,,,,,2025-06-13 19:57:25.680061+00:00,0.0,0.0,2.18,2.0
