underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
ELF,2025-06-20,C,30.0,,,,,,2025-06-13 19:59:49.059246+00:00,91.29,1.0,96.89,69.0
ELF,2025-06-20,C,35.0,,,2025-05-08 14:30:59.214119+00:00,33.41,1.0,2025-06-13 19:59:49.059050+00:00,87.52,1.0,90.33,69.0
ELF,2025-06-20,C,40.0,,,2025-05-28 14:23:04.206399+00:00,51.34,3.0,2025-06-13 19:59:50.643292+00:00,82.89,50.0,85.06,36.0
ELF,2025-06-20,C,45.0,,,2025-06-06 19:41:01.400364+00:00,73.5,1.0,2025-06-13 19:59:49.087760+00:00,77.2,1.0,82.56,52.0
ELF,2025-06-20,C,50.0,,,2025-06-10 13:30:01.650862+00:00,67.25,4.0,2025-06-13 19:59:50.052433+00:00,73.8,1.0,75.86,58.0
ELF,2025-06-20,C,55.0,,,2025-06-12 14:25:05.242046+00:00,72.08,3.0,2025-06-13 19:59:52.883894+00:00,69.17,224.0,71.69,95.0
ELF,2025-06-20,C,60.0,,,2025-06-13 18:58:20.857859+00:00,64.7,1.0,2025-06-13 19:59:52.883894+00:00,64.479,158.0,67.82,73.0
ELF,2025-06-20,C,65.0,,,2025-06-13 18:32:32.357178+00:00,60.2,3.0,2025-06-13 19:59:54.799423+00:00,57.579,203.0,62.36,76.0
ELF,2025-06-20,C,67.0,,,2025-06-13 13:51:56.696337+00:00,62.35,1.0,2025-06-13 19:59:49.059862+00:00,55.74,1.0,58.679,70.0
ELF,2025-06-20,C,68.0,,,2025-06-02 14:23:11.026301+00:00,45.59,2.0,2025-06-13 19:59:52.639438+00:00,56.14,1.0,57.62,70.0
ELF,2025-06-20,C,69.0,,,2025-05-28 18:49:35.385364+00:00,24.64,1.0,2025-06-13 19:59:53.701869+00:00,54.779,1.0,57.0,75.0
ELF,2025-06-20,C,70.0,,,2025-06-13 14:51:01.618450+00:00,57.71,1.0,2025-06-13 19:59:55.112493+00:00,52.97,215.0,55.31,51.0
ELF,2025-06-20,C,71.0,,,2025-05-30 13:50:48.272725+00:00,41.42,1.0,2025-06-13 19:59:49.059161+00:00,52.479,1.0,56.579,75.0
ELF,2025-06-20,C,72.0,,,2025-05-29 13:50:42.581777+00:00,42.07,20.0,2025-06-13 19:59:49.060158+00:00,51.62,1.0,54.52,72.0
ELF,2025-06-20,C,73.0,,,2025-05-29 18:03:32.246358+00:00,37.91,5.0,2025-06-13 19:59:49.060158+00:00,49.63,1.0,52.979,71.0
ELF,2025-06-20,C,74.0,,,2025-06-13 14:01:13.452566+00:00,54.42,9.0,2025-06-13 19:59:52.185514+00:00,49.99,1.0,52.72,76.0
ELF,2025-06-20,C,75.0,,,2025-06-12 16:09:05.269562+00:00,54.04,1.0,2025-06-13 19:59:52.883743+00:00,49.88,152.0,51.77,66.0
ELF,2025-06-20,C,76.0,,,2025-06-02 16:42:43.626205+00:00,35.35,1.0,2025-06-13 19:59:49.059050+00:00,46.7,1.0,50.8,70.0
ELF,2025-06-20,C,77.0,,,2025-06-13 18:36:51.350017+00:00,48.45,1.0,2025-06-13 19:59:50.642089+00:00,46.56,50.0,49.34,78.0
ELF,2025-06-20,C,78.0,,,2025-05-27 14:35:41.537052+00:00,13.49,1.0,2025-06-13 19:59:34.816699+00:00,46.34,57.0,47.23,22.0
ELF,2025-06-20,C,79.0,,,2025-06-12 14:04:33.776426+00:00,46.87,2.0,2025-06-13 19:59:52.883700+00:00,45.11,46.0,47.31,48.0
ELF,2025-06-20,C,80.0,,,2025-06-13 18:45:52.392136+00:00,45.05,1.0,2025-06-13 19:59:59.978117+00:00,44.39,73.0,45.93,68.0
ELF,2025-06-20,C,81.0,,,2025-06-12 19:26:13.062409+00:00,47.98,1.0,2025-06-13 19:59:26.715548+00:00,43.5,1.0,45.62,60.0
ELF,2025-06-20,C,81.5,,,2025-05-29 19:19:00.960679+00:00,31.23,1.0,2025-06-13 19:59:49.087760+00:00,42.31,1.0,45.61,56.0
ELF,2025-06-20,C,82.0,,,2025-05-30 16:46:33.534013+00:00,31.289,1.0,2025-06-13 19:59:49.860933+00:00,41.31,1.0,44.34,54.0
ELF,2025-06-20,C,82.5,,,2025-06-12 18:07:30.191269+00:00,46.94,4.0,2025-06-13 19:59:51.004796+00:00,41.54,51.0,43.32,38.0
ELF,2025-06-20,C,83.0,,,2025-05-29 13:56:36.661505+00:00,29.589,1.0,2025-06-13 19:59:52.889468+00:00,39.8,57.0,43.51,9.0
ELF,2025-06-20,C,84.0,,,2025-06-13 15:06:20.545515+00:00,43.66,1.0,2025-06-13 19:58:55.955561+00:00,39.93,57.0,42.16,31.0
ELF,2025-06-20,C,85.0,,,2025-06-13 18:19:27.180367+00:00,40.16,1.0,2025-06-13 19:59:59.151486+00:00,38.84,51.0,41.52,73.0
ELF,2025-06-20,C,86.0,,,2025-06-12 14:17:27.222007+00:00,41.47,1.0,2025-06-13 19:59:58.555504+00:00,36.69,59.0,40.96,37.0
ELF,2025-06-20,C,87.0,,,2025-05-30 19:55:27.825211+00:00,25.5,1.0,2025-06-13 19:59:48.201687+00:00,37.62,49.0,39.21,1.0
ELF,2025-06-20,C,88.0,,,2025-06-06 18:42:39.755642+00:00,30.11,1.0,2025-06-13 19:59:52.883975+00:00,35.98,58.0,38.87,53.0
ELF,2025-06-20,C,89.0,,,2025-06-11 15:03:02.993601+00:00,34.42,1.0,2025-06-13 19:59:49.059867+00:00,34.72,1.0,37.62,29.0
ELF,2025-06-20,C,90.0,,,2025-06-13 19:46:45.876762+00:00,34.78,1.0,2025-06-13 19:59:55.047634+00:00,34.78,60.0,36.74,68.0
ELF,2025-06-20,C,91.0,,,2025-06-13 16:42:15.714076+00:00,35.44,1.0,2025-06-13 19:59:50.982594+00:00,33.29,39.0,34.87,26.0
ELF,2025-06-20,C,92.0,,,2025-06-13 16:08:44.768406+00:00,36.05,2.0,2025-06-13 19:59:52.889072+00:00,31.589,57.0,34.46,8.0
ELF,2025-06-20,C,92.5,,,,,,2025-06-13 19:59:22.540356+00:00,30.889,57.0,34.53,57.0
ELF,2025-06-20,C,93.0,,,2025-06-12 13:38:09.354100+00:00,31.5,10.0,2025-06-13 19:59:48.704758+00:00,30.9,58.0,33.11,35.0
ELF,2025-06-20,C,93.5,,,2025-06-11 19:55:31.379673+00:00,32.7,2.0,2025-06-13 19:59:52.888590+00:00,29.22,57.0,33.37,45.0
