underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
EOG,2025-06-20,C,60.0,,,,,,2025-06-13 19:56:00.749164+00:00,62.7,23.0,67.21,24.0
EOG,2025-06-20,C,65.0,,,2024-12-27 18:31:44.063413+00:00,55.72,1.0,2025-06-13 19:56:37.353316+00:00,58.61,1.0,61.4,24.0
EOG,2025-06-20,C,70.0,,,2024-12-19 16:28:28.932599+00:00,49.55,1.0,2025-06-13 19:56:07.215016+00:00,53.87,1.0,57.779,23.0
EOG,2025-06-20,C,75.0,,,2024-12-06 14:35:28.580971+00:00,54.49,1.0,2025-06-13 19:55:55.318290+00:00,48.32,1.0,51.77,24.0
EOG,2025-06-20,C,80.0,,,2024-12-30 18:47:06.000784+00:00,40.79,1.0,2025-06-13 19:57:37.452547+00:00,44.08,5.0,47.38,5.0
EOG,2025-06-20,C,85.0,,,2025-06-13 16:12:38.188865+00:00,39.25,2.0,2025-06-13 19:55:46.791503+00:00,39.19,5.0,42.43,5.0
EOG,2025-06-20,C,90.0,,,2025-04-10 19:05:19.819026+00:00,17.8,1.0,2025-06-13 19:59:01.919204+00:00,33.59,6.0,37.58,5.0
EOG,2025-06-20,C,95.0,,,2025-05-21 16:50:01.051642+00:00,18.19,1.0,2025-06-13 19:56:19.531554+00:00,29.06,1.0,32.18,5.0
EOG,2025-06-20,C,100.0,,,2025-06-13 19:33:48.034284+00:00,25.2,2.0,2025-06-13 19:59:59.663438+00:00,25.59,5.0,26.96,6.0
EOG,2025-06-20,C,102.0,,,,,,2025-06-13 19:59:40.805637+00:00,21.99,6.0,24.31,5.0
EOG,2025-06-20,C,103.0,,,2025-06-04 16:35:05.426044+00:00,8.65,1.0,2025-06-13 19:59:50.553039+00:00,21.11,5.0,23.42,5.0
EOG,2025-06-20,C,104.0,,,2025-06-04 15:23:14.873769+00:00,9.2,1.0,2025-06-13 19:58:18.512492+00:00,20.0,5.0,22.17,5.0
EOG,2025-06-20,C,105.0,,,2025-06-13 14:25:43.517117+00:00,19.88,5.0,2025-06-13 19:59:59.659625+00:00,18.84,105.0,21.3,37.0
EOG,2025-06-20,C,106.0,,,,,,2025-06-13 19:59:40.745615+00:00,17.86,5.0,20.68,5.0
EOG,2025-06-20,C,107.0,,,2025-06-13 13:46:15.997079+00:00,16.44,1.0,2025-06-13 19:59:50.553068+00:00,17.1,5.0,19.38,5.0
