underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
GOOGL,2025-06-20,C,25.0,,,2025-06-09 14:10:24.032509+00:00,152.9,1.0,2025-06-13 19:59:59.568007+00:00,149.93,103.0,150.54,117.0
GOOGL,2025-06-20,C,30.0,,,2025-05-30 16:52:07.615247+00:00,137.62,1.0,2025-06-13 19:59:59.569084+00:00,143.73,102.0,147.13,117.0
GOOGL,2025-06-20,C,35.0,,,2025-06-06 16:35:00.155366+00:00,138.15,25.0,2025-06-13 19:59:59.568849+00:00,138.8,102.0,138.87,136.0
GOOGL,2025-06-20,C,40.0,,,2025-06-12 15:04:55.159588+00:00,136.64,1.0,2025-06-13 19:59:59.567841+00:00,134.96,112.0,137.27,117.0
GOOGL,2025-06-20,C,45.0,,,2025-06-06 16:35:00.155431+00:00,127.45,50.0,2025-06-13 19:59:59.568292+00:00,127.33,102.0,132.34,117.0
GOOGL,2025-06-20,C,50.0,,,2025-06-12 15:04:55.159588+00:00,127.0,1.0,2025-06-13 19:59:59.567971+00:00,123.72,113.0,128.04,120.0
GOOGL,2025-06-20,C,55.0,,,2025-06-06 16:35:00.155482+00:00,118.2,100.0,2025-06-13 19:59:59.569545+00:00,116.85,102.0,122.5,111.0
GOOGL,2025-06-20,C,60.0,,,2025-06-09 16:44:04.783733+00:00,116.34,1.0,2025-06-13 19:59:59.852840+00:00,115.5,108.0,116.25,34.0
GOOGL,2025-06-20,C,65.0,,,2025-06-10 16:05:23.979978+00:00,114.76,1.0,2025-06-13 19:59:59.569049+00:00,110.34,102.0,112.34,116.0
GOOGL,2025-06-20,C,70.0,,,2025-06-12 15:09:23.843821+00:00,105.109,5.0,2025-06-13 19:59:59.568538+00:00,105.62,108.0,107.22,118.0
GOOGL,2025-06-20,C,75.0,,,2025-06-06 19:53:18.286283+00:00,98.23,1.0,2025-06-13 19:59:59.569019+00:00,100.6,102.0,101.95,117.0
GOOGL,2025-06-20,C,80.0,,,2025-06-11 16:26:30.615724+00:00,97.85,1.0,2025-06-13 19:59:59.569280+00:00,93.33,107.0,94.71,116.0
GOOGL,2025-06-20,C,85.0,,,2025-06-06 19:53:18.286288+00:00,88.28,2.0,2025-06-13 19:59:59.569305+00:00,88.64,108.0,90.57,117.0
GOOGL,2025-06-20,C,90.0,,,2025-05-30 17:51:02.285428+00:00,80.74,3.0,2025-06-13 19:59:59.569345+00:00,85.41,102.0,86.17,115.0
