underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
GRAB,2025-06-20,C,0.5,,,,,,2025-06-13 19:59:57.919034+00:00,3.76,161.0,4.53,98.0
GRAB,2025-06-20,C,1.0,,,,,,2025-06-13 19:59:57.917691+00:00,3.18,161.0,3.92,101.0
GRAB,2025-06-20,C,1.5,,,,,,2025-06-13 19:59:57.917691+00:00,2.68,161.0,3.25,110.0
GRAB,2025-06-20,C,2.0,,,,,,2025-06-13 19:59:57.917682+00:00,2.12,161.0,2.77,114.0
GRAB,2025-06-20,C,2.5,,,2025-05-30 16:27:21.740366+00:00,2.38,2.0,2025-06-13 19:59:57.919105+00:00,1.83,161.0,2.37,114.0
GRAB,2025-06-20,C,3.0,,,2025-05-29 13:46:48.557835+00:00,1.88,1.0,2025-06-13 19:59:10.528379+00:00,1.33,191.0,1.83,166.0
GRAB,2025-06-20,C,3.5,,,2025-06-13 19:57:38.689430+00:00,1.05,1.0,2025-06-13 19:59:54.855536+00:00,0.919,2010.0,1.48,885.0
GRAB,2025-06-20,C,4.0,,,2025-06-13 16:01:42.962676+00:00,0.65,2.0,2025-06-13 19:59:55.635216+00:00,0.52,1693.0,1.52,1606.0
GRAB,2025-06-20,C,4.5,0.2543,delta=0.7346 gamma=2.4047 rho=0.0004 theta=-0.0049 vega=0.0018,2025-06-13 18:39:37.280860+00:00,0.12,5.0,2025-06-13 19:59:54.964822+00:00,0.08,2849.0,0.13,1.0
GRAB,2025-06-20,C,5.0,,,2025-06-13 19:38:52.725012+00:00,0.01,8.0,2025-06-13 19:59:54.964817+00:00,0.0,0.0,0.03,3930.0
GRAB,2025-06-20,C,5.5,,,2025-06-13 17:07:35.322612+00:00,0.01,2.0,2025-06-13 19:59:54.964802+00:00,0.0,0.0,0.03,5841.0
GRAB,2025-06-20,C,6.0,,,2025-06-11 14:14:06.769434+00:00,0.01,1.0,2025-06-13 13:30:09.343744+00:00,0.0,0.0,0.03,5.0
GRAB,2025-06-20,C,6.5,,,,,,2025-06-13 19:58:36.432873+00:00,0.0,0.0,0.52,3931.0
GRAB,2025-06-20,C,7.0,,,2025-05-15 13:43:44.600722+00:00,0.05,1.0,2025-06-13 14:44:57.131761+00:00,0.0,0.0,0.07,7.0
GRAB,2025-06-20,C,7.5,,,,,,2025-06-13 19:59:03.682259+00:00,0.0,0.0,0.52,3969.0
GRAB,2025-06-20,C,8.0,,,,,,2025-06-13 19:59:03.359842+00:00,0.0,0.0,0.48,4707.0
GRAB,2025-06-20,C,8.5,,,,,,2025-06-13 19:59:03.359876+00:00,0.0,0.0,0.48,4587.0
GRAB,2025-06-20,C,9.0,,,,,,2025-06-13 19:59:03.359921+00:00,0.0,0.0,0.52,4774.0
GRAB,2025-06-20,P,0.5,,,,,,2025-06-13 19:59:11.560905+00:00,0.0,0.0,0.28,3471.0
GRAB,2025-06-20,P,1.0,,,,,,2025-06-13 19:59:02.999046+00:00,0.0,0.0,0.43,4002.0
