underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
HIMS,2025-06-20,C,13.0,,,2025-05-12 13:31:14.539173+00:00,43.38,1.0,2025-06-13 19:59:49.388910+00:00,40.34,1.0,44.42,103.0
HIMS,2025-06-20,C,14.0,,,2025-05-08 13:37:23.133409+00:00,37.7,1.0,2025-06-13 19:57:32.237420+00:00,39.42,1.0,42.41,100.0
HIMS,2025-06-20,C,15.0,,,2025-05-09 13:44:43.975841+00:00,35.49,21.0,2025-06-13 19:59:59.488170+00:00,38.89,124.0,41.56,124.0
HIMS,2025-06-20,C,16.0,,,,,,2025-06-13 19:57:32.237495+00:00,37.97,1.0,40.16,100.0
HIMS,2025-06-20,C,17.0,,,2025-04-24 17:45:29.533841+00:00,11.7,1.0,2025-06-13 19:59:49.377713+00:00,36.03,1.0,39.58,103.0
HIMS,2025-06-20,C,18.0,,,,,,2025-06-13 19:59:32.782173+00:00,35.78,1.0,38.55,103.0
HIMS,2025-06-20,C,19.0,,,2025-05-13 14:43:00.893944+00:00,40.85,1.0,2025-06-13 19:59:13.089690+00:00,34.44,1.0,38.54,101.0
HIMS,2025-06-20,C,20.0,,,2025-06-11 15:53:25.824098+00:00,36.48,3.0,2025-06-13 19:59:55.377957+00:00,33.08,115.0,36.56,114.0
HIMS,2025-06-20,C,21.0,,,2025-05-06 14:57:13.458295+00:00,25.55,1.0,2025-06-13 19:59:49.163163+00:00,32.77,123.0,35.9,103.0
HIMS,2025-06-20,C,22.0,,,2025-05-14 16:33:31.711057+00:00,40.2,1.0,2025-06-13 19:59:44.006404+00:00,31.639,1.0,35.25,103.0
HIMS,2025-06-20,C,23.0,,,2025-05-16 14:49:14.795962+00:00,39.29,1.0,2025-06-13 19:59:46.435299+00:00,30.589,1.0,34.17,1.0
HIMS,2025-06-20,C,24.0,,,2025-06-09 18:35:24.149224+00:00,32.26,3.0,2025-06-13 19:59:43.583346+00:00,29.83,1.0,32.12,104.0
HIMS,2025-06-20,C,25.0,,,2025-06-13 19:48:22.288497+00:00,30.0,1.0,2025-06-13 19:59:59.459396+00:00,29.57,124.0,31.289,123.0
HIMS,2025-06-20,C,26.0,,,2025-05-16 19:57:45.823882+00:00,38.73,8.0,2025-06-13 19:59:40.728199+00:00,27.86,106.0,30.53,123.0
HIMS,2025-06-20,C,27.0,,,2025-06-13 19:44:18.617430+00:00,28.48,2.0,2025-06-13 19:59:59.455391+00:00,26.93,521.0,29.089,346.0
HIMS,2025-06-20,C,28.0,,,2025-06-12 14:06:44.132849+00:00,29.58,20.0,2025-06-13 19:59:59.454865+00:00,26.57,350.0,28.71,334.0
HIMS,2025-06-20,C,29.0,,,2025-06-13 17:24:14.566474+00:00,27.66,5.0,2025-06-13 19:59:59.455381+00:00,25.07,601.0,26.98,310.0
HIMS,2025-06-20,C,30.0,,,2025-06-13 19:48:22.287997+00:00,25.0,2.0,2025-06-13 19:59:58.880988+00:00,24.19,652.0,26.86,347.0
HIMS,2025-06-20,C,31.0,,,2025-06-13 18:38:45.539670+00:00,24.61,1.0,2025-06-13 19:59:58.856585+00:00,24.47,348.0,25.25,402.0
HIMS,2025-06-20,C,32.0,,,2025-06-12 15:55:35.597674+00:00,25.08,4.0,2025-06-13 19:59:59.476737+00:00,22.79,21.0,23.64,364.0
HIMS,2025-06-20,C,33.0,,,2025-06-06 18:16:00.147310+00:00,23.71,1.0,2025-06-13 19:59:59.476737+00:00,21.49,139.0,22.81,12.0
HIMS,2025-06-20,C,34.0,,,2025-06-13 19:46:03.763335+00:00,21.78,1.0,2025-06-13 19:59:58.855492+00:00,21.78,29.0,22.25,389.0
HIMS,2025-06-20,C,35.0,,,2025-06-13 18:42:20.176109+00:00,20.68,1.0,2025-06-13 19:59:59.171003+00:00,20.58,198.0,21.28,332.0
HIMS,2025-06-20,C,36.0,,,2025-06-13 19:53:44.149347+00:00,19.58,1.0,2025-06-13 19:59:59.028471+00:00,19.05,82.0,20.14,398.0
HIMS,2025-06-20,C,37.0,,,2025-06-12 17:42:48.135696+00:00,20.27,24.0,2025-06-13 19:59:59.476888+00:00,18.38,19.0,19.13,391.0
HIMS,2025-06-20,C,38.0,,,2025-06-13 14:23:20.570395+00:00,17.2,4.0,2025-06-13 19:59:59.164849+00:00,16.92,198.0,17.98,381.0
HIMS,2025-06-20,C,39.0,,,2025-06-13 16:01:08.303459+00:00,18.52,1.0,2025-06-13 19:59:59.028569+00:00,16.61,134.0,17.41,407.0
HIMS,2025-06-20,C,40.0,,,2025-06-13 19:46:36.213575+00:00,15.569,1.0,2025-06-13 19:59:59.028575+00:00,15.569,150.0,15.91,42.0
HIMS,2025-06-20,C,41.0,,,2025-06-13 19:46:18.324491+00:00,14.28,1.0,2025-06-13 19:59:59.488080+00:00,13.64,604.0,15.09,380.0
HIMS,2025-06-20,C,42.0,,,2025-06-13 17:13:25.440974+00:00,14.419,8.0,2025-06-13 19:59:58.860970+00:00,13.36,118.0,13.54,11.0
HIMS,2025-06-20,C,43.0,,,2025-06-13 14:49:14.091154+00:00,12.41,1.0,2025-06-13 19:59:59.488170+00:00,12.39,14.0,13.43,384.0
HIMS,2025-06-20,C,44.0,,,2025-06-13 19:42:41.039586+00:00,11.64,11.0,2025-06-13 19:59:59.077882+00:00,11.61,78.0,11.82,305.0
HIMS,2025-06-20,C,45.0,,,2025-06-13 16:57:41.095636+00:00,11.67,1.0,2025-06-13 19:59:59.454740+00:00,10.24,18.0,11.29,456.0
HIMS,2025-06-20,C,46.0,1.1675,delta=0.9228 gamma=0.0191 rho=0.0057 theta=-0.1143 vega=0.0094,2025-06-13 19:47:19.376281+00:00,9.51,1.0,2025-06-13 19:59:59.028535+00:00,9.51,20.0,9.76,54.0
HIMS,2025-06-20,C,47.0,1.1552,delta=0.8995 gamma=0.0235 rho=0.0056 theta=-0.1366 vega=0.0114,2025-06-13 19:56:02.028973+00:00,8.61,10.0,2025-06-13 19:59:57.851845+00:00,8.55,15.0,8.92,17.0
HIMS,2025-06-20,C,48.0,1.4209,delta=0.8267 gamma=0.0278 rho=0.0051 theta=-0.2401 vega=0.0166,2025-06-13 15:00:36.392401+00:00,8.0,4.0,2025-06-13 19:59:59.454750+00:00,7.63,19.0,8.94,425.0
HIMS,2025-06-20,C,49.0,1.3222,delta=0.8068 gamma=0.032 rho=0.0051 theta=-0.2391 vega=0.0178,2025-06-13 16:02:17.658224+00:00,8.24,1.0,2025-06-13 19:59:59.454856+00:00,6.73,28.0,7.959,512.0
HIMS,2025-06-20,C,50.0,1.0376,delta=0.8158 gamma=0.0396 rho=0.0054 theta=-0.1835 vega=0.0172,2025-06-13 19:58:10.585382+00:00,5.93,1.0,2025-06-13 19:59:59.028471+00:00,5.93,191.0,6.22,249.0
HIMS,2025-06-20,C,51.0,1.1572,delta=0.7498 gamma=0.0424 rho=0.0049 theta=-0.2425 vega=0.0206,2025-06-13 19:52:41.134676+00:00,5.19,1.0,2025-06-13 19:59:59.029220+00:00,5.19,25.0,5.93,487.0
HIMS,2025-06-20,C,52.0,1.1434,delta=0.7037 gamma=0.0467 rho=0.0047 theta=-0.26 vega=0.0224,2025-06-13 19:49:51.088308+00:00,4.52,1.0,2025-06-13 19:59:59.029236+00:00,4.47,24.0,5.23,499.0
HIMS,2025-06-20,C,53.0,0.9973,delta=0.6671 gamma=0.0563 rho=0.0045 theta=-0.2386 vega=0.0235,2025-06-13 19:58:14.222367+00:00,3.829,2.0,2025-06-13 19:59:59.858894+00:00,3.829,11.0,3.92,116.0
HIMS,2025-06-20,C,54.0,0.9603,delta=0.6095 gamma=0.0617 rho=0.0042 theta=-0.2423 vega=0.0249,2025-06-13 19:59:43.646346+00:00,3.04,1.0,2025-06-13 19:59:59.549602+00:00,3.04,201.0,3.34,28.0
HIMS,2025-06-20,C,55.0,0.9634,delta=0.5456 gamma=0.0635 rho=0.0038 theta=-0.2505 vega=0.0257,2025-06-13 19:59:55.605003+00:00,2.67,1.0,2025-06-13 19:59:59.020661+00:00,2.53,12.0,2.8,121.0
