underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
HOOD,2025-06-20,C,3.0,,,2025-06-11 14:22:58.536761+00:00,70.25,1.0,2025-06-13 19:59:59.567740+00:00,66.88,1.0,70.16,5.0
HOOD,2025-06-20,C,5.0,,,2025-06-12 19:51:28.210048+00:00,69.49,1.0,2025-06-13 19:59:59.600770+00:00,67.1,59.0,68.76,102.0
HOOD,2025-06-20,C,10.0,,,2025-06-11 14:35:27.268562+00:00,64.29,1.0,2025-06-13 19:59:59.004948+00:00,63.05,7.0,64.27,10.0
HOOD,2025-06-20,C,12.0,,,2025-05-08 18:33:06.703236+00:00,42.48,5.0,2025-06-13 19:59:59.023161+00:00,59.29,3.0,61.99,3.0
HOOD,2025-06-20,C,13.0,,,2025-06-06 19:35:32.860016+00:00,62.52,1.0,2025-06-13 19:59:59.565213+00:00,59.05,131.0,60.6,40.0
HOOD,2025-06-20,C,14.0,,,2025-06-04 19:49:26.819921+00:00,58.4,1.0,2025-06-13 19:59:59.610833+00:00,56.79,98.0,59.55,70.0
HOOD,2025-06-20,C,15.0,,,2025-06-03 15:44:04.057332+00:00,56.6,1.0,2025-06-13 19:59:59.565325+00:00,56.829,101.0,58.26,10.0
HOOD,2025-06-20,C,16.0,,,2025-05-16 14:18:27.554659+00:00,45.32,15.0,2025-06-13 19:59:59.610833+00:00,55.129,66.0,57.39,59.0
HOOD,2025-06-20,C,17.0,,,2025-06-03 14:49:30.801067+00:00,53.63,1.0,2025-06-13 19:59:58.535800+00:00,54.4,66.0,55.95,56.0
HOOD,2025-06-20,C,18.0,,,2025-06-06 14:17:01.784114+00:00,55.9,1.0,2025-06-13 19:59:59.565048+00:00,52.54,100.0,55.8,3.0
HOOD,2025-06-20,C,19.0,,,2025-06-03 19:57:43.086412+00:00,52.9,15.0,2025-06-13 19:59:59.564753+00:00,52.45,8.0,53.85,10.0
HOOD,2025-06-20,C,20.0,,,2025-06-12 14:52:06.594207+00:00,55.91,10.0,2025-06-13 19:59:59.022724+00:00,51.429,1.0,52.86,3.0
HOOD,2025-06-20,C,21.0,,,2025-06-09 13:36:10.110895+00:00,48.59,2.0,2025-06-13 19:59:59.598042+00:00,51.02,44.0,51.14,42.0
HOOD,2025-06-20,C,22.0,,,2025-06-12 14:50:11.310228+00:00,52.42,5.0,2025-06-13 19:59:59.215244+00:00,50.75,10.0,51.95,6.0
HOOD,2025-06-20,C,23.0,,,2025-06-13 18:02:28.653913+00:00,50.01,2.0,2025-06-13 19:59:59.610622+00:00,49.14,39.0,49.38,47.0
HOOD,2025-06-20,C,24.0,,,2025-06-13 17:40:40.824935+00:00,48.98,1.0,2025-06-13 19:59:59.565615+00:00,48.45,5.0,49.74,101.0
HOOD,2025-06-20,C,25.0,,,2025-06-13 19:17:42.927387+00:00,47.8,1.0,2025-06-13 19:59:59.599331+00:00,46.97,49.0,48.27,61.0
HOOD,2025-06-20,C,26.0,,,2025-06-10 13:48:29.086370+00:00,48.11,1.0,2025-06-13 19:59:59.022831+00:00,45.57,2.0,47.9,174.0
HOOD,2025-06-20,C,27.0,,,2025-06-13 19:39:31.674390+00:00,45.72,8.0,2025-06-13 19:59:59.004948+00:00,45.51,6.0,45.72,10.0
HOOD,2025-06-20,C,28.0,,,2025-06-13 19:54:23.546210+00:00,44.4,33.0,2025-06-13 19:59:59.606968+00:00,44.3,49.0,44.73,51.0
HOOD,2025-06-20,C,29.0,,,2025-06-11 16:10:31.252463+00:00,45.72,4.0,2025-06-13 19:59:59.214568+00:00,42.06,10.0,44.64,10.0
HOOD,2025-06-20,C,30.0,,,2025-06-13 19:30:22.638279+00:00,42.8,1.0,2025-06-13 19:59:59.025728+00:00,41.17,21.0,42.96,1.0
HOOD,2025-06-20,C,31.0,,,2025-06-13 16:03:20.737957+00:00,43.18,22.0,2025-06-13 19:59:59.567920+00:00,40.74,10.0,42.87,18.0
HOOD,2025-06-20,C,32.0,,,2025-06-05 19:37:07.848652+00:00,40.8,1.0,2025-06-13 19:59:59.564396+00:00,40.13,10.0,41.92,100.0
HOOD,2025-06-20,C,33.0,,,2025-06-12 16:11:00.240877+00:00,41.86,5.0,2025-06-13 19:59:59.544514+00:00,38.73,144.0,39.28,4.0
HOOD,2025-06-20,C,34.0,,,2025-06-10 16:07:19.944955+00:00,38.63,1.0,2025-06-13 19:59:59.058545+00:00,37.55,1.0,39.25,6.0
HOOD,2025-06-20,C,35.0,,,2025-06-13 18:33:22.702302+00:00,37.25,1.0,2025-06-13 19:59:59.564748+00:00,36.71,100.0,38.67,124.0
HOOD,2025-06-20,C,36.0,,,2025-06-12 19:07:01.387544+00:00,38.01,1.0,2025-06-13 19:59:59.544529+00:00,35.86,48.0,37.04,20.0
HOOD,2025-06-20,C,37.0,,,2025-06-13 19:26:01.520391+00:00,35.35,50.0,2025-06-13 19:59:59.058545+00:00,34.85,1.0,36.07,6.0
HOOD,2025-06-20,C,38.0,,,2025-06-13 13:34:57.342201+00:00,35.54,1.0,2025-06-13 19:59:59.022729+00:00,34.37,6.0,35.58,5.0
HOOD,2025-06-20,C,39.0,,,2025-06-12 15:19:26.138922+00:00,35.69,1.0,2025-06-13 19:59:59.607605+00:00,33.37,45.0,33.47,35.0
HOOD,2025-06-20,C,40.0,,,2025-06-13 19:41:19.443954+00:00,32.06,1.0,2025-06-13 19:59:59.021518+00:00,31.86,25.0,32.339,6.0
HOOD,2025-06-20,C,41.0,,,2025-06-13 17:44:31.009830+00:00,32.639,1.0,2025-06-13 19:59:59.004948+00:00,30.9,10.0,31.73,6.0
HOOD,2025-06-20,C,42.0,,,2025-06-13 18:36:33.471360+00:00,30.22,8.0,2025-06-13 19:59:59.604267+00:00,30.689,34.0,31.36,34.0
HOOD,2025-06-20,C,43.0,,,2025-06-13 19:55:07.387541+00:00,29.55,22.0,2025-06-13 19:59:59.605579+00:00,29.089,98.0,30.72,76.0
HOOD,2025-06-20,C,44.0,,,2025-06-13 18:15:00.636108+00:00,28.71,1.0,2025-06-13 19:59:59.860668+00:00,26.98,122.0,30.089,95.0
HOOD,2025-06-20,C,45.0,,,2025-06-13 19:54:42.536463+00:00,27.6,1.0,2025-06-13 19:59:59.565325+00:00,26.089,1.0,28.93,6.0
HOOD,2025-06-20,C,46.0,,,2025-06-13 19:00:36.521496+00:00,26.83,1.0,2025-06-13 19:59:59.644089+00:00,25.62,141.0,27.26,100.0
HOOD,2025-06-20,C,47.0,,,2025-06-13 19:42:50.788485+00:00,25.7,1.0,2025-06-13 19:59:59.004888+00:00,25.39,8.0,26.28,10.0
HOOD,2025-06-20,C,48.0,,,2025-06-13 19:34:59.341352+00:00,24.98,1.0,2025-06-13 19:59:59.022917+00:00,24.57,6.0,24.82,13.0
HOOD,2025-06-20,C,49.0,,,2025-06-13 19:07:31.580544+00:00,23.97,1.0,2025-06-13 19:59:57.761814+00:00,23.03,128.0,23.64,38.0
HOOD,2025-06-20,C,50.0,,,2025-06-13 19:50:00.050002+00:00,22.8,96.0,2025-06-13 19:59:59.551796+00:00,22.2,24.0,23.88,148.0
HOOD,2025-06-20,C,51.0,,,2025-06-12 15:09:19.350091+00:00,24.05,1.0,2025-06-13 19:59:59.654190+00:00,21.25,129.0,22.75,121.0
HOOD,2025-06-20,C,52.0,,,2025-06-13 19:31:26.293221+00:00,20.83,2.0,2025-06-13 19:59:59.852212+00:00,19.66,143.0,21.08,154.0
HOOD,2025-06-20,C,53.0,,,2025-06-13 19:09:14.567125+00:00,19.97,3.0,2025-06-13 19:59:58.817721+00:00,19.02,207.0,19.87,219.0
HOOD,2025-06-20,C,54.0,,,2025-06-13 18:33:24.392997+00:00,18.37,1.0,2025-06-13 19:59:59.008191+00:00,18.18,106.0,18.53,8.0
HOOD,2025-06-20,C,55.0,,,2025-06-13 19:59:43.446555+00:00,17.65,50.0,2025-06-13 19:59:59.553034+00:00,17.11,133.0,18.1,9.0
HOOD,2025-06-20,C,56.0,,,2025-06-13 19:53:09.334407+00:00,16.67,3.0,2025-06-13 19:59:57.692595+00:00,16.21,7.0,16.72,20.0
HOOD,2025-06-20,C,57.0,,,2025-06-13 18:34:23.332039+00:00,15.36,1.0,2025-06-13 19:59:59.839303+00:00,15.269,157.0,15.73,16.0
HOOD,2025-06-20,C,58.0,,,2025-06-13 19:52:23.654439+00:00,14.51,10.0,2025-06-13 19:59:58.531078+00:00,14.34,71.0,14.81,12.0
HOOD,2025-06-20,C,59.0,,,2025-06-13 19:55:48.321543+00:00,13.6,10.0,2025-06-13 19:59:59.683521+00:00,13.33,85.0,13.819,7.0
HOOD,2025-06-20,C,60.0,,,2025-06-13 19:48:43.989724+00:00,12.8,3.0,2025-06-13 19:59:59.026705+00:00,12.67,9.0,13.45,130.0
HOOD,2025-06-20,C,61.0,1.3613,delta=0.8755 gamma=0.0178 rho=0.007 theta=-0.2427 vega=0.0174,2025-06-13 19:14:44.709118+00:00,12.07,3.0,2025-06-13 19:59:59.464304+00:00,11.61,10.0,12.65,110.0
HOOD,2025-06-20,C,62.0,1.0139,delta=0.9135 gamma=0.0184 rho=0.0076 theta=-0.1418 vega=0.0133,2025-06-13 19:58:23.061939+00:00,10.77,2.0,2025-06-13 19:59:59.015775+00:00,10.56,60.0,10.89,48.0
HOOD,2025-06-20,C,63.0,0.8931,delta=0.9161 gamma=0.0204 rho=0.0078 theta=-0.1232 vega=0.013,2025-06-13 19:11:16.398539+00:00,10.08,1.0,2025-06-13 19:59:59.851115+00:00,9.37,13.0,9.97,15.0
HOOD,2025-06-20,C,64.0,1.0845,delta=0.849 gamma=0.0255 rho=0.0072 theta=-0.2212 vega=0.0198,2025-06-13 19:40:30.870409+00:00,9.15,66.0,2025-06-13 19:59:59.855034+00:00,8.41,83.0,9.85,160.0
HOOD,2025-06-20,C,65.0,0.9276,delta=0.8517 gamma=0.0295 rho=0.0073 theta=-0.188 vega=0.0196,2025-06-13 19:59:27.986100+00:00,7.95,10.0,2025-06-13 19:59:59.564582+00:00,7.54,151.0,8.46,60.0
HOOD,2025-06-20,C,66.0,1.0924,delta=0.7837 gamma=0.0317 rho=0.0067 theta=-0.2769 vega=0.0248,2025-06-13 19:59:43.452519+00:00,7.17,17.0,2025-06-13 19:59:59.558282+00:00,7.17,7.0,8.0,106.0
HOOD,2025-06-20,C,67.0,0.9359,delta=0.7761 gamma=0.0378 rho=0.0068 theta=-0.2428 vega=0.0253,2025-06-13 19:57:16.112186+00:00,6.21,1.0,2025-06-13 19:59:59.024128+00:00,6.21,21.0,6.69,72.0
HOOD,2025-06-20,C,68.0,0.8196,delta=0.7573 gamma=0.0451 rho=0.0068 theta=-0.2229 vega=0.0265,2025-06-13 19:51:20.075542+00:00,5.57,1.0,2025-06-13 19:59:59.651434+00:00,5.26,31.0,5.57,25.0
HOOD,2025-06-20,C,69.0,0.7501,delta=0.7216 gamma=0.0529 rho=0.0065 theta=-0.2188 vega=0.0284,2025-06-13 19:58:23.414787+00:00,4.65,1.0,2025-06-13 19:59:59.531874+00:00,4.36,54.0,4.67,22.0
HOOD,2025-06-20,C,70.0,0.786,delta=0.6585 gamma=0.0552 rho=0.006 theta=-0.2494 vega=0.0311,2025-06-13 19:58:41.514461+00:00,3.92,4.0,2025-06-13 19:59:59.016170+00:00,3.92,8.0,4.01,2.0
HOOD,2025-06-20,C,71.0,0.778,delta=0.6009 gamma=0.0586 rho=0.0055 theta=-0.259 vega=0.0327,2025-06-13 19:54:03.691834+00:00,3.3,1.0,2025-06-13 19:59:59.499146+00:00,3.24,9.0,3.45,17.0
HOOD,2025-06-20,C,72.0,0.7348,delta=0.541 gamma=0.0638 rho=0.005 theta=-0.2511 vega=0.0336,2025-06-13 19:59:31.245444+00:00,2.65,1.0,2025-06-13 19:59:59.116589+00:00,2.65,11.0,2.68,12.0
HOOD,2025-06-20,C,73.0,0.7228,delta=0.4762 gamma=0.0651 rho=0.0044 theta=-0.2475 vega=0.0337,2025-06-13 19:59:57.359401+00:00,2.12,1.0,2025-06-13 19:59:59.759396+00:00,2.09,44.0,2.21,11.0
HOOD,2025-06-20,C,74.0,0.6896,delta=0.407 gamma=0.0665 rho=0.0038 theta=-0.2298 vega=0.0329,2025-06-13 19:59:54.537059+00:00,1.68,8.0,2025-06-13 19:59:59.665924+00:00,1.53,1.0,1.73,1.0
HOOD,2025-06-20,C,75.0,0.7039,delta=0.3477 gamma=0.062 rho=0.0033 theta=-0.223 vega=0.0313,2025-06-13 19:59:57.989721+00:00,1.33,1.0,2025-06-13 19:59:58.629719+00:00,1.29,32.0,1.37,14.0
HOOD,2025-06-20,C,76.0,0.695,delta=0.2876 gamma=0.0579 rho=0.0027 theta=-0.2029 vega=0.0289,2025-06-13 19:59:35.834810+00:00,0.98,1.0,2025-06-13 19:59:59.951855+00:00,0.969,15.0,1.06,14.0
HOOD,2025-06-20,C,77.0,0.6837,delta=0.2313 gamma=0.0526 rho=0.0022 theta=-0.1782 vega=0.0258,2025-06-13 19:59:49.160069+00:00,0.77,1.0,2025-06-13 19:59:59.526195+00:00,0.73,8.0,0.77,8.0
HOOD,2025-06-20,C,78.0,0.6794,delta=0.1836 gamma=0.0462 rho=0.0017 theta=-0.1543 vega=0.0225,2025-06-13 19:58:58.675786+00:00,0.57,2.0,2025-06-13 19:59:59.631507+00:00,0.54,12.0,0.57,13.0
