underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
JPM,2025-06-20,C,70.0,,,2025-05-20 14:51:57.688475+00:00,197.37,1.0,2025-06-13 19:59:53.523953+00:00,195.64,44.0,195.78,42.0
JPM,2025-06-20,C,75.0,,,2025-05-02 18:32:58.539458+00:00,178.29,1.0,2025-06-13 19:59:53.777729+00:00,187.64,41.0,191.34,55.0
JPM,2025-06-20,C,80.0,,,2025-05-01 19:17:14.448245+00:00,168.4,1.0,2025-06-13 19:59:57.136306+00:00,184.65,46.0,188.05,43.0
JPM,2025-06-20,C,85.0,,,2024-12-16 17:27:04.837201+00:00,154.63,1.0,2025-06-13 19:59:57.463757+00:00,175.73,1.0,183.04,41.0
JPM,2025-06-20,C,90.0,,,2025-05-28 18:51:56.010415+00:00,174.76,1.0,2025-06-13 19:59:53.770351+00:00,174.19,42.0,178.16,51.0
JPM,2025-06-20,C,95.0,,,2025-04-09 17:18:45.036953+00:00,135.6,1.0,2025-06-13 19:59:52.318087+00:00,170.03,45.0,174.16,41.0
JPM,2025-06-20,C,100.0,,,2025-06-04 14:44:22.906677+00:00,166.05,1.0,2025-06-13 19:59:53.771369+00:00,160.8,53.0,169.97,41.0
JPM,2025-06-20,C,105.0,,,2025-04-03 19:54:34.197408+00:00,124.0,2.0,2025-06-13 19:59:53.772887+00:00,157.08,54.0,164.15,41.0
JPM,2025-06-20,C,110.0,,,2025-05-02 18:32:58.539468+00:00,143.5,1.0,2025-06-13 19:59:53.771369+00:00,151.07,55.0,159.11,56.0
JPM,2025-06-20,C,115.0,,,2025-05-02 16:51:26.165589+00:00,138.41,2.0,2025-06-13 19:59:57.803904+00:00,145.4,44.0,150.8,43.0
JPM,2025-06-20,C,120.0,,,2025-03-10 14:54:08.781310+00:00,114.8,1.0,2025-06-13 19:59:56.655675+00:00,143.0,45.0,144.91,46.0
JPM,2025-06-20,C,125.0,,,2025-06-13 13:56:51.944988+00:00,138.7,1.0,2025-06-13 19:59:52.318137+00:00,135.85,44.0,140.04,42.0
JPM,2025-06-20,C,130.0,,,2025-03-12 14:53:48.774339+00:00,99.76,1.0,2025-06-13 19:59:56.641110+00:00,134.24,50.0,134.27,41.0
JPM,2025-06-20,C,135.0,,,2025-06-13 13:56:51.944988+00:00,129.32,1.0,2025-06-13 19:59:58.397380+00:00,129.959,79.0,131.02,92.0
JPM,2025-06-20,C,140.0,,,2025-04-28 17:16:26.342718+00:00,102.29,2.0,2025-06-13 19:59:57.966983+00:00,123.13,56.0,126.1,85.0
JPM,2025-06-20,C,145.0,,,2025-05-27 14:02:46.255227+00:00,118.8,1.0,2025-06-13 19:59:59.964839+00:00,118.39,31.0,119.39,5.0
JPM,2025-06-20,C,150.0,,,2025-06-13 14:06:55.186565+00:00,113.44,1.0,2025-06-13 19:59:58.394643+00:00,114.25,89.0,115.28,45.0
JPM,2025-06-20,C,155.0,,,2025-05-30 14:04:37.568679+00:00,109.19,1.0,2025-06-13 19:59:59.508340+00:00,110.09,62.0,111.89,95.0
JPM,2025-06-20,C,160.0,,,2025-06-12 19:33:42.991487+00:00,107.65,153.0,2025-06-13 19:59:57.982801+00:00,102.57,79.0,107.409,83.0
