underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
LCID,2025-06-20,C,0.5,,,2025-06-17 16:55:28.415574+00:00,1.64,17.0,2025-06-17 19:59:53.583409+00:00,1.66,1.0,1.689,22.0
LCID,2025-06-20,C,1.0,,,2025-06-17 19:05:05.329687+00:00,1.15,1.0,2025-06-17 19:58:14.708774+00:00,1.12,17.0,1.19,21.0
LCID,2025-06-20,C,1.5,,,2025-06-17 18:59:03.276215+00:00,0.66,1.0,2025-06-17 19:59:56.781398+00:00,0.62,8.0,0.7,13.0
LCID,2025-06-20,C,2.0,1.1191,delta=0.7786 gamma=1.3622 rho=0.0001 theta=-0.011 vega=0.0006,2025-06-17 19:58:58.126362+00:00,0.17,2.0,2025-06-17 19:59:53.089605+00:00,0.17,42.0,0.19,10.0
LCID,2025-06-20,C,2.5,,,2025-06-17 19:50:46.899459+00:00,0.01,5.0,2025-06-17 19:55:03.484695+00:00,0.0,0.0,0.01,3736.0
LCID,2025-06-20,C,3.0,,,2025-06-17 19:53:01.843424+00:00,0.01,2.0,2025-06-17 19:57:41.511329+00:00,0.0,0.0,0.03,244.0
LCID,2025-06-20,C,3.5,,,2025-06-17 19:43:15.737550+00:00,0.01,7.0,2025-06-17 19:59:31.438064+00:00,0.0,0.0,0.03,820.0
LCID,2025-06-20,C,4.0,,,2025-06-16 18:58:45.321950+00:00,0.01,1.0,2025-06-17 19:59:33.576666+00:00,0.0,0.0,0.01,225.0
LCID,2025-06-20,C,4.5,,,2025-06-17 18:41:06.282421+00:00,0.01,1.0,2025-06-17 19:55:03.815432+00:00,0.0,0.0,0.01,183.0
LCID,2025-06-20,C,5.0,,,2025-06-13 13:36:12.639372+00:00,0.01,10.0,2025-06-17 19:59:07.572579+00:00,0.0,0.0,0.01,149.0
LCID,2025-06-20,C,5.5,,,2025-06-10 13:51:37.098144+00:00,0.01,2.0,2025-06-17 19:55:03.938910+00:00,0.0,0.0,0.03,109.0
LCID,2025-06-20,C,7.0,,,2025-06-17 13:33:49.316580+00:00,0.01,1.0,2025-06-17 19:59:32.740120+00:00,0.0,0.0,0.01,424.0
LCID,2025-06-20,C,10.0,,,2025-06-16 16:20:36.486272+00:00,0.01,1.0,2025-06-17 13:52:13.141713+00:00,0.0,0.0,0.01,36.0
LCID,2025-06-20,C,12.0,,,2025-06-11 13:34:22.487759+00:00,0.01,1.0,2025-06-17 19:55:03.938921+00:00,0.0,0.0,0.01,27.0
LCID,2025-06-20,P,0.5,,,2025-06-17 13:50:21.263542+00:00,0.01,3.0,2025-06-17 13:30:02.845945+00:00,0.0,0.0,0.01,150.0
LCID,2025-06-20,P,1.0,,,2025-06-03 14:21:48.035307+00:00,0.01,8.0,2025-06-17 19:55:03.888410+00:00,0.0,0.0,0.01,11.0
LCID,2025-06-20,P,1.5,,,2025-06-17 16:18:31.915614+00:00,0.01,2.0,2025-06-17 19:57:22.991736+00:00,0.0,0.0,0.03,71.0
LCID,2025-06-20,P,2.0,1.2174,delta=-0.2376 gamma=1.3028 rho=0.0 theta=-0.0122 vega=0.0006,2025-06-17 19:59:26.257400+00:00,0.03,1.0,2025-06-17 19:59:26.099079+00:00,0.03,151.0,0.04,540.0
LCID,2025-06-20,P,2.5,,,2025-06-17 19:17:32.673050+00:00,0.36,3.0,2025-06-17 19:59:55.182867+00:00,0.31,14.0,0.37,1.0
LCID,2025-06-20,P,3.0,,,2025-06-17 18:58:13.387004+00:00,0.869,2.0,2025-06-17 19:59:55.040389+00:00,0.85,22.0,0.99,2972.0
LCID,2025-06-20,P,3.5,,,2025-06-17 16:18:31.915614+00:00,1.43,2.0,2025-06-17 19:59:55.022151+00:00,1.31,21.0,1.43,1215.0
LCID,2025-06-20,P,4.0,,,2025-06-16 18:23:39.888618+00:00,1.77,1.0,2025-06-17 19:59:55.250473+00:00,1.81,1081.0,1.83,18.0
LCID,2025-06-20,P,4.5,,,2025-06-13 18:38:27.703467+00:00,2.39,1.0,2025-06-17 19:59:14.367196+00:00,2.27,1.0,2.36,32.0
LCID,2025-06-20,P,5.0,,,2025-06-02 15:07:10.531313+00:00,2.84,1.0,2025-06-17 19:59:47.718177+00:00,2.83,26.0,2.9,10.0
LCID,2025-06-20,P,5.5,,,2025-06-10 14:29:39.082914+00:00,3.31,1.0,2025-06-17 19:59:14.211055+00:00,3.24,5.0,3.42,30.0
LCID,2025-06-20,P,7.0,,,2025-06-17 14:07:54.423878+00:00,4.82,1.0,2025-06-17 19:59:55.040373+00:00,4.87,704.0,4.88,30.0
LCID,2025-06-20,P,10.0,,,2025-02-13 15:24:54.454121+00:00,6.85,2.0,2025-06-17 19:59:35.478938+00:00,7.69,12.0,7.75,23.0
LCID,2025-06-20,P,12.0,,,2025-06-16 13:39:03.806840+00:00,9.85,1.0,2025-06-17 19:59:26.467921+00:00,9.66,9.0,9.95,42.0
