underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
LLY,2025-06-20,C,370.0,,,2025-06-05 19:53:56.813005+00:00,396.43,1.0,2025-06-13 19:59:56.565633+00:00,451.35,49.0,457.86,2.0
LLY,2025-06-20,C,380.0,,,2025-05-20 19:31:57.011145+00:00,369.52,1.0,2025-06-13 19:59:51.526687+00:00,433.339,22.0,442.87,18.0
LLY,2025-06-20,C,390.0,,,2025-05-20 18:49:31.512653+00:00,357.52,1.0,2025-06-13 19:59:52.893772+00:00,421.239,40.0,436.539,17.0
LLY,2025-06-20,C,400.0,,,2025-05-20 19:39:20.009751+00:00,349.73,2.0,2025-06-13 19:59:53.093432+00:00,415.35,40.0,429.58,23.0
LLY,2025-06-20,C,410.0,,,2025-05-20 19:15:31.509919+00:00,341.15,2.0,2025-06-13 19:59:56.018188+00:00,402.83,50.0,418.15,12.0
LLY,2025-06-20,C,420.0,,,2025-05-20 18:48:13.515825+00:00,328.02,1.0,2025-06-13 19:59:53.132150+00:00,399.98,51.0,409.24,13.0
LLY,2025-06-20,C,430.0,,,2025-05-20 18:50:51.510042+00:00,315.53,2.0,2025-06-13 19:59:53.094915+00:00,386.96,40.0,398.09,10.0
LLY,2025-06-20,C,440.0,,,2025-05-20 18:50:51.510162+00:00,307.68,2.0,2025-06-13 19:59:55.142950+00:00,380.05,51.0,387.2,2.0
LLY,2025-06-20,C,450.0,,,2025-06-04 16:38:05.993140+00:00,320.8,2.0,2025-06-13 19:59:53.058860+00:00,365.02,30.0,374.61,17.0
LLY,2025-06-20,C,460.0,,,2025-05-20 19:58:23.513278+00:00,288.06,1.0,2025-06-13 19:59:56.553740+00:00,360.96,50.0,363.86,2.0
LLY,2025-06-20,C,470.0,,,2025-05-20 19:58:18.513635+00:00,278.3,1.0,2025-06-13 19:59:53.131242+00:00,342.35,51.0,345.72,14.0
LLY,2025-06-20,C,480.0,,,2025-05-20 19:15:31.509969+00:00,268.23,2.0,2025-06-13 19:59:53.091898+00:00,329.7,28.0,342.11,10.0
LLY,2025-06-20,C,490.0,,,2025-05-20 18:50:51.509901+00:00,258.16,2.0,2025-06-13 19:59:56.840076+00:00,321.98,51.0,326.56,17.0
LLY,2025-06-20,C,500.0,,,2025-06-09 19:48:32.570746+00:00,275.9,1.0,2025-06-13 19:59:53.047112+00:00,321.02,40.0,324.08,13.0
LLY,2025-06-20,C,510.0,,,2025-06-09 19:47:27.484423+00:00,264.11,1.0,2025-06-13 19:59:53.093046+00:00,299.5,40.0,316.49,8.0
LLY,2025-06-20,C,520.0,,,2025-05-12 16:28:04.529315+00:00,236.13,2.0,2025-06-13 19:59:51.947508+00:00,298.27,34.0,307.29,16.0
LLY,2025-06-20,C,530.0,,,2025-05-16 15:34:59.524329+00:00,222.8,1.0,2025-06-13 19:59:51.950484+00:00,284.73,50.0,287.0,18.0
LLY,2025-06-20,C,540.0,,,2025-05-20 19:15:31.512675+00:00,208.73,2.0,2025-06-13 19:59:53.072637+00:00,274.11,51.0,283.71,11.0
LLY,2025-06-20,C,550.0,,,2025-06-03 14:36:31.522991+00:00,199.9,1.0,2025-06-13 19:59:53.129538+00:00,266.14,50.0,272.43,22.0
LLY,2025-06-20,C,560.0,,,2025-05-27 16:30:49.475627+00:00,168.42,2.0,2025-06-13 19:59:52.023418+00:00,253.69,45.0,260.03,2.0
LLY,2025-06-20,C,570.0,,,2025-06-04 19:22:32.061844+00:00,197.29,1.0,2025-06-13 19:59:53.847686+00:00,246.46,48.0,253.91,22.0
LLY,2025-06-20,C,580.0,,,2025-06-03 14:35:44.475234+00:00,169.1,1.0,2025-06-13 19:59:51.946650+00:00,231.819,49.0,238.53,13.0
LLY,2025-06-20,C,590.0,,,2025-06-10 17:14:28.094747+00:00,213.5,1.0,2025-06-13 19:59:54.344371+00:00,224.919,41.0,228.13,5.0
LLY,2025-06-20,C,600.0,,,2025-06-13 18:19:46.588407+00:00,217.66,1.0,2025-06-13 19:59:51.673521+00:00,219.64,34.0,224.9,20.0
LLY,2025-06-20,C,610.0,,,2025-05-28 17:27:50.254671+00:00,113.15,1.0,2025-06-13 19:59:59.036579+00:00,204.38,49.0,208.91,5.0
LLY,2025-06-20,C,620.0,,,2025-06-10 15:09:58.968472+00:00,174.85,1.0,2025-06-13 19:59:53.058645+00:00,198.82,9.0,205.2,20.0
LLY,2025-06-20,C,630.0,,,2025-06-05 13:36:13.707708+00:00,129.21,1.0,2025-06-13 19:59:59.036750+00:00,182.52,49.0,193.94,5.0
LLY,2025-06-20,C,640.0,,,2025-06-03 15:29:31.877280+00:00,116.0,11.0,2025-06-13 19:59:53.058915+00:00,177.56,49.0,179.49,17.0
LLY,2025-06-20,C,650.0,,,2025-06-13 18:15:31.767455+00:00,167.8,1.0,2025-06-13 19:59:55.005344+00:00,167.6,15.0,169.36,5.0
LLY,2025-06-20,C,660.0,,,2025-06-09 15:39:17.567396+00:00,113.86,2.0,2025-06-13 19:59:56.175581+00:00,156.53,44.0,166.84,17.0
LLY,2025-06-20,C,665.0,,,2025-06-02 19:45:41.079442+00:00,85.64,1.0,2025-06-13 19:59:59.038850+00:00,147.58,43.0,155.5,5.0
LLY,2025-06-20,C,670.0,,,2025-06-10 14:24:55.990394+00:00,125.88,1.0,2025-06-13 19:59:54.423725+00:00,144.31,40.0,149.97,5.0
LLY,2025-06-20,C,675.0,1.0554,delta=0.9479 gamma=0.0011 rho=0.0863 theta=-1.1517 vega=0.1021,2025-05-30 13:30:02.530546+00:00,56.579,1.0,2025-06-13 19:59:56.514021+00:00,143.47,6.0,148.51,5.0
LLY,2025-06-20,C,680.0,,,2025-06-09 15:39:17.567396+00:00,94.35,2.0,2025-06-13 19:59:55.098104+00:00,133.92,38.0,141.06,5.0
LLY,2025-06-20,C,685.0,0.7384,delta=0.9824 gamma=0.0006 rho=0.0917 theta=-0.3856 vega=0.0415,2025-06-10 14:06:16.045681+00:00,108.14,1.0,2025-06-13 19:59:59.038855+00:00,130.959,41.0,137.31,5.0
LLY,2025-06-20,C,690.0,0.9296,delta=0.9481 gamma=0.0012 rho=0.0884 theta=-1.0218 vega=0.1017,2025-06-11 13:43:30.203464+00:00,125.42,10.0,2025-06-13 19:59:56.831927+00:00,126.18,7.0,135.22,11.0
LLY,2025-06-20,C,692.5,,,,,,2025-06-13 19:59:56.469871+00:00,120.72,38.0,127.93,5.0
LLY,2025-06-20,C,695.0,0.8432,delta=0.9563 gamma=0.0011 rho=0.0901 theta=-0.8245 vega=0.0886,2025-06-12 17:11:16.503335+00:00,121.33,6.0,2025-06-13 19:59:52.357684+00:00,123.759,24.0,126.59,3.0
LLY,2025-06-20,C,697.5,0.6245,delta=0.9871 gamma=0.0006 rho=0.094 theta=-0.2797 vega=0.0318,,,,2025-06-13 19:59:51.752228+00:00,116.28,35.0,126.63,5.0
LLY,2025-06-20,C,700.0,0.7138,delta=0.9724 gamma=0.0009 rho=0.0926 theta=-0.5136 vega=0.0608,2025-06-13 19:14:43.418365+00:00,120.5,1.0,2025-06-13 19:59:58.192322+00:00,116.68,21.0,122.17,6.0
LLY,2025-06-20,C,702.5,0.8486,delta=0.9443 gamma=0.0014 rho=0.0897 theta=-0.9909 vega=0.1077,,,,2025-06-13 19:59:51.937228+00:00,114.54,9.0,121.83,8.0
LLY,2025-06-20,C,705.0,,,2025-06-11 17:03:46.799982+00:00,111.509,1.0,2025-06-13 19:59:57.218506+00:00,108.97,31.0,116.2,7.0
LLY,2025-06-20,C,707.5,0.8095,delta=0.9439 gamma=0.0015 rho=0.0903 theta=-0.9533 vega=0.1082,,,,2025-06-13 19:59:52.327787+00:00,111.18,2.0,115.03,7.0
LLY,2025-06-20,C,710.0,0.8201,delta=0.9373 gamma=0.0016 rho=0.0899 theta=-1.0455 vega=0.118,2025-06-13 19:37:25.292927+00:00,108.73,1.0,2025-06-13 19:59:51.937228+00:00,108.93,5.0,112.88,6.0
LLY,2025-06-20,C,712.5,0.7633,delta=0.9453 gamma=0.0015 rho=0.0912 theta=-0.8887 vega=0.1061,,,,2025-06-13 19:59:57.471273+00:00,104.02,12.0,111.87,5.0
LLY,2025-06-20,C,715.0,0.788,delta=0.9352 gamma=0.0017 rho=0.0903 theta=-1.0329 vega=0.1212,2025-06-13 15:45:57.107775+00:00,110.0,1.0,2025-06-13 19:59:51.937223+00:00,101.83,6.0,109.98,7.0
