underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
MELI,2025-06-20,C,580.0,,,2025-04-10 17:53:03.151890+00:00,1383.64,1.0,2025-06-13 19:59:58.611766+00:00,1770.75,1.0,1788.75,2.0
MELI,2025-06-20,C,600.0,,,2025-05-15 14:21:50.190153+00:00,1965.35,2.0,2025-06-13 19:59:58.611766+00:00,1727.009,1.0,1747.58,2.0
MELI,2025-06-20,C,620.0,,,2025-04-10 15:57:44.895604+00:00,1290.0,1.0,2025-06-13 19:59:58.611766+00:00,1739.4,1.0,1766.609,2.0
MELI,2025-06-20,C,640.0,,,2025-05-08 13:35:12.223084+00:00,1829.6,1.0,2025-06-13 19:59:58.611766+00:00,1741.38,1.0,1759.38,2.0
MELI,2025-06-20,C,660.0,,,2025-04-10 18:09:28.163800+00:00,1274.0,1.0,2025-06-13 19:59:58.611766+00:00,1683.57,1.0,1724.109,2.0
MELI,2025-06-20,C,680.0,,,2025-04-09 17:02:05.197643+00:00,1159.97,1.0,2025-06-13 19:59:58.611766+00:00,1680.25,1.0,1698.25,2.0
MELI,2025-06-20,C,700.0,,,2025-04-10 17:02:14.976792+00:00,1216.0,1.0,2025-06-13 19:59:58.611766+00:00,1663.93,1.0,1692.159,2.0
MELI,2025-06-20,C,720.0,,,2025-04-10 19:09:47.549570+00:00,1222.0,1.0,2025-06-13 19:59:58.611766+00:00,1625.95,1.0,1656.15,2.0
MELI,2025-06-20,C,740.0,,,2025-04-10 15:57:44.802296+00:00,1172.0,1.0,2025-06-13 19:59:59.900800+00:00,1625.2,3.0,1645.1,1.0
MELI,2025-06-20,C,760.0,,,2025-04-07 17:04:25.920890+00:00,1033.9,1.0,2025-06-13 19:59:59.900795+00:00,1614.2,3.0,1634.1,1.0
MELI,2025-06-20,C,780.0,,,2025-05-05 13:33:17.070585+00:00,1486.6,1.0,2025-06-13 19:59:58.611766+00:00,1593.08,1.0,1620.51,2.0
MELI,2025-06-20,C,800.0,,,2025-04-07 14:20:04.758173+00:00,1030.04,1.0,2025-06-13 19:59:59.900795+00:00,1556.13,3.0,1577.72,1.0
MELI,2025-06-20,C,820.0,,,2025-04-07 17:02:03.472679+00:00,976.0,1.0,2025-06-13 19:59:59.245309+00:00,1522.29,1.0,1569.33,1.0
MELI,2025-06-20,C,840.0,,,2025-04-21 13:31:22.413387+00:00,1258.29,1.0,2025-06-13 19:59:58.612683+00:00,1508.29,1.0,1553.39,2.0
MELI,2025-06-20,C,860.0,,,2025-03-31 13:47:51.339058+00:00,1082.0,1.0,2025-06-13 19:59:58.612673+00:00,1531.68,1.0,1549.71,3.0
MELI,2025-06-20,C,880.0,,,2025-03-31 13:47:51.338883+00:00,1062.0,1.0,2025-06-13 19:59:58.612683+00:00,1486.86,1.0,1507.73,3.0
MELI,2025-06-20,C,900.0,,,2025-05-08 13:35:12.210815+00:00,1553.15,1.0,2025-06-13 19:59:58.612668+00:00,1485.32,1.0,1503.32,2.0
MELI,2025-06-20,C,920.0,,,2025-04-03 17:37:07.695770+00:00,1040.0,1.0,2025-06-13 19:59:58.612668+00:00,1413.9,1.0,1465.52,2.0
MELI,2025-06-20,C,940.0,,,2025-03-24 13:33:32.054473+00:00,1209.78,1.0,2025-06-13 19:59:58.612673+00:00,1428.15,1.0,1434.4,2.0
MELI,2025-06-20,C,960.0,,,2025-04-30 13:48:48.836931+00:00,1303.9,1.0,2025-06-13 19:59:58.612673+00:00,1401.69,1.0,1429.95,2.0
MELI,2025-06-20,C,980.0,,,2025-05-05 13:33:17.070692+00:00,1299.84,1.0,2025-06-13 19:59:58.612668+00:00,1408.0,1.0,1418.76,2.0
MELI,2025-06-20,C,1000.0,,,2025-05-15 13:33:15.538273+00:00,1585.89,1.0,2025-06-13 19:59:58.612679+00:00,1387.51,1.0,1405.51,2.0
MELI,2025-06-20,C,1020.0,,,2025-03-28 13:42:09.318625+00:00,1083.99,1.0,2025-06-13 19:59:59.186023+00:00,1326.15,2.0,1358.79,1.0
MELI,2025-06-20,C,1040.0,,,2025-03-18 13:44:30.567612+00:00,1022.0,1.0,2025-06-13 19:59:58.055723+00:00,1346.5,1.0,1351.76,1.0
MELI,2025-06-20,C,1060.0,,,2024-11-07 14:41:58.057074+00:00,763.01,1.0,2025-06-13 19:59:58.055723+00:00,1313.41,1.0,1330.41,1.0
MELI,2025-06-20,C,1080.0,,,,,,2025-06-13 19:59:59.245305+00:00,1264.31,2.0,1314.54,2.0
MELI,2025-06-20,C,1100.0,,,2025-05-20 13:32:24.463032+00:00,1464.0,1.0,2025-06-13 19:59:58.613190+00:00,1262.05,2.0,1304.08,2.0
MELI,2025-06-20,C,1120.0,,,2025-05-20 13:32:24.467383+00:00,1444.0,1.0,2025-06-13 19:59:58.940710+00:00,1254.69,2.0,1286.78,2.0
MELI,2025-06-20,C,1140.0,,,2025-05-20 13:32:24.462919+00:00,1431.82,1.0,2025-06-13 19:59:58.060814+00:00,1215.15,2.0,1257.38,2.0
MELI,2025-06-20,C,1160.0,,,2024-11-07 17:49:29.945116+00:00,675.6,1.0,2025-06-13 19:59:56.556730+00:00,1203.83,1.0,1218.91,2.0
MELI,2025-06-20,C,1180.0,,,2025-02-21 19:32:05.493362+00:00,1120.28,1.0,2025-06-13 19:59:59.186028+00:00,1197.08,2.0,1216.98,1.0
MELI,2025-06-20,C,1200.0,,,2025-02-20 20:49:59.534778+00:00,934.75,1.0,2025-06-13 19:59:58.058700+00:00,1145.51,2.0,1197.77,2.0
MELI,2025-06-20,C,1220.0,,,2024-11-18 17:49:06.586578+00:00,743.18,1.0,2025-06-13 19:59:58.058700+00:00,1135.91,2.0,1170.42,2.0
MELI,2025-06-20,C,1240.0,,,2025-04-30 19:56:10.587075+00:00,1107.7,1.0,2025-06-13 19:59:58.439280+00:00,1102.16,1.0,1153.45,1.0
MELI,2025-06-20,C,1260.0,,,,,,2025-06-13 19:59:58.607406+00:00,1114.7,1.0,1126.06,2.0
MELI,2025-06-20,C,1280.0,,,2024-10-28 19:16:56.307441+00:00,840.17,1.0,2025-06-13 19:59:54.313798+00:00,1091.13,5.0,1108.63,5.0
MELI,2025-06-20,C,1300.0,,,2025-02-25 16:47:23.358863+00:00,896.59,2.0,2025-06-13 19:59:54.313763+00:00,1072.92,5.0,1090.42,5.0
MELI,2025-06-20,C,1320.0,,,2024-12-27 16:32:55.066105+00:00,471.3,1.0,2025-06-13 19:59:54.313763+00:00,1048.279,5.0,1079.69,5.0
MELI,2025-06-20,C,1340.0,,,2024-10-28 19:16:56.166779+00:00,791.72,2.0,2025-06-13 19:59:58.227677+00:00,1026.46,3.0,1046.36,2.0
MELI,2025-06-20,C,1360.0,,,2025-04-04 13:34:05.216529+00:00,527.55,1.0,2025-06-13 19:59:57.628645+00:00,1016.27,2.0,1034.55,1.0
MELI,2025-06-20,C,1380.0,,,2025-04-30 13:48:48.838559+00:00,881.37,1.0,2025-06-13 19:59:56.574681+00:00,996.77,2.0,1008.75,2.0
MELI,2025-06-20,C,1400.0,,,2025-05-21 17:36:59.903028+00:00,1232.24,1.0,2025-06-13 19:59:56.574681+00:00,964.6,2.0,972.57,2.0
MELI,2025-06-20,C,1420.0,,,2025-05-20 13:35:31.040886+00:00,1150.12,1.0,2025-06-13 19:59:56.574681+00:00,949.36,2.0,967.54,2.0
MELI,2025-06-20,C,1440.0,,,2025-06-03 14:42:43.434482+00:00,1163.05,1.0,2025-06-13 19:59:56.859579+00:00,930.32,2.0,949.82,1.0
MELI,2025-06-20,C,1460.0,,,2025-03-05 19:24:15.700250+00:00,676.67,1.0,2025-06-13 19:59:56.859044+00:00,910.16,3.0,925.92,2.0
