underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
META,2025-06-20,C,5.0,,,2025-06-13 19:34:33.583061+00:00,678.1,890.0,2025-06-13 19:59:59.976349+00:00,687.98,40.0,690.78,5.0
META,2025-06-20,C,10.0,,,2025-06-13 19:54:53.065046+00:00,678.36,5.0,2025-06-13 19:59:59.604127+00:00,678.36,29.0,680.31,5.0
META,2025-06-20,C,15.0,,,2025-06-13 19:49:00.420715+00:00,673.76,2.0,2025-06-13 19:59:59.468583+00:00,673.76,55.0,674.44,41.0
META,2025-06-20,C,20.0,,,,,,2025-06-13 19:59:58.788232+00:00,648.6,70.0,656.78,46.0
META,2025-06-20,C,25.0,,,2025-06-13 19:49:00.420845+00:00,667.49,2.0,2025-06-13 19:59:59.473184+00:00,667.49,55.0,671.09,41.0
META,2025-06-20,C,30.0,,,2025-06-13 19:49:00.420730+00:00,653.0,2.0,2025-06-13 19:59:59.776046+00:00,652.53,69.0,656.13,40.0
META,2025-06-20,C,35.0,,,,,,2025-06-13 19:59:59.574716+00:00,653.79,55.0,657.39,40.0
META,2025-06-20,C,40.0,,,2025-06-13 18:22:04.601574+00:00,646.55,50.0,2025-06-13 19:59:59.029130+00:00,638.83,30.0,642.7,6.0
META,2025-06-20,C,45.0,,,,,,2025-06-13 19:59:59.603681+00:00,624.45,66.0,644.81,43.0
META,2025-06-20,C,50.0,,,2025-06-13 19:34:33.583061+00:00,633.2,320.0,2025-06-13 19:59:59.093098+00:00,628.79,2.0,635.8,26.0
META,2025-06-20,C,55.0,,,2025-06-13 18:22:04.601619+00:00,631.28,25.0,2025-06-13 19:59:59.094682+00:00,617.35,3.0,622.86,5.0
META,2025-06-20,C,60.0,,,2025-06-13 18:22:04.601639+00:00,636.4,50.0,2025-06-13 19:59:59.497031+00:00,631.56,5.0,634.21,7.0
META,2025-06-20,C,65.0,,,2025-06-13 18:22:04.601659+00:00,628.8,25.0,2025-06-13 19:59:59.503993+00:00,610.76,35.0,611.25,41.0
META,2025-06-20,C,70.0,,,2025-06-13 18:22:04.601679+00:00,607.63,25.0,2025-06-13 19:59:59.466458+00:00,602.23,5.0,624.86,7.0
META,2025-06-20,C,75.0,,,2025-06-13 19:50:00.031007+00:00,612.99,3.0,2025-06-13 19:59:59.496886+00:00,612.99,2.0,615.29,6.0
META,2025-06-20,C,80.0,,,2025-06-13 18:22:04.601704+00:00,608.25,25.0,2025-06-13 19:59:59.094581+00:00,597.18,3.0,602.32,6.0
META,2025-06-20,C,85.0,,,2025-06-13 17:37:04.221547+00:00,611.08,160.0,2025-06-13 19:59:58.877850+00:00,600.86,43.0,603.36,19.0
META,2025-06-20,C,90.0,,,2025-06-13 18:22:04.601729+00:00,598.25,50.0,2025-06-13 19:59:59.989360+00:00,593.55,31.0,597.95,6.0
META,2025-06-20,C,95.0,,,2025-06-13 19:50:00.031583+00:00,595.06,1.0,2025-06-13 19:59:59.496881+00:00,595.06,2.0,597.36,6.0
META,2025-06-20,C,100.0,,,2025-06-13 19:33:59.466092+00:00,590.24,260.0,2025-06-13 19:59:59.565324+00:00,576.0,55.0,589.62,46.0
META,2025-06-20,C,105.0,,,2025-06-13 19:33:59.466088+00:00,568.24,160.0,2025-06-13 19:59:58.767612+00:00,577.74,57.0,584.9,5.0
META,2025-06-20,C,110.0,,,2025-06-13 18:22:04.601799+00:00,577.95,25.0,2025-06-13 19:59:58.782824+00:00,568.23,57.0,573.27,100.0
META,2025-06-20,C,115.0,,,2025-06-13 19:33:59.466092+00:00,569.1,190.0,2025-06-13 19:59:59.407282+00:00,567.69,62.0,572.59,57.0
META,2025-06-20,C,120.0,,,2025-06-13 19:33:59.466088+00:00,561.4,410.0,2025-06-13 19:59:59.419646+00:00,564.25,17.0,566.65,42.0
META,2025-06-20,C,125.0,,,2025-06-13 19:33:59.466088+00:00,561.41,560.0,2025-06-13 19:59:59.730192+00:00,559.99,25.0,562.29,29.0
META,2025-06-20,C,130.0,,,2025-06-13 19:33:59.466088+00:00,561.2,2140.0,2025-06-13 19:59:59.142571+00:00,555.23,28.0,562.14,17.0
META,2025-06-20,C,135.0,,,2025-06-13 19:33:59.466092+00:00,548.1,420.0,2025-06-13 19:59:59.506709+00:00,557.04,29.0,559.24,9.0
META,2025-06-20,C,140.0,,,2025-06-13 19:33:59.466088+00:00,541.35,1440.0,2025-06-13 19:59:59.506705+00:00,538.69,13.0,543.61,14.0
META,2025-06-20,C,145.0,,,2025-06-13 19:33:59.466088+00:00,545.24,460.0,2025-06-13 19:59:59.683340+00:00,533.99,30.0,537.37,16.0
META,2025-06-20,C,150.0,,,2025-06-13 19:33:59.466142+00:00,538.25,920.0,2025-06-13 19:59:59.096857+00:00,540.74,23.0,542.29,6.0
META,2025-06-20,C,155.0,,,2025-06-13 19:33:59.466142+00:00,536.62,230.0,2025-06-13 19:59:59.669953+00:00,522.589,28.0,534.3,6.0
META,2025-06-20,C,160.0,,,2025-06-13 19:33:59.466142+00:00,522.96,890.0,2025-06-13 19:59:59.795453+00:00,515.439,30.0,530.65,15.0
META,2025-06-20,C,165.0,,,2025-06-13 19:33:59.466142+00:00,518.37,440.0,2025-06-13 19:59:59.669207+00:00,510.06,30.0,527.32,6.0
META,2025-06-20,C,170.0,,,2025-06-13 19:33:59.466142+00:00,507.75,890.0,2025-06-13 19:59:58.877850+00:00,509.48,1.0,510.35,6.0
META,2025-06-20,C,175.0,,,2025-06-13 19:33:59.466142+00:00,509.61,520.0,2025-06-13 19:59:59.542194+00:00,514.85,27.0,517.25,29.0
META,2025-06-20,C,180.0,,,2025-06-13 19:33:59.466142+00:00,501.25,540.0,2025-06-13 19:59:59.024580+00:00,505.26,18.0,513.089,9.0
META,2025-06-20,C,185.0,,,2025-06-13 19:34:16.374852+00:00,493.12,990.0,2025-06-13 19:59:59.504384+00:00,487.01,29.0,508.83,11.0
META,2025-06-20,C,190.0,,,2025-06-13 19:34:16.374852+00:00,495.27,810.0,2025-06-13 19:59:59.954037+00:00,500.47,30.0,502.92,1.0
META,2025-06-20,C,195.0,,,2025-06-13 19:34:16.374852+00:00,488.1,720.0,2025-06-13 19:59:59.550430+00:00,484.7,3.0,485.06,3.0
META,2025-06-20,C,200.0,,,2025-06-13 19:34:16.374852+00:00,488.089,1790.0,2025-06-13 19:59:59.499913+00:00,487.48,1.0,493.289,3.0
META,2025-06-20,C,205.0,,,2025-06-13 19:34:16.374852+00:00,484.08,1040.0,2025-06-13 19:59:59.964942+00:00,482.97,43.0,485.32,24.0
META,2025-06-20,C,210.0,,,2025-06-13 19:34:16.374852+00:00,471.45,790.0,2025-06-13 19:59:58.978280+00:00,464.08,15.0,474.78,5.0
META,2025-06-20,C,215.0,,,2025-06-13 19:34:16.374852+00:00,470.81,880.0,2025-06-13 19:59:59.260934+00:00,463.31,27.0,473.889,16.0
META,2025-06-20,C,220.0,,,2025-06-13 19:34:16.374852+00:00,462.71,620.0,2025-06-13 19:59:59.496264+00:00,458.4,1.0,469.839,11.0
