underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
MRVL,2025-06-20,C,25.0,,,2025-06-10 16:32:33.693159+00:00,43.69,1.0,2025-06-13 19:57:00.576968+00:00,40.58,57.0,43.42,57.0
MRVL,2025-06-20,C,30.0,,,2025-05-27 15:13:38.950897+00:00,34.62,20.0,2025-06-13 19:58:01.030203+00:00,35.58,53.0,39.0,1.0
MRVL,2025-06-20,C,32.5,,,2025-04-16 19:04:24.481855+00:00,18.86,1.0,2025-06-13 19:58:01.139353+00:00,32.98,53.0,37.2,1.0
MRVL,2025-06-20,C,35.0,,,2025-06-02 13:30:01.924245+00:00,24.82,1.0,2025-06-13 19:59:52.225564+00:00,30.539,65.0,33.33,55.0
MRVL,2025-06-20,C,37.5,,,2025-06-06 17:32:56.678433+00:00,31.81,1.0,2025-06-13 19:59:50.328796+00:00,29.46,1.0,30.289,52.0
MRVL,2025-06-20,C,40.0,,,2025-06-13 19:05:20.015520+00:00,27.6,1.0,2025-06-13 19:59:59.404319+00:00,25.59,68.0,27.57,4.0
MRVL,2025-06-20,C,42.5,,,2025-06-09 15:47:50.257456+00:00,26.95,1.0,2025-06-13 19:59:59.406455+00:00,24.58,10.0,25.62,251.0
MRVL,2025-06-20,C,45.0,,,2025-06-13 18:40:22.132226+00:00,22.23,3.0,2025-06-13 19:59:59.408320+00:00,22.28,9.0,22.48,14.0
MRVL,2025-06-20,C,47.5,,,2025-06-09 16:25:40.061399+00:00,21.85,3.0,2025-06-13 19:59:59.043313+00:00,19.57,15.0,20.75,383.0
MRVL,2025-06-20,C,50.0,,,2025-06-13 19:27:49.632223+00:00,17.35,3.0,2025-06-13 19:59:59.404118+00:00,17.0,16.0,17.58,20.0
MRVL,2025-06-20,C,52.0,,,2025-06-10 13:30:38.730850+00:00,17.89,1.0,2025-06-13 19:59:59.315372+00:00,14.91,9.0,15.29,8.0
MRVL,2025-06-20,C,52.5,,,2025-06-13 14:28:47.276081+00:00,15.019,12.0,2025-06-13 19:59:59.042586+00:00,14.469,15.0,15.21,257.0
MRVL,2025-06-20,C,53.0,,,2025-06-11 14:40:44.275506+00:00,17.25,1.0,2025-06-13 19:59:55.355428+00:00,14.35,7.0,14.65,12.0
MRVL,2025-06-20,C,54.0,,,2025-06-13 14:44:25.011870+00:00,13.83,1.0,2025-06-13 19:59:59.303489+00:00,13.169,49.0,13.66,7.0
MRVL,2025-06-20,C,55.0,,,2025-06-13 19:55:03.072026+00:00,12.3,1.0,2025-06-13 19:59:59.045639+00:00,12.01,12.0,12.43,11.0
MRVL,2025-06-20,C,56.0,,,2025-06-13 18:23:03.555716+00:00,11.85,1.0,2025-06-13 19:59:59.062249+00:00,11.15,39.0,11.4,7.0
MRVL,2025-06-20,C,57.0,,,2025-06-13 19:11:26.011144+00:00,10.7,1.0,2025-06-13 19:59:59.408100+00:00,10.36,14.0,11.41,251.0
MRVL,2025-06-20,C,57.5,1.1115,delta=0.8994 gamma=0.0201 rho=0.0069 theta=-0.1602 vega=0.0139,2025-06-13 16:56:46.059370+00:00,11.0,1.0,2025-06-13 19:59:59.043313+00:00,9.78,15.0,10.75,605.0
MRVL,2025-06-20,C,58.0,0.8485,delta=0.9396 gamma=0.0179 rho=0.0074 theta=-0.0863 vega=0.0094,2025-06-13 16:19:52.211193+00:00,10.71,4.0,2025-06-13 19:59:59.042898+00:00,9.24,8.0,9.77,257.0
MRVL,2025-06-20,C,59.0,0.5361,delta=0.9837 gamma=0.0096 rho=0.0079 theta=-0.024 vega=0.0032,2025-06-13 18:05:44.324786+00:00,9.41,50.0,2025-06-13 19:59:59.404761+00:00,8.31,19.0,8.39,11.0
MRVL,2025-06-20,C,60.0,0.812,delta=0.8962 gamma=0.0282 rho=0.0072 theta=-0.1215 vega=0.0142,2025-06-13 19:56:56.371467+00:00,7.5,2.0,2025-06-13 19:59:59.024469+00:00,7.38,19.0,7.93,246.0
MRVL,2025-06-20,C,61.0,0.627,delta=0.9165 gamma=0.0311 rho=0.0076 theta=-0.0823 vega=0.0121,2025-06-13 19:54:36.379183+00:00,6.6,1.0,2025-06-13 19:59:59.561429+00:00,6.44,62.0,6.6,36.0
MRVL,2025-06-20,C,62.0,0.7208,delta=0.8461 gamma=0.0418 rho=0.007 theta=-0.1407 vega=0.0187,2025-06-13 19:51:56.458173+00:00,5.79,1.0,2025-06-13 19:59:59.916401+00:00,5.76,23.0,5.84,24.0
MRVL,2025-06-20,C,62.5,0.6633,delta=0.8408 gamma=0.0464 rho=0.007 theta=-0.1328 vega=0.0191,2025-06-13 19:56:12.533155+00:00,5.29,10.0,2025-06-13 19:59:59.648378+00:00,5.23,10.0,5.33,16.0
MRVL,2025-06-20,C,63.0,0.6578,delta=0.8164 gamma=0.0513 rho=0.0069 theta=-0.1435 vega=0.0209,2025-06-13 18:38:02.651535+00:00,4.96,1.0,2025-06-13 19:59:59.692637+00:00,4.73,16.0,5.0,19.0
MRVL,2025-06-20,C,64.0,0.6391,delta=0.7628 gamma=0.0614 rho=0.0065 theta=-0.161 vega=0.0243,2025-06-13 18:15:22.564957+00:00,4.45,1.0,2025-06-13 19:59:59.416178+00:00,3.99,61.0,4.12,47.0
MRVL,2025-06-20,C,65.0,0.6386,delta=0.6945 gamma=0.0697 rho=0.0059 theta=-0.1814 vega=0.0276,2025-06-13 19:59:37.087362+00:00,3.36,2.0,2025-06-13 19:59:59.644387+00:00,3.31,47.0,3.39,62.0
MRVL,2025-06-20,C,66.0,0.655,delta=0.6174 gamma=0.074 rho=0.0053 theta=-0.2014 vega=0.0301,2025-06-13 19:50:12.536083+00:00,2.78,11.0,2025-06-13 19:59:59.407287+00:00,2.76,16.0,2.78,103.0
MRVL,2025-06-20,C,67.0,0.645,delta=0.5409 gamma=0.0781 rho=0.0047 theta=-0.2056 vega=0.0313,2025-06-13 19:47:00.204316+00:00,2.24,50.0,2025-06-13 19:59:59.430757+00:00,2.14,16.0,2.24,41.0
MRVL,2025-06-20,C,67.5,0.6497,delta=0.5019 gamma=0.078 rho=0.0044 theta=-0.2079 vega=0.0314,2025-06-13 19:59:33.792224+00:00,1.93,1.0,2025-06-13 19:59:59.555901+00:00,1.93,10.0,1.989,61.0
MRVL,2025-06-20,C,68.0,0.6469,delta=0.463 gamma=0.078 rho=0.004 theta=-0.2058 vega=0.0313,2025-06-13 19:59:58.727340+00:00,1.7,1.0,2025-06-13 19:59:59.916340+00:00,1.689,34.0,1.76,45.0
MRVL,2025-06-20,C,69.0,0.6355,delta=0.385 gamma=0.0764 rho=0.0034 theta=-0.1942 vega=0.0301,2025-06-13 19:55:07.624332+00:00,1.32,1.0,2025-06-13 19:59:59.301775+00:00,1.25,55.0,1.34,73.0
MRVL,2025-06-20,C,70.0,0.6269,delta=0.3109 gamma=0.0715 rho=0.0027 theta=-0.1768 vega=0.0278,2025-06-13 19:59:41.514134+00:00,0.96,1.0,2025-06-13 19:59:59.045920+00:00,0.93,48.0,0.969,52.0
MRVL,2025-06-20,C,71.0,0.6406,delta=0.2513 gamma=0.0632 rho=0.0022 theta=-0.1627 vega=0.0251,2025-06-13 19:57:41.340501+00:00,0.75,1.0,2025-06-13 19:59:59.014159+00:00,0.71,124.0,0.75,45.0
MRVL,2025-06-20,C,72.0,0.6456,delta=0.1977 gamma=0.0547 rho=0.0017 theta=-0.1429 vega=0.0219,2025-06-13 19:59:16.645166+00:00,0.52,2.0,2025-06-13 19:59:59.634875+00:00,0.52,156.0,0.56,82.0
MRVL,2025-06-20,C,72.5,0.6495,delta=0.1748 gamma=0.0504 rho=0.0015 theta=-0.1331 vega=0.0203,2025-06-13 19:59:41.417254+00:00,0.45,8.0,2025-06-13 19:59:59.857735+00:00,0.45,61.0,0.48,29.0
MRVL,2025-06-20,C,73.0,0.6533,delta=0.1541 gamma=0.0461 rho=0.0014 theta=-0.1233 vega=0.0187,2025-06-13 19:59:18.262001+00:00,0.39,1.0,2025-06-13 19:59:59.320605+00:00,0.39,58.0,0.409,20.0
