underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
MSFT,2025-06-20,C,115.0,,,2025-06-12 19:13:22.380516+00:00,364.74,2.0,2025-06-13 19:59:59.205877+00:00,352.72,80.0,354.52,90.0
MSFT,2025-06-20,C,120.0,,,2025-05-27 19:55:01.040367+00:00,341.92,1.0,2025-06-13 19:59:58.408209+00:00,359.65,80.0,363.25,90.0
MSFT,2025-06-20,C,125.0,,,2025-05-14 18:38:38.339000+00:00,326.8,125.0,2025-06-13 19:59:58.203787+00:00,349.17,81.0,352.37,81.0
MSFT,2025-06-20,C,130.0,,,2025-06-11 19:19:28.130669+00:00,342.0,25.0,2025-06-13 19:59:59.206222+00:00,339.18,80.0,351.22,90.0
MSFT,2025-06-20,C,135.0,,,2025-06-12 19:46:50.981502+00:00,344.16,2.0,2025-06-13 19:59:58.095402+00:00,340.31,119.0,347.0,111.0
MSFT,2025-06-20,C,140.0,,,2025-05-02 13:51:24.049378+00:00,300.57,1.0,2025-06-13 19:59:58.109496+00:00,339.19,81.0,342.69,10.0
MSFT,2025-06-20,C,145.0,,,2025-05-13 17:21:25.647395+00:00,305.68,1.0,2025-06-13 19:59:58.109001+00:00,321.45,81.0,326.57,10.0
MSFT,2025-06-20,C,150.0,,,2025-05-27 19:55:00.187569+00:00,306.92,1.0,2025-06-13 19:59:58.104580+00:00,326.66,81.0,326.91,10.0
MSFT,2025-06-20,C,155.0,,,2025-06-04 18:00:20.942898+00:00,310.3,1.0,2025-06-13 19:59:59.207806+00:00,319.85,80.0,323.5,90.0
MSFT,2025-06-20,C,160.0,,,2025-06-02 15:10:21.696029+00:00,301.16,1.0,2025-06-13 19:59:58.108373+00:00,309.26,81.0,321.24,10.0
MSFT,2025-06-20,C,165.0,,,2025-05-12 14:06:07.508183+00:00,278.55,1.0,2025-06-13 19:59:59.207810+00:00,302.42,80.0,315.75,90.0
MSFT,2025-06-20,C,170.0,,,2025-05-12 14:06:07.508183+00:00,274.54,1.0,2025-06-13 19:59:59.207060+00:00,298.13,80.0,306.33,90.0
MSFT,2025-06-20,C,175.0,,,2025-05-14 16:35:40.130409+00:00,280.72,5.0,2025-06-13 19:59:59.207816+00:00,297.45,80.0,300.27,90.0
MSFT,2025-06-20,C,180.0,,,2025-04-21 15:05:58.159182+00:00,182.69,14.0,2025-06-13 19:59:58.944172+00:00,291.27,80.0,293.23,90.0
MSFT,2025-06-20,C,185.0,,,2025-06-03 17:16:07.128707+00:00,282.21,1.0,2025-06-13 19:59:59.206212+00:00,292.11,80.0,294.14,90.0
MSFT,2025-06-20,C,190.0,,,2025-05-08 16:59:49.566391+00:00,253.42,7.0,2025-06-13 19:59:59.207816+00:00,285.63,80.0,285.91,90.0
MSFT,2025-06-20,C,195.0,,,2025-05-14 19:28:24.335800+00:00,258.99,23.0,2025-06-13 19:59:59.207065+00:00,279.03,80.0,284.05,90.0
MSFT,2025-06-20,C,200.0,,,2025-06-12 19:05:50.490424+00:00,279.88,1.0,2025-06-13 19:59:59.023807+00:00,275.35,88.0,278.85,93.0
MSFT,2025-06-20,C,205.0,,,2025-05-07 16:54:05.540338+00:00,231.0,43.0,2025-06-13 19:59:58.126010+00:00,263.23,81.0,273.65,10.0
MSFT,2025-06-20,C,210.0,,,2025-06-04 15:08:45.920579+00:00,258.74,1.0,2025-06-13 19:59:58.098966+00:00,267.99,81.0,271.39,10.0
MSFT,2025-06-20,C,215.0,,,2025-05-13 13:32:23.932482+00:00,233.64,6.0,2025-06-13 19:59:58.087263+00:00,260.619,81.0,265.92,10.0
MSFT,2025-06-20,C,220.0,,,2025-05-27 19:55:00.160569+00:00,245.59,1.0,2025-06-13 19:59:58.105898+00:00,249.04,81.0,261.3,10.0
MSFT,2025-06-20,C,225.0,,,2025-05-30 15:45:25.724364+00:00,235.74,1.0,2025-06-13 19:59:58.399428+00:00,249.16,80.0,251.56,90.0
MSFT,2025-06-20,C,230.0,,,2025-05-14 13:54:42.834943+00:00,221.99,2.0,2025-06-13 19:59:58.402019+00:00,238.2,80.0,250.369,90.0
MSFT,2025-06-20,C,235.0,,,2025-06-12 15:06:53.250232+00:00,244.35,2.0,2025-06-13 19:59:58.834475+00:00,241.469,80.0,244.219,90.0
MSFT,2025-06-20,C,240.0,,,2025-06-03 13:30:04.259401+00:00,223.1,2.0,2025-06-13 19:59:58.203771+00:00,237.619,81.0,241.169,90.0
MSFT,2025-06-20,C,245.0,,,2025-05-14 17:07:41.449782+00:00,206.52,14.0,2025-06-13 19:59:59.205877+00:00,231.29,80.0,231.61,90.0
MSFT,2025-06-20,C,250.0,,,2025-06-12 19:17:24.851384+00:00,230.2,1.0,2025-06-13 19:59:59.483914+00:00,226.6,96.0,229.85,80.0
MSFT,2025-06-20,C,255.0,,,2025-05-09 13:30:32.121911+00:00,185.6,1.0,2025-06-13 19:59:59.207565+00:00,220.21,80.0,223.91,90.0
MSFT,2025-06-20,C,260.0,,,2025-06-12 15:03:52.857680+00:00,218.21,1.0,2025-06-13 19:59:58.985525+00:00,217.16,80.0,220.36,145.0
MSFT,2025-06-20,C,265.0,,,2025-06-03 15:56:07.364131+00:00,198.08,5.0,2025-06-13 19:59:58.101502+00:00,207.81,81.0,208.43,90.0
MSFT,2025-06-20,C,270.0,,,2025-06-13 19:59:50.175129+00:00,204.88,1.0,2025-06-13 19:59:59.483914+00:00,200.62,95.0,204.88,80.0
MSFT,2025-06-20,C,275.0,,,2025-06-02 16:45:46.849526+00:00,190.08,1.0,2025-06-13 19:59:58.126371+00:00,200.44,80.0,203.41,80.0
MSFT,2025-06-20,C,280.0,,,2025-06-05 13:30:01.382834+00:00,186.0,1.0,2025-06-13 19:59:58.403201+00:00,191.5,80.0,196.25,90.0
MSFT,2025-06-20,C,285.0,,,2025-06-10 13:37:30.166146+00:00,186.27,1.0,2025-06-13 19:59:58.112659+00:00,189.34,97.0,192.24,80.0
MSFT,2025-06-20,C,290.0,,,2025-06-13 16:43:00.576652+00:00,186.25,1.0,2025-06-13 19:59:58.989079+00:00,184.21,95.0,185.73,97.0
MSFT,2025-06-20,C,295.0,,,2025-06-02 19:57:02.355764+00:00,166.4,1.0,2025-06-13 19:59:58.098049+00:00,178.12,10.0,184.51,80.0
MSFT,2025-06-20,C,300.0,,,2025-06-13 16:43:00.576663+00:00,178.07,1.0,2025-06-13 19:59:59.086702+00:00,170.21,85.0,175.86,113.0
MSFT,2025-06-20,C,305.0,,,2025-05-28 15:59:56.670716+00:00,154.68,1.0,2025-06-13 19:59:59.478728+00:00,170.17,80.0,173.22,80.0
MSFT,2025-06-20,C,310.0,,,2025-06-13 14:32:52.733183+00:00,165.93,1.0,2025-06-13 19:59:59.738175+00:00,165.41,105.0,167.58,100.0
MSFT,2025-06-20,C,315.0,,,2025-06-12 19:29:48.776351+00:00,163.96,1.0,2025-06-13 19:59:58.187853+00:00,160.8,112.0,163.24,104.0
MSFT,2025-06-20,C,320.0,,,2025-06-13 16:19:36.672297+00:00,158.0,1.0,2025-06-13 19:59:58.121585+00:00,151.25,107.0,159.88,84.0
MSFT,2025-06-20,C,325.0,,,2025-06-12 14:13:22.223122+00:00,152.35,1.0,2025-06-13 19:59:58.955419+00:00,149.24,80.0,153.18,89.0
MSFT,2025-06-20,C,330.0,,,2025-06-13 17:28:51.193017+00:00,145.5,5.0,2025-06-13 19:59:58.120372+00:00,141.85,105.0,147.91,80.0
MSFT,2025-06-20,C,335.0,,,2025-06-13 13:37:07.231680+00:00,144.8,1.0,2025-06-13 19:59:57.836956+00:00,135.88,143.0,138.89,113.0
MSFT,2025-06-20,C,340.0,,,2025-06-12 14:57:40.592804+00:00,137.6,10.0,2025-06-13 19:59:59.023111+00:00,135.95,101.0,137.77,113.0
MSFT,2025-06-20,C,345.0,,,2025-06-13 14:40:45.543597+00:00,132.26,1.0,2025-06-13 19:59:58.974174+00:00,129.1,85.0,132.53,80.0
MSFT,2025-06-20,C,350.0,,,2025-06-13 15:35:09.304045+00:00,128.22,1.0,2025-06-13 19:59:58.989064+00:00,125.94,99.0,128.39,112.0
MSFT,2025-06-20,C,355.0,,,2025-06-13 18:53:55.260393+00:00,119.15,1.0,2025-06-13 19:59:59.303870+00:00,117.99,100.0,122.259,95.0
MSFT,2025-06-20,C,360.0,,,2025-06-13 19:47:24.634416+00:00,115.209,7.0,2025-06-13 19:59:59.530285+00:00,115.209,95.0,118.809,108.0
MSFT,2025-06-20,C,365.0,,,2025-06-12 17:10:49.849825+00:00,115.0,1.0,2025-06-13 19:59:58.208357+00:00,111.33,93.0,113.64,81.0
MSFT,2025-06-20,C,370.0,,,2025-06-13 18:28:44.739190+00:00,103.12,1.0,2025-06-13 19:59:58.145998+00:00,105.43,81.0,106.1,81.0
MSFT,2025-06-20,C,375.0,,,2025-06-13 19:59:22.756606+00:00,100.18,1.0,2025-06-13 19:59:58.830084+00:00,96.43,80.0,100.78,97.0
MSFT,2025-06-20,C,380.0,,,2025-06-13 19:57:25.112962+00:00,95.93,50.0,2025-06-13 19:59:58.095433+00:00,95.93,117.0,97.96,110.0
MSFT,2025-06-20,C,385.0,0.7707,delta=0.9909 gamma=0.0006 rho=0.0521 theta=-0.1498 vega=0.0136,2025-06-13 19:13:14.051426+00:00,89.6,1.0,2025-06-13 19:59:59.750370+00:00,87.41,107.0,91.68,70.0
MSFT,2025-06-20,C,390.0,,,2025-06-13 16:28:14.995828+00:00,87.85,2.0,2025-06-13 19:59:59.016690+00:00,85.61,115.0,87.36,5.0
MSFT,2025-06-20,C,395.0,1.1514,delta=0.9233 gamma=0.0023 rho=0.0488 theta=-0.9621 vega=0.0799,2025-06-13 17:54:03.245738+00:00,81.21,1.0,2025-06-13 19:59:58.825790+00:00,80.33,108.0,83.16,80.0
MSFT,2025-06-20,C,400.0,0.9207,delta=0.9493 gamma=0.002 rho=0.0513 theta=-0.5771 vega=0.0579,2025-06-13 19:21:11.590059+00:00,74.45,4.0,2025-06-13 19:59:59.530460+00:00,74.23,107.0,76.87,10.0
MSFT,2025-06-20,C,405.0,0.7101,delta=0.9742 gamma=0.0015 rho=0.0537 theta=-0.2829 vega=0.0333,2025-06-13 19:59:39.072642+00:00,70.2,1.0,2025-06-13 19:59:58.818728+00:00,69.13,73.0,70.51,5.0
MSFT,2025-06-20,C,407.5,,,,,,2025-06-13 19:59:58.119605+00:00,64.6,81.0,68.93,10.0
MSFT,2025-06-20,C,410.0,0.8314,delta=0.9393 gamma=0.0026 rho=0.052 theta=-0.5991 vega=0.0667,2025-06-13 19:59:38.361407+00:00,65.11,11.0,2025-06-13 19:59:58.522586+00:00,65.229,111.0,66.13,95.0
MSFT,2025-06-20,C,412.5,0.7795,delta=0.9429 gamma=0.0026 rho=0.0526 theta=-0.5411 vega=0.0636,2025-06-13 15:47:05.596875+00:00,64.36,1.0,2025-06-13 19:59:58.117450+00:00,61.89,10.0,64.15,10.0
MSFT,2025-06-20,C,415.0,0.7881,delta=0.9329 gamma=0.003 rho=0.0523 theta=-0.6134 vega=0.0721,2025-06-13 19:41:07.605061+00:00,59.729,3.0,2025-06-13 19:59:59.504328+00:00,58.85,106.0,62.679,115.0
