underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
MSTR,2025-06-20,C,5.0,,,2025-06-12 18:44:23.725373+00:00,381.81,1.0,2025-06-13 19:59:59.364694+00:00,371.79,3.0,379.6,5.0
MSTR,2025-06-20,C,10.0,,,2025-06-10 15:25:58.105382+00:00,380.17,1.0,2025-06-13 19:59:59.925173+00:00,372.19,3.0,377.7,3.0
MSTR,2025-06-20,C,15.0,,,2025-06-09 14:22:28.562405+00:00,367.2,1.0,2025-06-13 19:59:59.929966+00:00,369.2,3.0,371.2,5.0
MSTR,2025-06-20,C,20.0,,,2025-06-13 14:01:35.667546+00:00,357.7,1.0,2025-06-13 19:59:59.844371+00:00,357.99,3.0,364.91,5.0
MSTR,2025-06-20,C,25.0,,,2025-04-29 15:46:29.006971+00:00,357.62,1.0,2025-06-13 19:59:59.845113+00:00,357.5,3.0,359.25,5.0
MSTR,2025-06-20,C,30.0,,,2025-06-13 14:02:29.853663+00:00,347.1,1.0,2025-06-13 19:59:59.924712+00:00,348.54,8.0,357.32,4.0
MSTR,2025-06-20,C,35.0,,,2025-05-30 14:32:19.195137+00:00,330.11,1.0,2025-06-13 19:59:59.931654+00:00,345.15,4.0,345.72,5.0
MSTR,2025-06-20,C,40.0,,,2025-05-02 13:51:24.779929+00:00,354.65,1.0,2025-06-13 19:59:59.925173+00:00,337.81,3.0,344.4,5.0
MSTR,2025-06-20,C,45.0,,,2025-04-22 18:40:43.286959+00:00,302.8,1.0,2025-06-13 19:59:59.936446+00:00,339.38,5.0,341.48,3.0
MSTR,2025-06-20,C,50.0,,,2025-06-13 14:03:13.685573+00:00,328.3,1.0,2025-06-13 19:59:59.508195+00:00,330.76,3.0,332.71,5.0
MSTR,2025-06-20,C,55.0,,,2025-05-08 18:09:10.019915+00:00,358.34,1.0,2025-06-13 19:59:59.477753+00:00,328.75,3.0,332.9,5.0
MSTR,2025-06-20,C,60.0,,,2025-03-11 16:59:12.514485+00:00,186.14,1.0,2025-06-13 19:59:59.929409+00:00,318.84,5.0,328.83,5.0
MSTR,2025-06-20,C,65.0,,,2025-06-09 18:18:16.429630+00:00,332.1,1.0,2025-06-13 19:59:58.999674+00:00,317.18,1.0,319.23,4.0
MSTR,2025-06-20,C,70.0,,,2024-12-05 15:08:55.001996+00:00,354.05,4.0,2025-06-13 19:59:58.999739+00:00,307.58,1.0,316.36,4.0
MSTR,2025-06-20,C,75.0,,,2025-05-13 16:08:10.438399+00:00,338.45,2.0,2025-06-13 19:59:58.999804+00:00,301.82,1.0,308.11,4.0
MSTR,2025-06-20,C,80.0,,,2025-06-10 18:12:48.526363+00:00,312.98,2.0,2025-06-13 19:59:59.962011+00:00,297.78,3.0,301.89,5.0
MSTR,2025-06-20,C,85.0,,,2025-03-14 14:00:00.105125+00:00,193.8,1.0,2025-06-13 19:59:59.509614+00:00,292.12,4.0,298.61,5.0
MSTR,2025-06-20,C,90.0,,,2025-03-20 17:45:17.025261+00:00,213.57,5.0,2025-06-13 19:59:59.931654+00:00,290.49,6.0,292.44,5.0
MSTR,2025-06-20,C,95.0,,,2025-05-29 15:04:25.919554+00:00,272.97,2.0,2025-06-13 19:59:59.924712+00:00,282.89,4.0,286.38,5.0
MSTR,2025-06-20,C,100.0,,,2025-06-12 15:12:26.219222+00:00,285.93,1.0,2025-06-13 19:59:59.240322+00:00,285.92,2.0,287.82,5.0
MSTR,2025-06-20,C,105.0,,,2025-04-11 18:21:46.410878+00:00,197.26,2.0,2025-06-13 19:59:59.477321+00:00,280.58,3.0,282.15,5.0
MSTR,2025-06-20,C,110.0,,,2025-06-06 13:50:25.945960+00:00,264.56,1.0,2025-06-13 19:59:59+00:00,269.93,1.0,272.1,4.0
MSTR,2025-06-20,C,115.0,,,2025-06-03 13:57:45.875768+00:00,267.36,1.0,2025-06-13 19:59:59.929966+00:00,272.19,6.0,274.14,5.0
MSTR,2025-06-20,C,120.0,,,2025-06-13 13:44:37.040012+00:00,255.35,2.0,2025-06-13 19:59:59.365085+00:00,259.6,3.0,260.99,3.0
MSTR,2025-06-20,C,125.0,,,2025-05-22 14:03:24.857783+00:00,287.74,3.0,2025-06-13 19:59:59.929966+00:00,260.98,5.0,262.93,5.0
MSTR,2025-06-20,C,130.0,,,2025-06-09 15:39:06.335664+00:00,256.25,1.0,2025-06-13 19:59:58.999279+00:00,254.13,2.0,256.13,5.0
MSTR,2025-06-20,C,135.0,,,2025-06-11 14:36:05.200746+00:00,255.65,1.0,2025-06-13 19:59:59.931670+00:00,250.28,5.0,253.6,5.0
MSTR,2025-06-20,C,140.0,,,2025-06-05 14:23:16.547881+00:00,238.25,1.0,2025-06-13 19:59:59.000055+00:00,240.08,1.0,247.16,5.0
MSTR,2025-06-20,C,145.0,,,2025-04-25 19:50:00.877873+00:00,224.82,1.0,2025-06-13 19:59:58.999358+00:00,239.9,1.0,243.29,4.0
MSTR,2025-06-20,C,150.0,,,2025-06-10 17:40:34.995386+00:00,239.519,2.0,2025-06-13 19:59:59.510466+00:00,228.49,4.0,234.19,5.0
MSTR,2025-06-20,C,155.0,,,2025-06-10 17:25:10.896862+00:00,236.25,1.0,2025-06-13 19:59:59.508195+00:00,228.06,4.0,230.06,5.0
MSTR,2025-06-20,C,160.0,,,2025-06-13 16:38:08.474774+00:00,220.29,1.0,2025-06-13 19:59:59.476956+00:00,221.3,3.0,228.519,5.0
MSTR,2025-06-20,C,165.0,,,2025-06-09 13:30:07.545526+00:00,217.53,5.0,2025-06-13 19:59:58.999559+00:00,219.81,1.0,221.86,4.0
MSTR,2025-06-20,C,170.0,,,2025-06-13 19:36:48.137787+00:00,212.0,1.0,2025-06-13 19:59:59.508195+00:00,214.93,4.0,216.93,5.0
MSTR,2025-06-20,C,175.0,,,2025-06-04 13:39:21.756433+00:00,209.8,1.0,2025-06-13 19:59:59.000200+00:00,205.94,1.0,206.9,5.0
MSTR,2025-06-20,C,180.0,,,2025-06-09 18:04:01.019746+00:00,214.06,1.0,2025-06-13 19:59:58.999559+00:00,201.74,2.0,203.79,6.0
MSTR,2025-06-20,C,185.0,,,2025-06-13 17:59:28.670720+00:00,194.4,1.0,2025-06-13 19:59:59.508195+00:00,195.32,4.0,195.92,5.0
MSTR,2025-06-20,C,190.0,,,2025-06-10 16:38:57.167478+00:00,201.21,3.0,2025-06-13 19:59:59.509870+00:00,190.34,4.0,192.38,5.0
MSTR,2025-06-20,C,195.0,,,2025-06-11 19:54:50.021309+00:00,193.32,1.0,2025-06-13 19:59:59.477813+00:00,186.23,3.0,191.36,5.0
MSTR,2025-06-20,C,200.0,,,2025-06-13 17:12:56.036977+00:00,176.25,1.0,2025-06-13 19:59:58.982603+00:00,184.56,4.0,186.51,6.0
