underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
MU,2025-06-20,C,25.0,,,,,,2025-06-13 19:59:55.192209+00:00,91.08,60.0,92.18,129.0
MU,2025-06-20,C,27.5,,,2025-06-13 17:15:32.707808+00:00,88.93,1.0,2025-06-13 19:59:58.613324+00:00,89.34,155.0,90.38,124.0
MU,2025-06-20,C,30.0,,,2025-06-02 13:40:02.676190+00:00,65.32,1.0,2025-06-13 19:59:58.632720+00:00,85.15,136.0,86.4,136.0
MU,2025-06-20,C,32.5,,,2025-04-02 19:54:55.925767+00:00,56.72,9.0,2025-06-13 19:59:56.800901+00:00,83.97,126.0,86.03,132.0
MU,2025-06-20,C,35.0,,,2025-04-30 18:07:03.683495+00:00,41.32,2.0,2025-06-13 19:59:57.763178+00:00,79.73,98.0,81.57,131.0
MU,2025-06-20,C,37.5,,,2025-05-16 14:13:51.078001+00:00,60.2,1.0,2025-06-13 19:59:56.797433+00:00,75.63,132.0,79.4,132.0
MU,2025-06-20,C,40.0,,,2025-06-12 19:05:53.231769+00:00,76.1,2.0,2025-06-13 19:59:57.959912+00:00,76.48,47.0,77.08,272.0
MU,2025-06-20,C,42.5,,,2025-06-05 16:05:28.200822+00:00,65.32,1.0,2025-06-13 19:59:56.804069+00:00,72.65,136.0,74.47,136.0
MU,2025-06-20,C,45.0,,,2025-05-07 14:48:57.479500+00:00,36.4,20.0,2025-06-13 19:59:58.666736+00:00,68.17,287.0,70.13,140.0
MU,2025-06-20,C,47.5,,,2025-06-13 19:48:25.872956+00:00,68.44,1.0,2025-06-13 19:59:58.672775+00:00,68.44,181.0,69.29,86.0
MU,2025-06-20,C,50.0,,,2025-06-12 16:41:24.721145+00:00,66.35,6.0,2025-06-13 19:59:59.029345+00:00,65.45,171.0,67.41,160.0
MU,2025-06-20,C,52.5,,,2025-04-23 13:37:31.671774+00:00,22.78,1.0,2025-06-13 19:59:56.816584+00:00,62.86,148.0,64.279,142.0
MU,2025-06-20,C,55.0,,,2025-06-11 13:44:05.679774+00:00,60.9,1.0,2025-06-13 19:59:58.641691+00:00,60.879,136.0,61.96,217.0
MU,2025-06-20,C,57.5,,,2025-06-02 14:34:57.649920+00:00,38.09,2.0,2025-06-13 19:59:59.652579+00:00,57.41,191.0,58.21,206.0
MU,2025-06-20,C,60.0,,,2025-06-12 15:10:10.788494+00:00,55.98,1.0,2025-06-13 19:59:58.673106+00:00,54.429,139.0,55.61,169.0
MU,2025-06-20,C,62.5,,,2025-06-10 19:46:08.477466+00:00,51.65,1.0,2025-06-13 19:59:59.122973+00:00,52.079,108.0,54.39,83.0
MU,2025-06-20,C,65.0,,,2025-06-13 19:22:40.736528+00:00,50.29,9.0,2025-06-13 19:59:58.635060+00:00,50.79,95.0,51.7,208.0
MU,2025-06-20,C,67.5,,,2025-06-03 18:47:08.583883+00:00,34.4,4.0,2025-06-13 19:59:58.673602+00:00,46.4,234.0,48.5,254.0
MU,2025-06-20,C,70.0,,,2025-06-13 19:43:57.118964+00:00,45.27,20.0,2025-06-13 19:59:58.608452+00:00,44.6,181.0,46.62,234.0
MU,2025-06-20,C,72.5,,,2025-06-13 14:23:48.713732+00:00,42.48,1.0,2025-06-13 19:59:59.029345+00:00,43.14,133.0,44.4,246.0
MU,2025-06-20,C,75.0,,,2025-06-13 19:45:41.812418+00:00,40.2,1.0,2025-06-13 19:59:59.086035+00:00,39.83,146.0,41.46,159.0
MU,2025-06-20,C,77.5,,,2025-06-13 19:20:23.643765+00:00,37.98,1.0,2025-06-13 19:59:59.086035+00:00,37.64,125.0,39.03,163.0
MU,2025-06-20,C,80.0,,,2025-06-13 19:10:24.541320+00:00,35.95,5.0,2025-06-13 19:59:59.086035+00:00,34.74,160.0,36.98,166.0
MU,2025-06-20,C,82.5,,,2025-06-13 19:00:42.614974+00:00,33.34,10.0,2025-06-13 19:59:58.609048+00:00,32.439,177.0,34.07,99.0
MU,2025-06-20,C,85.0,,,2025-06-13 19:54:49.089718+00:00,30.92,1.0,2025-06-13 19:59:59.086035+00:00,30.17,6.0,31.36,169.0
MU,2025-06-20,C,86.0,,,2025-06-12 17:34:09.323400+00:00,29.7,3.0,2025-06-13 19:59:56.796851+00:00,28.83,134.0,29.71,64.0
MU,2025-06-20,C,87.0,,,2025-06-13 19:54:22.673412+00:00,28.9,1.0,2025-06-13 19:59:56.794466+00:00,27.65,129.0,29.83,129.0
MU,2025-06-20,C,87.5,,,2025-06-13 19:23:52.348387+00:00,28.28,1.0,2025-06-13 19:59:59.029034+00:00,27.68,7.0,28.61,203.0
MU,2025-06-20,C,88.0,,,2025-06-13 19:06:36.681176+00:00,27.839,2.0,2025-06-13 19:59:55.289040+00:00,27.93,60.0,28.45,58.0
