underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
NBIS,2025-06-20,C,10.0,,,2025-06-09 14:52:49.162265+00:00,44.71,1.0,2025-06-13 19:59:56.144817+00:00,35.66,74.0,37.91,74.0
NBIS,2025-06-20,C,11.0,,,,,,2025-06-13 19:59:56.140416+00:00,33.96,78.0,37.19,71.0
NBIS,2025-06-20,C,12.0,,,2025-05-27 15:27:23.485673+00:00,27.3,10.0,2025-06-13 19:59:59.902600+00:00,32.539,144.0,35.72,98.0
NBIS,2025-06-20,C,13.0,,,2025-05-20 13:30:05.324773+00:00,25.6,1.0,2025-06-13 19:59:56.145969+00:00,33.76,61.0,34.86,79.0
NBIS,2025-06-20,C,14.0,,,2025-04-17 16:05:19.511460+00:00,8.22,5.0,2025-06-13 19:59:56.146396+00:00,31.5,73.0,34.08,69.0
NBIS,2025-06-20,C,15.0,,,2025-05-09 13:38:37.080231+00:00,13.8,1.0,2025-06-13 19:59:56.232747+00:00,32.38,50.0,32.89,61.0
NBIS,2025-06-20,C,16.0,,,2025-06-05 18:48:13.320066+00:00,31.72,2.0,2025-06-13 19:59:55.410045+00:00,30.8,65.0,31.96,67.0
NBIS,2025-06-20,C,17.0,,,2025-06-12 14:28:04.308076+00:00,33.02,1.0,2025-06-13 19:59:55.972490+00:00,28.9,81.0,31.739,60.0
NBIS,2025-06-20,C,18.0,,,2025-06-05 18:34:18.387303+00:00,30.47,2.0,2025-06-13 19:59:55.971385+00:00,28.86,1.0,29.389,90.0
NBIS,2025-06-20,C,19.0,,,2025-05-21 15:54:43.967485+00:00,21.49,1.0,2025-06-13 19:59:56.142115+00:00,27.6,107.0,28.5,92.0
NBIS,2025-06-20,C,20.0,,,2025-06-12 13:55:43.528656+00:00,29.52,1.0,2025-06-13 19:59:57.276648+00:00,25.76,79.0,27.53,66.0
NBIS,2025-06-20,C,21.0,,,2025-06-09 14:55:11.148365+00:00,33.55,1.0,2025-06-13 19:59:59.902570+00:00,26.18,267.0,27.75,285.0
NBIS,2025-06-20,C,22.0,,,2025-06-05 14:08:29.799019+00:00,23.1,2.0,2025-06-13 19:59:57.392103+00:00,23.44,256.0,25.23,107.0
NBIS,2025-06-20,C,23.0,,,2025-06-12 13:55:43.528500+00:00,26.6,1.0,2025-06-13 19:59:59.902600+00:00,24.23,355.0,24.96,372.0
NBIS,2025-06-20,C,24.0,,,2025-06-13 18:50:49.161370+00:00,23.15,1.0,2025-06-13 19:59:55.397390+00:00,22.18,465.0,23.01,5.0
NBIS,2025-06-20,C,25.0,,,2025-06-12 16:08:51.332354+00:00,25.77,4.0,2025-06-13 19:59:57.188889+00:00,20.65,650.0,22.34,15.0
