underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
NFLX,2025-06-20,C,180.0,,,2025-06-10 19:51:26.877890+00:00,1021.25,1.0,2025-06-13 19:59:59.960969+00:00,1014.87,56.0,1034.44,49.0
NFLX,2025-06-20,C,185.0,,,2025-05-14 18:38:48.954138+00:00,973.85,1.0,2025-06-13 19:59:58.057363+00:00,1018.87,33.0,1023.72,4.0
NFLX,2025-06-20,C,190.0,,,2025-02-13 15:06:50.955179+00:00,853.65,1.0,2025-06-13 19:59:59.520364+00:00,1016.66,41.0,1025.09,45.0
NFLX,2025-06-20,C,195.0,,,2025-05-14 18:38:50.282172+00:00,959.81,1.0,2025-06-13 19:59:59.599162+00:00,1019.029,34.0,1035.54,51.0
NFLX,2025-06-20,C,200.0,,,2025-06-13 19:14:42.632903+00:00,1025.479,10.0,2025-06-13 19:59:59.065336+00:00,993.85,35.0,1026.05,36.0
NFLX,2025-06-20,C,210.0,,,2025-06-12 16:34:02.773550+00:00,1017.7,1.0,2025-06-13 19:59:59.521582+00:00,992.7,38.0,1007.879,45.0
NFLX,2025-06-20,C,220.0,,,2025-05-12 13:44:27.178033+00:00,893.3,1.0,2025-06-13 19:59:59.518043+00:00,974.629,64.0,995.31,44.0
NFLX,2025-06-20,C,230.0,,,2025-05-30 19:30:00.285464+00:00,980.64,1.0,2025-06-13 19:59:59.933268+00:00,970.91,35.0,978.179,50.0
NFLX,2025-06-20,C,240.0,,,2025-05-01 15:15:17.324697+00:00,901.95,1.0,2025-06-13 19:59:57.074432+00:00,957.65,34.0,970.429,13.0
NFLX,2025-06-20,C,250.0,,,2025-06-10 19:31:04.868874+00:00,966.84,1.0,2025-06-13 19:59:59.929749+00:00,961.94,35.0,978.129,49.0
NFLX,2025-06-20,C,260.0,,,2025-04-10 15:48:11.011135+00:00,662.0,2.0,2025-06-13 19:59:58.056691+00:00,959.32,34.0,964.22,5.0
NFLX,2025-06-20,C,270.0,,,2025-05-30 19:29:34.296550+00:00,946.52,1.0,2025-06-13 19:59:59.032764+00:00,956.2,36.0,959.85,4.0
NFLX,2025-06-20,C,280.0,,,2025-05-20 18:19:03.712364+00:00,916.92,1.0,2025-06-13 19:59:59.159184+00:00,927.61,28.0,932.46,31.0
NFLX,2025-06-20,C,290.0,,,2025-06-09 19:55:11.389922+00:00,934.99,1.0,2025-06-13 19:59:58.095168+00:00,928.15,36.0,931.99,43.0
NFLX,2025-06-20,C,300.0,,,2025-06-09 19:55:11.389922+00:00,924.55,1.0,2025-06-13 19:59:59.944610+00:00,926.36,31.0,932.71,46.0
NFLX,2025-06-20,C,310.0,,,2025-05-21 16:51:57.547817+00:00,900.98,1.0,2025-06-13 19:59:59.110242+00:00,882.479,41.0,900.09,46.0
NFLX,2025-06-20,C,320.0,,,2025-06-12 19:49:01.129376+00:00,894.42,1.0,2025-06-13 19:59:59.109310+00:00,887.82,63.0,888.44,40.0
