underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
NOW,2025-06-20,C,330.0,,,2025-05-29 19:59:10.331777+00:00,682.61,1.0,2025-06-13 19:59:52.678632+00:00,652.3,1.0,658.13,42.0
NOW,2025-06-20,C,340.0,,,,,,2025-06-13 19:59:59.489311+00:00,642.25,1.0,664.81,42.0
NOW,2025-06-20,C,350.0,,,2024-05-31 14:39:00.571817+00:00,316.1,1.0,2025-06-13 19:59:46.915881+00:00,620.81,1.0,657.27,41.0
NOW,2025-06-20,C,360.0,,,2025-03-28 18:53:09.965533+00:00,439.3,3.0,2025-06-13 19:59:55.348973+00:00,620.26,40.0,626.93,41.0
NOW,2025-06-20,C,370.0,,,,,,2025-06-13 19:59:52.677164+00:00,605.66,1.0,628.56,37.0
NOW,2025-06-20,C,380.0,,,,,,2025-06-13 19:57:33.639696+00:00,594.44,42.0,611.67,1.0
NOW,2025-06-20,C,390.0,,,,,,2025-06-13 19:59:52.677531+00:00,600.88,1.0,605.52,39.0
NOW,2025-06-20,C,400.0,,,2025-04-23 13:59:02.548149+00:00,426.0,1.0,2025-06-13 19:59:57.387652+00:00,588.96,40.0,606.73,41.0
NOW,2025-06-20,C,410.0,,,,,,2025-06-13 19:59:55.264717+00:00,574.58,1.0,575.04,42.0
NOW,2025-06-20,C,420.0,,,,,,2025-06-13 19:59:52.677525+00:00,563.52,1.0,564.91,42.0
NOW,2025-06-20,C,430.0,,,2025-02-05 14:33:21.109904+00:00,601.3,1.0,2025-06-13 19:59:55.148254+00:00,559.41,1.0,572.6,42.0
NOW,2025-06-20,C,440.0,,,,,,2025-06-13 19:59:56.012228+00:00,543.76,42.0,564.19,42.0
NOW,2025-06-20,C,450.0,,,,,,2025-06-13 19:59:59.489252+00:00,531.34,1.0,549.08,36.0
NOW,2025-06-20,C,460.0,,,,,,2025-06-13 19:59:55.607464+00:00,524.23,42.0,532.79,37.0
NOW,2025-06-20,C,470.0,,,,,,2025-06-13 19:59:54.333302+00:00,516.97,40.0,533.63,42.0
NOW,2025-06-20,C,480.0,,,,,,2025-06-13 19:59:53.305303+00:00,493.03,40.0,506.889,31.0
NOW,2025-06-20,C,490.0,,,,,,2025-06-13 19:59:52.595645+00:00,497.78,42.0,512.789,39.0
NOW,2025-06-20,C,500.0,,,2024-09-12 14:03:12.578251+00:00,400.0,2.0,2025-06-13 19:59:52.677064+00:00,484.189,1.0,493.98,36.0
NOW,2025-06-20,C,510.0,,,,,,2025-06-13 19:59:46.499759+00:00,469.85,41.0,484.66,42.0
NOW,2025-06-20,C,520.0,,,,,,2025-06-13 19:59:55.157922+00:00,467.55,45.0,477.27,35.0
NOW,2025-06-20,C,530.0,,,2025-02-27 15:00:55.051994+00:00,410.23,1.0,2025-06-13 19:59:55.826536+00:00,453.67,42.0,472.22,42.0
NOW,2025-06-20,C,540.0,,,2024-09-16 13:52:36.406168+00:00,375.64,1.0,2025-06-13 19:59:57.389797+00:00,434.65,1.0,460.27,41.0
NOW,2025-06-20,C,550.0,,,2025-04-25 13:59:33.529264+00:00,386.8,5.0,2025-06-13 19:59:52.679049+00:00,435.839,1.0,441.47,42.0
NOW,2025-06-20,C,560.0,,,2025-05-14 14:39:37.924950+00:00,481.73,1.0,2025-06-13 19:59:52.677084+00:00,416.889,1.0,432.22,42.0
NOW,2025-06-20,C,570.0,,,2025-04-02 19:31:28.630354+00:00,259.2,3.0,2025-06-13 19:59:54.160600+00:00,415.51,42.0,424.11,42.0
NOW,2025-06-20,C,580.0,,,2025-03-12 15:57:59.273707+00:00,271.2,1.0,2025-06-13 19:59:46.915881+00:00,402.4,1.0,416.88,42.0
NOW,2025-06-20,C,590.0,,,2024-04-05 16:55:45.724986+00:00,266.9,2.0,2025-06-13 19:59:46.915866+00:00,386.99,1.0,395.84,4.0
NOW,2025-06-20,C,600.0,,,2025-05-22 19:56:02.025752+00:00,417.41,30.0,2025-06-13 19:59:54.333302+00:00,385.38,19.0,393.01,6.0
NOW,2025-06-20,C,610.0,,,2025-03-07 16:50:18.453421+00:00,242.82,1.0,2025-06-13 19:59:53.772139+00:00,368.53,29.0,376.64,6.0
NOW,2025-06-20,C,620.0,,,2025-04-02 18:14:46.545999+00:00,208.2,1.0,2025-06-13 19:59:59.681825+00:00,361.67,1.0,369.75,5.0
NOW,2025-06-20,C,630.0,,,2025-02-24 16:26:29.002905+00:00,316.74,1.0,2025-06-13 19:59:55.745914+00:00,344.34,45.0,355.87,5.0
NOW,2025-06-20,C,640.0,,,2025-04-09 17:42:04.565844+00:00,175.18,1.0,2025-06-13 19:59:54.333302+00:00,346.89,45.0,348.3,8.0
NOW,2025-06-20,C,650.0,,,2025-04-04 19:45:30.491052+00:00,122.0,1.0,2025-06-13 19:59:53.901587+00:00,329.43,1.0,344.6,5.0
NOW,2025-06-20,C,660.0,,,2025-04-24 18:32:24.599633+00:00,287.84,1.0,2025-06-13 19:59:52.676287+00:00,322.11,1.0,332.29,5.0
NOW,2025-06-20,C,670.0,,,2025-04-17 17:22:41.652576+00:00,140.71,1.0,2025-06-13 19:59:55.694516+00:00,307.34,21.0,327.09,5.0
NOW,2025-06-20,C,680.0,,,2025-04-24 13:34:08.711250+00:00,252.93,1.0,2025-06-13 19:56:18.760588+00:00,302.55,42.0,312.35,42.0
NOW,2025-06-20,C,690.0,,,2025-02-11 19:11:25.984734+00:00,337.97,5.0,2025-06-13 19:59:52.417345+00:00,285.37,43.0,304.96,2.0
NOW,2025-06-20,C,700.0,,,2025-06-13 19:49:50.616623+00:00,285.75,3.0,2025-06-13 19:59:54.984108+00:00,280.27,21.0,297.46,5.0
NOW,2025-06-20,C,710.0,,,2025-06-13 14:43:33.226859+00:00,277.91,1.0,2025-06-13 19:59:50.454186+00:00,273.76,44.0,282.57,5.0
NOW,2025-06-20,C,720.0,,,2025-04-21 16:00:46.302839+00:00,80.0,1.0,2025-06-13 19:59:56.708633+00:00,263.76,46.0,276.83,22.0
NOW,2025-06-20,C,730.0,,,2025-05-14 15:47:51.627332+00:00,309.37,1.0,2025-06-13 19:59:54.329628+00:00,255.69,21.0,265.38,5.0
NOW,2025-06-20,C,740.0,,,2025-05-28 16:49:56.260366+00:00,287.4,1.0,2025-06-13 19:59:59.861443+00:00,237.41,46.0,252.01,4.0
NOW,2025-06-20,C,750.0,,,2025-06-13 18:08:27.799593+00:00,237.32,7.0,2025-06-13 19:59:53.208375+00:00,234.86,20.0,240.44,6.0
NOW,2025-06-20,C,760.0,,,2025-06-13 18:08:27.799593+00:00,227.37,7.0,2025-06-13 19:59:52.676693+00:00,223.55,1.0,236.65,33.0
NOW,2025-06-20,C,770.0,,,2025-05-05 14:43:24.362494+00:00,219.69,1.0,2025-06-13 19:59:52.676698+00:00,212.46,1.0,227.8,38.0
NOW,2025-06-20,C,780.0,,,2025-06-13 16:28:39.677358+00:00,216.12,1.0,2025-06-13 19:59:59.832755+00:00,205.569,35.0,216.83,35.0
NOW,2025-06-20,C,790.0,,,2025-05-28 17:33:04.486622+00:00,237.95,1.0,2025-06-13 19:59:50.253021+00:00,193.41,17.0,198.69,5.0
NOW,2025-06-20,C,800.0,0.9483,delta=0.9755 gamma=0.0005 rho=0.1061 theta=-0.722 vega=0.0665,2025-06-13 17:15:59.007639+00:00,192.57,10.0,2025-06-13 19:59:59.493942+00:00,184.76,26.0,195.61,15.0
NOW,2025-06-20,C,810.0,,,2025-05-29 14:05:57.585022+00:00,207.4,1.0,2025-06-13 19:59:59.445151+00:00,171.35,31.0,181.36,19.0
NOW,2025-06-20,C,820.0,,,2025-06-13 16:28:39.677368+00:00,175.69,1.0,2025-06-13 19:59:54.995751+00:00,164.25,23.0,169.58,6.0
NOW,2025-06-20,C,830.0,0.8392,delta=0.9668 gamma=0.0008 rho=0.109 theta=-0.8117 vega=0.0856,2025-06-05 17:20:52.921510+00:00,195.07,2.0,2025-06-13 19:59:59.537922+00:00,156.42,17.0,164.5,7.0
NOW,2025-06-20,C,840.0,0.7861,delta=0.9659 gamma=0.0008 rho=0.1102 theta=-0.783 vega=0.0875,2025-05-29 18:24:08.976120+00:00,179.35,1.0,2025-06-13 19:59:59.834469+00:00,144.62,22.0,156.22,16.0
NOW,2025-06-20,C,850.0,,,2025-06-11 18:15:35.284758+00:00,158.25,1.0,2025-06-13 19:59:57.612804+00:00,136.18,25.0,140.1,6.0
NOW,2025-06-20,C,860.0,,,2025-06-13 18:48:39.075872+00:00,122.0,1.0,2025-06-13 19:59:46.903291+00:00,122.5,19.0,133.75,16.0
NOW,2025-06-20,C,865.0,,,,,,2025-06-13 19:59:59.245000+00:00,118.45,44.0,129.709,30.0
NOW,2025-06-20,C,870.0,,,2025-06-13 16:42:50.726425+00:00,124.9,1.0,2025-06-13 19:59:56.437382+00:00,112.62,18.0,124.02,7.0
NOW,2025-06-20,C,875.0,,,,,,2025-06-13 19:59:54.824427+00:00,105.6,1.0,116.62,6.0
NOW,2025-06-20,C,880.0,,,2025-06-12 19:42:08.735205+00:00,130.65,1.0,2025-06-13 19:59:49.209058+00:00,102.65,14.0,112.65,5.0
NOW,2025-06-20,C,885.0,,,,,,2025-06-13 19:59:45.527327+00:00,99.27,4.0,109.05,5.0
NOW,2025-06-20,C,890.0,,,2025-06-05 18:29:31.371985+00:00,135.5,1.0,2025-06-13 19:59:59.359246+00:00,94.54,9.0,101.11,6.0
NOW,2025-06-20,C,895.0,,,2025-06-13 13:40:03.153360+00:00,103.54,20.0,2025-06-13 19:59:54.772644+00:00,90.04,10.0,97.85,6.0
NOW,2025-06-20,C,900.0,,,2025-06-13 15:00:48.967330+00:00,92.63,5.0,2025-06-13 19:59:54.986624+00:00,85.2,10.0,92.32,7.0
NOW,2025-06-20,C,905.0,0.4274,delta=0.9644 gamma=0.0016 rho=0.119 theta=-0.49 vega=0.0907,,,,2025-06-13 19:59:57.875139+00:00,80.68,1.0,89.13,10.0
NOW,2025-06-20,C,910.0,0.4595,delta=0.9429 gamma=0.0022 rho=0.1167 theta=-0.7096 vega=0.1326,2025-05-21 18:46:23.325167+00:00,120.59,1.0,2025-06-13 19:59:59.850668+00:00,76.95,17.0,84.09,8.0
NOW,2025-06-20,C,915.0,0.3382,delta=0.9767 gamma=0.0014 rho=0.1221 theta=-0.3205 vega=0.0637,,,,2025-06-13 19:59:49.423694+00:00,70.97,1.0,78.12,10.0
NOW,2025-06-20,C,920.0,0.4009,delta=0.9418 gamma=0.0025 rho=0.1179 theta=-0.641 vega=0.1346,2025-06-10 15:12:36.904471+00:00,91.63,2.0,2025-06-13 19:59:59.817679+00:00,66.57,13.0,74.19,10.0
