underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
NU,2025-06-20,C,1.0,,,,,,2025-06-13 19:59:38.613356+00:00,10.43,399.0,12.57,340.0
NU,2025-06-20,C,2.0,,,2025-06-13 13:41:00.985062+00:00,9.93,4.0,2025-06-13 19:59:57.176954+00:00,9.86,199.0,10.61,322.0
NU,2025-06-20,C,2.5,,,2025-06-10 17:35:39.370389+00:00,9.4,1.0,2025-06-13 19:59:45.396926+00:00,8.7,224.0,10.42,204.0
NU,2025-06-20,C,3.0,,,,,,2025-06-13 19:59:59.999176+00:00,8.8,74.0,9.57,231.0
NU,2025-06-20,C,4.0,,,,,,2025-06-13 19:59:59.830359+00:00,7.03,395.0,9.49,315.0
NU,2025-06-20,C,5.0,,,2025-06-12 13:30:19.240828+00:00,7.53,1.0,2025-06-13 19:59:59.830671+00:00,6.93,109.0,7.03,8.0
NU,2025-06-20,C,6.0,,,2025-06-10 13:30:16.495048+00:00,6.28,1.0,2025-06-13 19:59:58.878606+00:00,5.1,658.0,6.52,445.0
NU,2025-06-20,C,6.5,,,,,,2025-06-13 19:59:59.847665+00:00,4.86,274.0,5.41,7.0
NU,2025-06-20,C,7.0,,,2025-06-12 13:30:20.728705+00:00,5.54,1.0,2025-06-13 19:59:59.045378+00:00,4.24,425.0,5.05,6.0
NU,2025-06-20,C,7.5,,,2025-06-13 14:56:15.562418+00:00,4.43,1.0,2025-06-13 19:59:56.008910+00:00,3.72,380.0,5.03,294.0
NU,2025-06-20,C,8.0,,,2025-05-20 18:29:20.222369+00:00,4.66,1.0,2025-06-13 19:59:59.454669+00:00,3.82,129.0,3.879,10.0
NU,2025-06-20,C,8.5,,,2025-06-11 13:36:35.721175+00:00,3.92,1.0,2025-06-13 19:59:56.282853+00:00,2.94,392.0,3.779,214.0
NU,2025-06-20,C,9.0,,,2025-06-06 14:48:15.702334+00:00,3.1,1.0,2025-06-13 19:59:58.684693+00:00,2.7,716.0,2.93,12.0
NU,2025-06-20,C,9.5,,,2025-06-11 18:55:28.907042+00:00,3.07,1.0,2025-06-13 19:59:58.049600+00:00,2.25,284.0,2.77,244.0
NU,2025-06-20,C,10.0,,,2025-06-13 18:36:59.830705+00:00,1.95,3.0,2025-06-13 19:59:59.702239+00:00,1.92,10.0,2.93,534.0
