underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
NVDA,2025-06-20,C,0.5,,,2025-06-17 13:31:05.528638+00:00,144.4,3.0,2025-06-17 19:59:53.968685+00:00,141.17,100.0,145.62,99.0
NVDA,2025-06-20,C,1.0,,,2025-06-11 17:04:17.059775+00:00,145.05,500.0,2025-06-17 19:59:58.348507+00:00,139.92,104.0,144.7,103.0
NVDA,2025-06-20,C,1.5,,,2025-04-16 19:51:25.621197+00:00,102.2,2.0,2025-06-17 19:59:57.166878+00:00,139.41,100.0,144.36,100.0
NVDA,2025-06-20,C,2.0,,,2025-06-11 19:05:01.120754+00:00,141.18,9.0,2025-06-17 19:59:58.347615+00:00,139.53,104.0,141.32,103.0
NVDA,2025-06-20,C,2.5,,,2025-04-23 17:00:06.570536+00:00,101.24,2.0,2025-06-17 19:59:57.232634+00:00,141.22,100.0,143.11,100.0
NVDA,2025-06-20,C,3.0,,,2025-06-10 15:33:09.575229+00:00,138.9,1.0,2025-06-17 19:59:58.347615+00:00,141.82,104.0,144.43,103.0
NVDA,2025-06-20,C,3.5,,,2025-04-07 15:22:34.791537+00:00,91.8,1.0,2025-06-17 19:59:57.235697+00:00,141.45,100.0,143.15,100.0
NVDA,2025-06-20,C,4.0,,,2025-06-10 15:05:54.482607+00:00,140.4,1.0,2025-06-17 19:59:57.221959+00:00,141.6,100.0,143.3,100.0
NVDA,2025-06-20,C,4.5,,,2025-05-02 14:19:32.610893+00:00,109.37,50.0,2025-06-17 19:59:57.221914+00:00,141.34,100.0,142.99,100.0
NVDA,2025-06-20,C,5.0,,,2025-06-17 13:55:19.304332+00:00,139.01,1.0,2025-06-17 19:59:59.463022+00:00,140.99,131.0,141.55,145.0
NVDA,2025-06-20,C,5.5,,,2025-06-10 15:05:46.084717+00:00,138.75,1.0,2025-06-17 19:59:57.221859+00:00,140.49,100.0,141.34,100.0
NVDA,2025-06-20,C,6.0,,,2025-06-10 15:05:50.079810+00:00,138.27,2.0,2025-06-17 19:59:57.221809+00:00,138.36,100.0,141.05,100.0
NVDA,2025-06-20,C,6.5,,,2025-04-10 15:45:46.942573+00:00,100.89,10.0,2025-06-17 19:59:57.221759+00:00,135.78,100.0,136.15,100.0
NVDA,2025-06-20,C,7.0,,,2025-05-14 15:56:22.421794+00:00,127.35,1.0,2025-06-17 19:59:57.221713+00:00,138.89,100.0,140.54,100.0
NVDA,2025-06-20,C,7.5,,,2025-06-13 15:25:11.736357+00:00,135.53,4.0,2025-06-17 19:59:57.237581+00:00,136.52,100.0,138.09,100.0
NVDA,2025-06-20,C,8.0,,,2025-06-16 19:00:11.258888+00:00,137.03,28.0,2025-06-17 19:59:58.349685+00:00,134.66,104.0,139.09,101.0
NVDA,2025-06-20,C,8.5,,,2025-04-01 19:46:21.353456+00:00,103.38,32.0,2025-06-17 19:59:57.228650+00:00,135.72,100.0,137.42,100.0
NVDA,2025-06-20,C,9.0,,,2025-06-16 14:31:25.297781+00:00,136.95,1.0,2025-06-17 19:59:57.227562+00:00,136.27,100.0,137.97,100.0
NVDA,2025-06-20,C,9.5,,,2025-06-10 15:05:36.991390+00:00,133.39,1.0,2025-06-17 19:59:57.227993+00:00,131.53,59.0,138.25,100.0
NVDA,2025-06-20,C,10.0,,,2025-06-17 18:00:35.091165+00:00,134.1,10.0,2025-06-17 19:59:59.211408+00:00,131.09,109.0,133.73,82.0
NVDA,2025-06-20,C,10.5,,,2025-06-13 18:32:16.410177+00:00,131.57,3.0,2025-06-17 19:59:57.230083+00:00,132.25,100.0,136.24,100.0
NVDA,2025-06-20,C,11.0,,,2025-06-13 18:44:04.597268+00:00,132.42,1.0,2025-06-17 19:59:57.229126+00:00,134.37,100.0,136.0,100.0
NVDA,2025-06-20,C,11.5,,,2025-04-07 15:22:26.392558+00:00,85.22,1.0,2025-06-17 19:59:57.235141+00:00,130.5,88.0,131.16,100.0
NVDA,2025-06-20,C,12.0,,,2025-06-13 18:07:36.081591+00:00,129.49,10.0,2025-06-17 19:59:59.701724+00:00,129.52,105.0,133.86,116.0
NVDA,2025-06-20,C,12.5,,,2025-04-04 16:21:32.519174+00:00,82.45,60.0,2025-06-17 19:59:57.168567+00:00,129.58,93.0,133.85,100.0
NVDA,2025-06-20,C,13.0,,,2025-05-22 19:18:46.558694+00:00,120.87,10.0,2025-06-17 19:59:57.168452+00:00,132.97,86.0,133.34,100.0
NVDA,2025-06-20,C,13.5,,,2025-04-04 14:21:24.406433+00:00,80.65,10.0,2025-06-17 19:59:57.168973+00:00,131.13,63.0,133.59,100.0
NVDA,2025-06-20,C,14.0,,,2025-05-02 17:04:51.513223+00:00,102.08,20.0,2025-06-17 19:59:57.167745+00:00,128.69,92.0,131.03,69.0
NVDA,2025-06-20,C,14.5,,,2025-06-02 16:11:44.037504+00:00,123.05,50.0,2025-06-17 19:59:57.168732+00:00,130.62,93.0,132.02,100.0
NVDA,2025-06-20,C,15.0,,,2025-06-17 13:55:19.304327+00:00,130.97,1.0,2025-06-17 19:59:58.989406+00:00,129.32,41.0,131.88,64.0
NVDA,2025-06-20,C,15.5,,,2025-02-20 19:41:51.918749+00:00,125.97,1.0,2025-06-17 19:59:57.166783+00:00,129.4,100.0,130.87,74.0
NVDA,2025-06-20,C,16.0,,,2025-05-29 19:36:52.711415+00:00,122.9,20.0,2025-06-17 19:59:59.463036+00:00,129.68,124.0,130.87,125.0
NVDA,2025-06-20,C,16.5,,,2025-06-17 16:06:49.301971+00:00,129.98,70.0,2025-06-17 19:59:58.369702+00:00,129.35,135.0,130.4,68.0
NVDA,2025-06-20,C,17.0,,,2025-05-15 15:09:34.458439+00:00,116.8,3.0,2025-06-17 19:59:57.168973+00:00,128.67,65.0,129.37,58.0
NVDA,2025-06-20,C,17.5,,,2025-06-02 15:16:46.436956+00:00,119.25,5.0,2025-06-17 19:59:57.167850+00:00,128.4,100.0,129.75,100.0
NVDA,2025-06-20,C,18.0,,,2025-06-10 15:11:18.857885+00:00,125.59,1.0,2025-06-17 19:59:59.352243+00:00,125.059,104.0,127.259,107.0
NVDA,2025-06-20,C,18.5,,,2025-06-09 15:39:18.774024+00:00,125.059,30.0,2025-06-17 19:59:57.169078+00:00,123.39,67.0,126.15,56.0
NVDA,2025-06-20,C,19.0,,,2025-06-17 17:08:24.978700+00:00,124.95,2.0,2025-06-17 19:59:57.993678+00:00,125.82,52.0,126.98,72.0
NVDA,2025-06-20,C,19.5,,,2025-06-17 16:10:23.389422+00:00,124.37,10.0,2025-06-17 19:59:58.033187+00:00,124.87,161.0,125.77,57.0
NVDA,2025-06-20,C,20.0,,,2025-06-17 17:16:32.700699+00:00,124.85,5.0,2025-06-17 19:59:58.985983+00:00,126.15,41.0,126.8,63.0
NVDA,2025-06-20,C,20.5,,,2025-06-17 14:12:16.155403+00:00,124.3,10.0,2025-06-17 19:59:57.519266+00:00,120.859,101.0,123.98,74.0
NVDA,2025-06-20,C,21.0,,,2025-06-17 17:24:31.189079+00:00,124.57,2.0,2025-06-17 19:59:57.225102+00:00,121.859,100.0,121.93,59.0
NVDA,2025-06-20,C,21.5,,,2025-06-17 18:01:14.138144+00:00,123.209,3.0,2025-06-17 19:59:57.001776+00:00,120.38,105.0,123.64,87.0
NVDA,2025-06-20,C,22.0,,,2025-06-17 18:17:53.026212+00:00,124.209,2.0,2025-06-17 19:59:58.273088+00:00,119.72,56.0,123.39,66.0
NVDA,2025-06-20,C,22.5,,,2025-06-12 17:12:25.657502+00:00,122.0,5.0,2025-06-17 19:59:56.953170+00:00,120.27,101.0,123.97,69.0
NVDA,2025-06-20,C,23.0,,,2025-06-17 19:42:45.840398+00:00,121.4,5.0,2025-06-17 19:59:57.234293+00:00,123.02,64.0,123.77,64.0
NVDA,2025-06-20,C,23.5,,,2025-06-12 13:34:15.376012+00:00,120.0,50.0,2025-06-17 19:59:58.703230+00:00,120.74,122.0,123.35,40.0
NVDA,2025-06-20,C,24.0,,,2025-06-17 14:01:33.147080+00:00,121.009,1.0,2025-06-17 19:59:57.080092+00:00,120.17,110.0,120.87,40.0
NVDA,2025-06-20,C,24.5,,,2025-06-17 16:46:46.702434+00:00,120.43,1.0,2025-06-17 19:59:57.225217+00:00,118.359,64.0,121.08,69.0
NVDA,2025-06-20,C,25.0,,,2025-06-17 19:51:24.298918+00:00,120.78,8.0,2025-06-17 19:59:59.213669+00:00,120.78,43.0,121.73,94.0
NVDA,2025-06-20,C,25.5,,,2025-06-11 13:46:22.696152+00:00,119.409,12.0,2025-06-17 19:59:59.192388+00:00,117.12,101.0,118.859,76.0
NVDA,2025-06-20,C,26.0,,,2025-06-17 18:59:52.632418+00:00,118.27,1.0,2025-06-17 19:59:59.640123+00:00,117.59,21.0,118.99,66.0
NVDA,2025-06-20,C,26.5,,,2025-06-16 16:34:11.138408+00:00,120.45,9.0,2025-06-17 19:59:58.196791+00:00,116.39,182.0,119.1,157.0
NVDA,2025-06-20,C,27.0,,,2025-06-11 13:53:37.088937+00:00,116.83,1.0,2025-06-17 19:59:57.793894+00:00,116.6,53.0,116.9,39.0
NVDA,2025-06-20,C,27.5,,,2025-06-17 15:10:14.174206+00:00,117.21,1.0,2025-06-17 19:59:58.467445+00:00,114.37,273.0,117.34,66.0
NVDA,2025-06-20,C,28.0,,,2025-06-17 13:59:30.237824+00:00,118.759,1.0,2025-06-17 19:59:59.461960+00:00,114.759,141.0,115.9,79.0
NVDA,2025-06-20,C,28.5,,,2025-06-17 14:28:09.723022+00:00,115.94,9.0,2025-06-17 19:59:57.213534+00:00,113.28,52.0,114.62,45.0
NVDA,2025-06-20,C,29.0,,,2025-06-10 19:17:04.164611+00:00,116.49,1.0,2025-06-17 19:59:59.239681+00:00,112.8,126.0,117.12,101.0
NVDA,2025-06-20,C,29.5,,,2025-06-17 16:55:36.976433+00:00,114.91,7.0,2025-06-17 19:59:57.499213+00:00,115.5,84.0,116.4,40.0
NVDA,2025-06-20,C,30.0,,,2025-06-16 15:20:17.696128+00:00,117.209,2.0,2025-06-17 19:59:58.194406+00:00,113.29,41.0,114.04,116.0
NVDA,2025-06-20,C,30.5,,,2025-06-17 19:54:43.422943+00:00,113.54,1.0,2025-06-17 19:59:58.945476+00:00,112.79,40.0,113.54,102.0
NVDA,2025-06-20,C,31.0,,,2025-06-16 15:12:47.702890+00:00,114.42,1.0,2025-06-17 19:59:56.779016+00:00,110.68,44.0,112.93,10.0
NVDA,2025-06-20,C,31.5,,,2025-06-10 19:22:15.557853+00:00,111.859,1.0,2025-06-17 19:59:57.224956+00:00,110.33,101.0,114.49,38.0
NVDA,2025-06-20,C,32.0,,,2025-06-13 18:58:13.893768+00:00,109.3,1.0,2025-06-17 19:59:58.272694+00:00,109.64,43.0,111.309,39.0
NVDA,2025-06-20,C,32.5,,,2025-06-16 19:15:37.715172+00:00,112.44,10.0,2025-06-17 19:59:58.029639+00:00,112.6,193.0,113.6,57.0
NVDA,2025-06-20,C,33.0,,,2025-06-12 19:59:57.602598+00:00,112.0,300.0,2025-06-17 19:59:57.319792+00:00,109.52,44.0,109.54,70.0
NVDA,2025-06-20,C,33.5,,,2025-06-17 19:30:28.630621+00:00,112.53,2.0,2025-06-17 19:59:57.080382+00:00,110.13,158.0,110.57,61.0
NVDA,2025-06-20,C,34.0,,,2025-06-16 16:14:22.294066+00:00,112.48,5.0,2025-06-17 19:59:58.271253+00:00,110.55,43.0,111.2,39.0
NVDA,2025-06-20,C,34.5,,,2025-06-10 19:23:30.018061+00:00,110.09,1.0,2025-06-17 19:59:58.270898+00:00,109.47,43.0,110.27,72.0
NVDA,2025-06-20,C,35.0,,,2025-06-16 19:19:07.200263+00:00,110.03,3.0,2025-06-17 19:59:57.331810+00:00,108.38,82.0,110.409,53.0
NVDA,2025-06-20,C,35.5,,,2025-06-10 19:33:06.794793+00:00,109.459,1.0,2025-06-17 19:59:57.321275+00:00,106.15,100.0,109.659,38.0
NVDA,2025-06-20,C,36.0,,,2025-06-13 18:31:30.453015+00:00,105.48,1.0,2025-06-17 19:59:58.271655+00:00,109.27,43.0,109.92,42.0
NVDA,2025-06-20,C,36.5,,,2025-06-10 19:33:09.208826+00:00,108.409,1.0,2025-06-17 19:59:57.235040+00:00,107.209,100.0,109.53,91.0
NVDA,2025-06-20,C,37.0,,,2025-06-16 18:36:21.731365+00:00,107.28,20.0,2025-06-17 19:59:58.273363+00:00,105.2,43.0,107.69,83.0
NVDA,2025-06-20,C,37.5,,,2025-06-16 17:57:06.872331+00:00,108.53,20.0,2025-06-17 19:59:57.482228+00:00,107.83,43.0,108.62,170.0
NVDA,2025-06-20,C,38.0,,,2025-06-17 14:15:08.259171+00:00,105.59,15.0,2025-06-17 19:59:59.743934+00:00,107.29,46.0,107.94,40.0
