underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
NVO,2025-06-20,C,35.0,,,2025-05-12 17:18:03.428406+00:00,32.8,8.0,2025-06-13 19:59:59.063967+00:00,43.87,51.0,46.91,64.0
NVO,2025-06-20,C,40.0,,,2025-06-13 14:39:04.503871+00:00,40.37,2.0,2025-06-13 19:59:59.043869+00:00,37.86,63.0,41.51,55.0
NVO,2025-06-20,C,45.0,,,2025-06-05 13:41:30.687442+00:00,27.4,2.0,2025-06-13 19:59:58.071182+00:00,34.04,81.0,36.6,79.0
NVO,2025-06-20,C,50.0,,,2025-06-13 14:12:13.216973+00:00,30.01,8.0,2025-06-13 19:59:58.069053+00:00,27.87,86.0,31.539,89.0
NVO,2025-06-20,C,52.0,,,,,,2025-06-13 19:59:34.560345+00:00,25.7,69.0,29.78,69.0
NVO,2025-06-20,C,53.0,,,2025-05-20 15:36:43.852050+00:00,15.99,1.0,2025-06-13 19:59:58.075964+00:00,26.089,62.0,28.889,60.0
NVO,2025-06-20,C,54.0,,,2025-06-03 15:23:31.268413+00:00,17.45,1.0,2025-06-13 19:58:42.396529+00:00,24.41,60.0,27.82,60.0
NVO,2025-06-20,C,55.0,,,2025-06-13 13:34:38.302017+00:00,25.57,1.0,2025-06-13 19:59:56.329077+00:00,23.64,380.0,27.28,174.0
NVO,2025-06-20,C,56.0,,,,,,2025-06-13 19:59:59.050124+00:00,21.7,92.0,25.63,74.0
NVO,2025-06-20,C,57.0,,,,,,2025-06-13 19:59:59.046812+00:00,21.21,97.0,24.73,73.0
NVO,2025-06-20,C,58.0,,,,,,2025-06-13 19:59:59.309428+00:00,19.75,99.0,23.58,89.0
NVO,2025-06-20,C,59.0,,,2025-06-13 17:51:12.187560+00:00,21.41,5.0,2025-06-13 19:59:59.046802+00:00,18.95,133.0,22.55,81.0
NVO,2025-06-20,C,60.0,,,2025-06-13 19:30:52.209478+00:00,20.02,5.0,2025-06-13 19:59:59.030930+00:00,19.17,410.0,20.43,184.0
NVO,2025-06-20,C,61.0,,,2025-06-13 17:50:28.237124+00:00,19.61,10.0,2025-06-13 19:59:56.329413+00:00,18.54,11.0,18.88,10.0
NVO,2025-06-20,C,62.0,,,2025-06-13 15:00:17.824884+00:00,17.92,1.0,2025-06-13 19:59:23.272117+00:00,17.72,9.0,17.98,30.0
NVO,2025-06-20,C,63.0,,,2025-06-13 17:51:12.187560+00:00,17.44,5.0,2025-06-13 19:59:59.046812+00:00,16.83,6.0,17.09,39.0
NVO,2025-06-20,C,64.0,,,2025-06-05 14:42:19.635132+00:00,10.0,1.0,2025-06-13 19:59:59.670472+00:00,15.95,9.0,16.2,44.0
NVO,2025-06-20,C,65.0,,,2025-06-13 19:27:29.419713+00:00,15.05,20.0,2025-06-13 19:59:59.024148+00:00,14.78,15.0,15.25,95.0
NVO,2025-06-20,C,66.0,,,2025-06-13 16:52:50.054502+00:00,14.7,10.0,2025-06-13 19:59:59.449485+00:00,14.05,16.0,14.08,7.0
NVO,2025-06-20,C,67.0,,,2025-06-12 19:58:29.680841+00:00,14.47,4.0,2025-06-13 19:59:58.047180+00:00,12.78,12.0,13.1,15.0
NVO,2025-06-20,C,68.0,0.8543,delta=0.956 gamma=0.0116 rho=0.0088 theta=-0.0822 vega=0.0087,2025-06-13 18:40:31.742369+00:00,11.85,1.0,2025-06-13 19:59:59.642249+00:00,11.82,11.0,12.96,124.0
NVO,2025-06-20,C,69.0,,,2025-06-12 19:18:06.889145+00:00,12.02,5.0,2025-06-13 19:59:54.959485+00:00,10.54,386.0,11.35,10.0
NVO,2025-06-20,C,70.0,,,2025-06-13 19:53:45.266593+00:00,10.04,1.0,2025-06-13 19:59:59.031299+00:00,8.29,327.0,10.09,11.0
