underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
ORCL,2025-06-20,C,55.0,,,2025-04-29 13:42:19.874323+00:00,86.01,1.0,2025-06-13 19:59:52.321572+00:00,159.09,100.0,161.59,100.0
ORCL,2025-06-20,C,60.0,,,2025-06-06 13:35:26.225319+00:00,114.0,1.0,2025-06-13 19:59:57.115536+00:00,153.98,1.0,156.11,82.0
ORCL,2025-06-20,C,65.0,,,2025-03-06 19:14:37.444371+00:00,86.73,11.0,2025-06-13 19:59:54.192529+00:00,150.62,100.0,154.63,104.0
ORCL,2025-06-20,C,70.0,,,2025-04-17 19:28:43.097235+00:00,60.22,1.0,2025-06-13 19:59:57.223668+00:00,145.22,105.0,147.03,116.0
ORCL,2025-06-20,C,75.0,,,2025-03-07 16:18:34.159272+00:00,76.6,16.0,2025-06-13 19:59:58.152115+00:00,137.46,23.0,140.46,1.0
ORCL,2025-06-20,C,80.0,,,2025-06-12 15:51:33.576390+00:00,120.68,18.0,2025-06-13 19:59:53.673217+00:00,137.24,61.0,139.14,106.0
ORCL,2025-06-20,C,85.0,,,2025-05-15 15:47:30.410000+00:00,76.13,1.0,2025-06-13 19:59:52.320947+00:00,128.9,96.0,130.49,100.0
ORCL,2025-06-20,C,90.0,,,2025-06-04 13:41:23.494518+00:00,80.4,1.0,2025-06-13 19:59:53.750791+00:00,122.909,54.0,128.38,130.0
ORCL,2025-06-20,C,92.5,,,2025-06-10 16:27:31.779368+00:00,83.14,5.0,2025-06-13 19:59:55.647173+00:00,122.759,1.0,125.709,1.0
ORCL,2025-06-20,C,95.0,,,2025-06-13 17:24:43.881107+00:00,120.55,1.0,2025-06-13 19:59:55.588674+00:00,121.6,1.0,124.0,105.0
ORCL,2025-06-20,C,97.5,,,2025-05-23 17:50:40.115409+00:00,59.57,1.0,2025-06-13 19:59:52.321733+00:00,118.64,82.0,120.94,105.0
