underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
OSCR,2025-06-20,C,3.0,,,2025-06-02 17:18:39.857480+00:00,11.2,1.0,2025-06-13 19:59:15.508615+00:00,10.18,52.0,12.34,12.0
OSCR,2025-06-20,C,4.0,,,2025-06-02 17:18:39.857485+00:00,10.39,1.0,2025-06-13 19:59:44.782945+00:00,9.33,51.0,11.46,33.0
OSCR,2025-06-20,C,5.0,,,2025-05-07 13:35:36.141024+00:00,11.53,2.0,2025-06-13 19:59:44.810421+00:00,8.55,108.0,10.16,5.0
OSCR,2025-06-20,C,6.0,,,2025-06-09 15:47:54.905517+00:00,9.22,1.0,2025-06-13 19:59:57.533998+00:00,6.78,46.0,9.28,5.0
OSCR,2025-06-20,C,7.0,,,2025-06-09 15:47:54.905528+00:00,8.35,1.0,2025-06-13 19:59:28.664642+00:00,6.92,7.0,7.87,5.0
OSCR,2025-06-20,C,8.0,,,2025-06-09 14:29:42.381742+00:00,7.28,1.0,2025-06-13 19:59:40.605921+00:00,5.61,6.0,7.38,20.0
OSCR,2025-06-20,C,9.0,,,2025-06-09 14:29:42.381742+00:00,6.39,1.0,2025-06-13 19:59:50.516572+00:00,4.66,5.0,6.25,10.0
OSCR,2025-06-20,C,9.5,,,,,,2025-06-13 19:59:56.332165+00:00,4.18,5.0,5.42,6.0
OSCR,2025-06-20,C,10.0,,,2025-06-13 19:34:29.584836+00:00,3.95,1.0,2025-06-13 19:59:57.043835+00:00,3.929,8.0,4.12,16.0
OSCR,2025-06-20,C,10.5,,,,,,2025-06-13 19:56:20.944808+00:00,3.22,11.0,4.78,1.0
OSCR,2025-06-20,C,11.0,,,2025-06-05 18:19:20.085422+00:00,4.88,3.0,2025-06-13 19:59:57.895734+00:00,2.22,898.0,3.14,25.0
OSCR,2025-06-20,C,11.5,,,2025-06-04 13:38:23.240333+00:00,2.82,1.0,2025-06-13 19:59:50.527269+00:00,2.21,8.0,3.679,14.0
OSCR,2025-06-20,C,12.0,0.8909,delta=0.9352 gamma=0.0868 rho=0.0015 theta=-0.0197 vega=0.0021,2025-06-11 19:00:33.607304+00:00,2.35,5.0,2025-06-13 19:59:54.026168+00:00,1.92,25.0,2.12,140.0
OSCR,2025-06-20,C,12.5,1.6661,delta=0.7488 gamma=0.1169 rho=0.0012 theta=-0.0878 vega=0.0052,2025-06-09 14:15:58.585374+00:00,2.53,1.0,2025-06-13 19:59:48.674605+00:00,1.48,8.0,2.38,1.0
OSCR,2025-06-20,C,13.0,0.8297,delta=0.7869 gamma=0.2143 rho=0.0013 theta=-0.0406 vega=0.0048,2025-06-13 19:55:13.918962+00:00,1.17,1.0,2025-06-13 19:59:58.447258+00:00,1.12,5.0,1.18,18.0
OSCR,2025-06-20,C,13.5,0.7467,delta=0.6708 gamma=0.2964 rho=0.0012 theta=-0.0452 vega=0.0059,2025-06-13 19:34:44.866927+00:00,0.75,5.0,2025-06-13 19:59:58.517145+00:00,0.68,36.0,0.83,111.0
OSCR,2025-06-20,C,14.0,0.7751,delta=0.5113 gamma=0.3147 rho=0.0009 theta=-0.0513 vega=0.0065,2025-06-13 19:59:22.883391+00:00,0.48,10.0,2025-06-13 19:59:58.464749+00:00,0.47,242.0,0.52,23.0
OSCR,2025-06-20,C,14.5,0.8149,delta=0.3682 gamma=0.2829 rho=0.0007 theta=-0.0508 vega=0.0062,2025-06-13 19:53:49.095372+00:00,0.33,15.0,2025-06-13 19:59:58.556047+00:00,0.27,132.0,0.37,123.0
OSCR,2025-06-20,C,15.0,0.7969,delta=0.2389 gamma=0.238 rho=0.0004 theta=-0.0408 vega=0.0051,2025-06-13 19:59:11.412353+00:00,0.17,1.0,2025-06-13 19:59:57.467805+00:00,0.17,629.0,0.18,6.0
OSCR,2025-06-20,C,15.5,0.9262,delta=0.1843 gamma=0.1758 rho=0.0003 theta=-0.0406 vega=0.0044,2025-06-13 19:58:16.776363+00:00,0.12,2.0,2025-06-13 19:59:54.025416+00:00,0.12,135.0,0.17,47.0
OSCR,2025-06-20,C,16.0,0.9639,delta=0.1269 gamma=0.132 rho=0.0002 theta=-0.033 vega=0.0034,2025-06-13 19:54:15.946359+00:00,0.07,1.0,2025-06-13 19:59:57.467915+00:00,0.07,1130.0,0.12,15.0
OSCR,2025-06-20,C,16.5,,,2025-06-13 18:32:16.101365+00:00,0.05,2.0,2025-06-13 19:59:59.587965+00:00,0.0,0.0,0.17,711.0
OSCR,2025-06-20,C,17.0,,,2025-06-13 19:49:28.164671+00:00,0.05,16.0,2025-06-13 19:58:21.274874+00:00,0.07,1.0,0.08,3.0
OSCR,2025-06-20,C,17.5,,,2025-06-13 14:14:09.179132+00:00,0.05,1.0,2025-06-13 19:56:16.556135+00:00,0.07,2.0,0.08,1.0
OSCR,2025-06-20,C,18.0,,,2025-06-13 19:27:02.470587+00:00,0.05,1.0,2025-06-13 19:49:58.775078+00:00,0.0,0.0,0.08,15.0
OSCR,2025-06-20,C,18.5,,,2025-06-06 16:30:17.284164+00:00,0.17,1.0,2025-06-13 19:20:12.397788+00:00,0.0,0.0,0.07,1.0
OSCR,2025-06-20,C,19.0,,,2025-06-11 19:39:34.541385+00:00,0.02,1.0,2025-06-13 19:56:41.890259+00:00,0.0,0.0,0.17,8.0
OSCR,2025-06-20,C,19.5,,,2025-06-12 18:36:59.467387+00:00,0.05,10.0,2025-06-13 15:32:22.413423+00:00,0.0,0.0,0.07,1.0
OSCR,2025-06-20,C,20.0,,,2025-06-13 19:47:34.193875+00:00,0.03,5.0,2025-06-13 19:56:16.870729+00:00,0.0,0.0,0.03,195.0
OSCR,2025-06-20,C,20.5,,,,,,2025-06-13 19:59:55.122563+00:00,0.0,0.0,0.52,515.0
OSCR,2025-06-20,C,21.0,,,2025-06-11 15:30:51.145409+00:00,0.01,3.0,2025-06-13 18:39:32.919520+00:00,0.0,0.0,0.03,4.0
OSCR,2025-06-20,C,22.0,,,2025-06-06 18:23:21.005413+00:00,0.05,1.0,2025-06-13 19:59:40.185956+00:00,0.0,0.0,0.42,2879.0
OSCR,2025-06-20,C,23.0,,,2025-06-05 15:09:28.455368+00:00,0.08,10.0,2025-06-13 19:59:02.025379+00:00,0.0,0.0,0.22,14.0
OSCR,2025-06-20,C,24.0,,,2025-05-21 18:43:42.486319+00:00,0.08,1.0,2025-06-13 19:56:09.680308+00:00,0.0,0.0,0.43,1057.0
OSCR,2025-06-20,C,25.0,,,2025-06-13 18:13:50.777345+00:00,0.04,14.0,2025-06-13 19:55:02.045756+00:00,0.0,0.0,0.03,8.0
OSCR,2025-06-20,C,26.0,,,2025-05-19 19:46:28.731752+00:00,0.06,1.0,2025-06-13 19:56:09.681275+00:00,0.0,0.0,0.48,636.0
OSCR,2025-06-20,C,27.0,,,2025-05-07 13:59:16.475276+00:00,0.1,1.0,2025-06-13 19:59:04.210519+00:00,0.0,0.0,0.18,309.0
OSCR,2025-06-20,C,28.0,,,,,,2025-06-13 19:56:09.681220+00:00,0.0,0.0,0.48,591.0
OSCR,2025-06-20,C,29.0,,,,,,2025-06-13 19:56:09.681209+00:00,0.0,0.0,0.48,589.0
OSCR,2025-06-20,C,30.0,,,2025-06-06 14:05:24.007367+00:00,0.01,1.0,2025-06-13 19:59:07.101239+00:00,0.0,0.0,0.12,11.0
OSCR,2025-06-20,C,31.0,,,,,,2025-06-13 19:59:54.986209+00:00,0.0,0.0,0.48,591.0
OSCR,2025-06-20,C,32.0,,,2025-06-05 15:23:18.803380+00:00,0.05,1.0,2025-06-13 13:30:32.553269+00:00,0.0,0.0,0.03,1.0
OSCR,2025-06-20,C,33.0,,,,,,2025-06-13 19:59:55.202333+00:00,0.0,0.0,0.52,591.0
OSCR,2025-06-20,C,34.0,,,,,,2025-06-13 19:56:09.681381+00:00,0.0,0.0,0.52,589.0
OSCR,2025-06-20,C,35.0,,,2025-04-15 13:30:21.969654+00:00,0.19,1.0,2025-06-13 14:03:14.664034+00:00,0.0,0.0,0.07,3.0
OSCR,2025-06-20,P,3.0,,,,,,2025-06-13 13:33:33.208616+00:00,0.0,0.0,0.03,10.0
OSCR,2025-06-20,P,4.0,,,,,,2025-06-13 13:31:13.579041+00:00,0.0,0.0,0.07,10.0
OSCR,2025-06-20,P,5.0,,,2025-03-28 13:30:05.071378+00:00,0.05,45.0,2025-06-13 13:50:40.234446+00:00,0.0,0.0,0.07,10.0
OSCR,2025-06-20,P,6.0,,,,,,2025-06-13 13:39:45.091337+00:00,0.0,0.0,0.07,10.0
OSCR,2025-06-20,P,7.0,,,,,,2025-06-13 13:42:18.294998+00:00,0.0,0.0,0.03,10.0
OSCR,2025-06-20,P,8.0,,,2025-05-12 13:50:07.752141+00:00,0.05,10.0,2025-06-13 13:42:22.985937+00:00,0.0,0.0,0.03,10.0
