underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
PLTR,2025-06-20,C,3.0,,,2025-06-13 17:45:26.384660+00:00,136.1,9.0,2025-06-13 19:59:59.626117+00:00,131.61,136.0,134.07,132.0
PLTR,2025-06-20,C,5.0,,,2025-06-11 14:18:51.037960+00:00,130.65,1.0,2025-06-13 19:59:59.365595+00:00,130.09,133.0,131.25,132.0
PLTR,2025-06-20,C,8.0,,,2025-06-13 15:41:19.980760+00:00,130.9,5.0,2025-06-13 19:59:59.638766+00:00,126.33,134.0,130.009,134.0
PLTR,2025-06-20,C,10.0,,,2025-06-09 19:16:12.100138+00:00,122.16,27.0,2025-06-13 19:59:58.878029+00:00,123.83,190.0,130.88,190.0
PLTR,2025-06-20,C,13.0,,,2025-06-13 19:00:12.691099+00:00,125.92,1.0,2025-06-13 19:59:59.929048+00:00,124.25,100.0,125.9,139.0
PLTR,2025-06-20,C,15.0,,,2025-06-13 17:01:37.645412+00:00,125.0,1.0,2025-06-13 19:59:59.137652+00:00,123.72,149.0,125.52,168.0
PLTR,2025-06-20,C,17.0,,,2025-06-13 18:43:03.744604+00:00,120.74,1.0,2025-06-13 19:59:59.944555+00:00,119.0,111.0,121.059,134.0
PLTR,2025-06-20,C,20.0,,,2025-06-13 17:01:37.644451+00:00,120.0,1.0,2025-06-13 19:59:59.661997+00:00,116.25,103.0,119.67,167.0
PLTR,2025-06-20,C,22.0,,,2025-06-13 18:18:26.280605+00:00,115.9,8.0,2025-06-13 19:59:59.945312+00:00,113.87,106.0,115.69,135.0
PLTR,2025-06-20,C,25.0,,,2025-06-13 20:57:19.070980+00:00,112.85,475.0,2025-06-13 19:59:59.384104+00:00,111.28,103.0,111.9,142.0
PLTR,2025-06-20,C,27.0,,,2025-06-13 17:19:00.049243+00:00,113.509,40.0,2025-06-13 19:59:59.948233+00:00,107.73,132.0,111.82,126.0
PLTR,2025-06-20,C,30.0,,,2025-06-13 18:49:43.619345+00:00,107.15,1.0,2025-06-13 19:59:59.944349+00:00,106.309,129.0,109.14,127.0
PLTR,2025-06-20,C,32.0,,,2025-06-13 19:03:24.264254+00:00,108.19,1.0,2025-06-13 19:59:59.300221+00:00,104.359,101.0,107.58,177.0
PLTR,2025-06-20,C,35.0,,,2025-06-13 19:27:09.329550+00:00,104.29,2.0,2025-06-13 19:59:59.337233+00:00,99.95,142.0,104.4,139.0
PLTR,2025-06-20,C,37.0,,,2025-06-13 19:50:09.272261+00:00,101.03,5.0,2025-06-13 19:59:58.103479+00:00,98.8,7.0,99.53,10.0
PLTR,2025-06-20,C,40.0,,,2025-06-13 19:46:02.002972+00:00,98.26,1.0,2025-06-13 19:59:59.392625+00:00,98.22,131.0,100.37,157.0
PLTR,2025-06-20,C,42.0,,,2025-06-13 14:11:30.879418+00:00,94.08,4.0,2025-06-13 19:59:58.936949+00:00,94.47,109.0,94.92,102.0
PLTR,2025-06-20,C,45.0,,,2025-06-13 18:19:58.752382+00:00,93.03,1.0,2025-06-13 19:59:59.137522+00:00,92.11,173.0,93.18,167.0
PLTR,2025-06-20,C,47.0,,,2025-06-13 13:53:40.797135+00:00,90.89,1.0,2025-06-13 19:59:59.135689+00:00,88.45,172.0,91.82,168.0
PLTR,2025-06-20,C,50.0,,,2025-06-13 19:17:24.039556+00:00,89.11,1.0,2025-06-13 19:59:59.309663+00:00,85.41,162.0,88.58,167.0
PLTR,2025-06-20,C,55.0,,,2025-06-13 19:53:01.094697+00:00,82.96,10.0,2025-06-13 19:59:59.311066+00:00,81.71,168.0,83.01,173.0
PLTR,2025-06-20,C,57.5,,,2025-06-11 15:08:23.155434+00:00,79.95,1.0,2025-06-13 19:59:59.894941+00:00,77.84,139.0,82.73,143.0
PLTR,2025-06-20,C,60.0,,,2025-06-13 19:34:21.839066+00:00,78.94,7.0,2025-06-13 19:59:59.391452+00:00,76.67,135.0,76.98,127.0
PLTR,2025-06-20,C,62.5,,,2025-06-13 18:16:12.293716+00:00,75.78,2.0,2025-06-13 19:59:59.331927+00:00,75.73,102.0,76.95,106.0
PLTR,2025-06-20,C,65.0,,,2025-06-13 18:31:55.870717+00:00,73.25,1.0,2025-06-13 19:59:59.188359+00:00,72.13,172.0,74.18,177.0
PLTR,2025-06-20,C,67.5,,,2025-06-13 16:41:22.197678+00:00,71.75,1.0,2025-06-13 19:59:59.135382+00:00,70.4,157.0,72.58,154.0
PLTR,2025-06-20,C,70.0,,,2025-06-13 19:37:53.989659+00:00,67.95,1.0,2025-06-13 19:59:59.660889+00:00,66.43,125.0,67.24,136.0
PLTR,2025-06-20,C,72.5,,,2025-06-13 16:56:49.336061+00:00,67.0,1.0,2025-06-13 19:59:58.890108+00:00,64.09,171.0,65.3,176.0
PLTR,2025-06-20,C,75.0,,,2025-06-13 19:31:01.233568+00:00,62.92,5.0,2025-06-13 19:59:59.304264+00:00,60.97,165.0,63.31,183.0
PLTR,2025-06-20,C,77.5,,,2025-06-13 16:17:32.944363+00:00,61.5,1.0,2025-06-13 19:59:59.135122+00:00,59.26,152.0,60.779,160.0
PLTR,2025-06-20,C,80.0,,,2025-06-13 19:45:14.729771+00:00,57.3,4.0,2025-06-13 19:59:59.639113+00:00,57.15,176.0,57.59,128.0
PLTR,2025-06-20,C,82.5,,,2025-06-13 13:45:38.917317+00:00,54.37,1.0,2025-06-13 19:59:59.660904+00:00,55.04,135.0,56.04,100.0
PLTR,2025-06-20,C,85.0,,,2025-06-13 18:59:38.876936+00:00,53.15,2.0,2025-06-13 19:59:59.136254+00:00,51.03,156.0,51.82,105.0
PLTR,2025-06-20,C,87.5,,,2025-06-11 13:39:27.044436+00:00,47.79,1.0,2025-06-13 19:59:59.394775+00:00,48.36,134.0,50.79,133.0
PLTR,2025-06-20,C,90.0,,,2025-06-13 19:32:29.015994+00:00,48.0,1.0,2025-06-13 19:59:59.019188+00:00,46.39,16.0,47.77,352.0
PLTR,2025-06-20,C,92.5,,,2025-06-13 19:22:54.201488+00:00,45.81,1.0,2025-06-13 19:59:59.922477+00:00,45.25,3.0,46.7,127.0
PLTR,2025-06-20,C,95.0,,,2025-06-13 19:49:16.340325+00:00,42.83,1.0,2025-06-13 19:59:59.014696+00:00,41.95,18.0,43.17,187.0
PLTR,2025-06-20,C,97.5,,,2025-06-13 19:26:56.133733+00:00,40.36,1.0,2025-06-13 19:59:59.662683+00:00,39.35,124.0,40.67,128.0
PLTR,2025-06-20,C,100.0,,,2025-06-13 19:55:52.626170+00:00,37.19,10.0,2025-06-13 19:59:59.891954+00:00,36.5,83.0,37.19,6.0
PLTR,2025-06-20,C,105.0,,,2025-06-13 19:59:45.603370+00:00,32.45,7.0,2025-06-13 19:59:59.334601+00:00,31.739,114.0,33.35,11.0
PLTR,2025-06-20,C,110.0,,,2025-06-13 19:58:08.504400+00:00,27.36,2.0,2025-06-13 19:59:59.336267+00:00,26.62,62.0,27.52,13.0
PLTR,2025-06-20,C,111.0,0.7031,delta=0.9961 gamma=0.001 rho=0.0151 theta=-0.0262 vega=0.0019,2025-06-13 19:31:42.047854+00:00,27.08,1.0,2025-06-13 19:59:58.610116+00:00,25.97,95.0,27.389,89.0
PLTR,2025-06-20,C,112.0,,,2025-06-13 17:18:00.479764+00:00,27.11,1.0,2025-06-13 19:59:58.122755+00:00,24.74,55.0,25.71,48.0
PLTR,2025-06-20,C,113.0,0.6467,delta=0.9959 gamma=0.0012 rho=0.0154 theta=-0.0257 vega=0.0019,2025-06-13 18:43:15.069460+00:00,24.78,1.0,2025-06-13 19:59:59.335255+00:00,23.81,111.0,25.55,36.0
PLTR,2025-06-20,C,114.0,,,2025-06-13 19:39:29.178743+00:00,23.89,1.0,2025-06-13 19:59:59.150318+00:00,23.04,105.0,23.75,12.0
PLTR,2025-06-20,C,115.0,,,2025-06-13 19:57:06.847191+00:00,22.47,7.0,2025-06-13 19:59:59.618357+00:00,22.28,33.0,22.47,17.0
PLTR,2025-06-20,C,116.0,,,2025-06-13 19:59:08.084005+00:00,21.84,1.0,2025-06-13 19:59:59.505313+00:00,21.02,71.0,22.14,32.0
PLTR,2025-06-20,C,117.0,,,2025-06-13 19:33:00.112404+00:00,20.96,1.0,2025-06-13 19:59:59.346200+00:00,20.3,167.0,20.8,13.0
PLTR,2025-06-20,C,118.0,,,2025-06-13 19:46:30.332466+00:00,19.63,5.0,2025-06-13 19:59:59.446077+00:00,18.9,113.0,19.63,9.0
PLTR,2025-06-20,C,119.0,,,2025-06-13 19:55:22.772356+00:00,18.74,1.0,2025-06-13 19:59:59.136200+00:00,17.97,108.0,18.81,4.0
PLTR,2025-06-20,C,120.0,0.487,delta=0.9927 gamma=0.0026 rho=0.0163 theta=-0.03 vega=0.0033,2025-06-13 19:58:36.569905+00:00,17.75,1.0,2025-06-13 19:59:59.934235+00:00,17.31,6.0,18.07,11.0
PLTR,2025-06-20,C,121.0,0.6342,delta=0.9622 gamma=0.0081 rho=0.0158 theta=-0.0976 vega=0.0132,2025-06-13 19:58:59.289978+00:00,16.9,1.0,2025-06-13 19:59:59.785104+00:00,16.48,10.0,17.18,8.0
PLTR,2025-06-20,C,122.0,,,2025-06-13 19:59:17.374304+00:00,15.75,5.0,2025-06-13 19:59:59.700950+00:00,15.169,111.0,16.06,17.0
PLTR,2025-06-20,C,123.0,0.4814,delta=0.9788 gamma=0.0066 rho=0.0164 theta=-0.0536 vega=0.0082,2025-06-13 19:46:30.332466+00:00,14.83,5.0,2025-06-13 19:59:59.028008+00:00,14.4,10.0,15.069,8.0
PLTR,2025-06-20,C,124.0,,,2025-06-13 19:54:43.963379+00:00,13.99,1.0,2025-06-13 19:59:59.618608+00:00,13.16,143.0,14.04,12.0
PLTR,2025-06-20,C,125.0,0.5893,delta=0.9244 gamma=0.015 rho=0.0156 theta=-0.1486 vega=0.0229,2025-06-13 19:59:03.067125+00:00,13.04,3.0,2025-06-13 19:59:59.419103+00:00,12.969,18.0,13.04,17.0
PLTR,2025-06-20,C,126.0,0.6429,delta=0.888 gamma=0.0184 rho=0.0151 theta=-0.2102 vega=0.0307,2025-06-13 19:57:41.273913+00:00,12.26,10.0,2025-06-13 19:59:59.015973+00:00,11.96,24.0,12.55,20.0
PLTR,2025-06-20,C,127.0,0.6212,delta=0.8743 gamma=0.0207 rho=0.0149 theta=-0.2196 vega=0.0333,2025-06-13 19:59:54.166277+00:00,11.28,1.0,2025-06-13 19:59:59.002010+00:00,11.21,37.0,11.43,16.0
