underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
PYPL,2025-06-20,C,27.5,,,2025-05-14 17:13:22.915571+00:00,45.02,8.0,2025-06-13 19:59:59.045643+00:00,40.93,171.0,44.4,105.0
PYPL,2025-06-20,C,30.0,,,2025-06-04 15:25:43.368948+00:00,42.92,1.0,2025-06-13 19:59:52.333737+00:00,39.01,100.0,42.31,100.0
PYPL,2025-06-20,C,32.5,,,2025-05-22 17:47:17.718370+00:00,39.48,4.0,2025-06-13 19:59:52.333741+00:00,35.71,100.0,40.79,105.0
PYPL,2025-06-20,C,35.0,,,2025-04-01 16:02:10.946784+00:00,32.07,2.0,2025-06-13 19:59:52.333772+00:00,34.41,100.0,38.1,100.0
PYPL,2025-06-20,C,37.5,,,2025-05-30 19:40:50.489646+00:00,32.87,1.0,2025-06-13 19:59:53.653735+00:00,31.97,664.0,35.67,463.0
PYPL,2025-06-20,C,40.0,,,2025-06-13 14:39:03.979328+00:00,31.0,10.0,2025-06-13 19:59:59.018870+00:00,28.939,473.0,31.62,457.0
PYPL,2025-06-20,C,42.5,,,2025-04-16 19:50:00.092876+00:00,18.5,1.0,2025-06-13 19:59:59.046772+00:00,26.81,706.0,29.26,477.0
PYPL,2025-06-20,C,45.0,,,2025-05-20 18:46:00.032681+00:00,27.83,3.0,2025-06-13 19:59:58.040685+00:00,24.5,447.0,27.389,376.0
PYPL,2025-06-20,C,47.5,,,2025-06-11 18:16:47.369507+00:00,26.25,1.0,2025-06-13 19:59:57.069833+00:00,21.52,629.0,24.41,409.0
PYPL,2025-06-20,C,50.0,,,2025-06-13 16:32:22.797161+00:00,21.84,1.0,2025-06-13 19:59:57.069772+00:00,19.34,547.0,21.3,304.0
PYPL,2025-06-20,C,52.5,,,2025-06-10 17:58:11.498355+00:00,22.05,1.0,2025-06-13 19:59:59.632060+00:00,18.12,31.0,18.36,8.0
PYPL,2025-06-20,C,55.0,,,2025-06-12 14:37:13.814886+00:00,20.33,23.0,2025-06-13 19:59:59.020400+00:00,15.94,23.0,16.219,104.0
PYPL,2025-06-20,C,57.5,,,2025-06-12 14:07:26.645726+00:00,17.59,1.0,2025-06-13 19:59:58.882540+00:00,13.15,22.0,13.34,5.0
PYPL,2025-06-20,C,60.0,,,2025-06-13 19:02:38.846161+00:00,10.95,1.0,2025-06-13 19:59:59.334110+00:00,10.34,534.0,10.78,11.0
PYPL,2025-06-20,C,61.0,,,2025-05-23 13:37:00.714370+00:00,9.63,176.0,2025-06-13 19:59:59.589027+00:00,9.73,420.0,10.02,18.0
PYPL,2025-06-20,C,62.0,,,2025-06-11 14:15:01.370693+00:00,13.18,1.0,2025-06-13 19:59:59.589078+00:00,8.19,450.0,9.21,14.0
PYPL,2025-06-20,C,62.5,0.7233,delta=0.9375 gamma=0.0205 rho=0.0079 theta=-0.0806 vega=0.0102,2025-06-13 16:30:32.822843+00:00,9.16,1.0,2025-06-13 19:59:59.048440+00:00,8.22,24.0,8.93,339.0
PYPL,2025-06-20,C,63.0,0.6353,delta=0.9483 gamma=0.0201 rho=0.0081 theta=-0.0628 vega=0.0088,2025-06-13 19:03:05.804179+00:00,8.07,2.0,2025-06-13 19:59:52.371040+00:00,7.88,13.0,8.17,15.0
PYPL,2025-06-20,C,64.0,0.5811,delta=0.9384 gamma=0.0252 rho=0.0081 theta=-0.0656 vega=0.0101,2025-06-13 17:06:40.411297+00:00,7.75,1.0,2025-06-13 19:59:59.044356+00:00,6.859,11.0,7.22,12.0
PYPL,2025-06-20,C,65.0,0.5531,delta=0.9157 gamma=0.0337 rho=0.0081 theta=-0.0779 vega=0.0128,2025-06-13 18:47:45.372404+00:00,6.22,4.0,2025-06-13 19:59:59.048009+00:00,5.86,16.0,6.32,30.0
PYPL,2025-06-20,C,66.0,0.4318,delta=0.9259 gamma=0.0392 rho=0.0083 theta=-0.0574 vega=0.0116,2025-06-13 19:45:48.402352+00:00,4.99,1.0,2025-06-13 19:59:54.917229+00:00,4.92,11.0,5.14,12.0
PYPL,2025-06-20,C,67.0,0.4718,delta=0.8543 gamma=0.0584 rho=0.0077 theta=-0.0961 vega=0.019,2025-06-13 19:22:06.957722+00:00,4.3,1.0,2025-06-13 19:59:59.661736+00:00,4.13,29.0,4.29,15.0
PYPL,2025-06-20,C,67.5,0.4491,delta=0.8326 gamma=0.0673 rho=0.0076 theta=-0.0999 vega=0.0208,2025-06-13 19:56:06.237171+00:00,3.7,3.0,2025-06-13 19:59:59.006375+00:00,3.54,26.0,3.96,142.0
PYPL,2025-06-20,C,68.0,0.449,delta=0.7951 gamma=0.0763 rho=0.0073 theta=-0.112 vega=0.0236,2025-06-13 19:56:35.143925+00:00,3.4,1.0,2025-06-13 19:59:59.069064+00:00,3.18,64.0,3.52,12.0
PYPL,2025-06-20,C,69.0,0.3991,delta=0.7285 gamma=0.1001 rho=0.0067 theta=-0.1156 vega=0.0275,2025-06-13 19:34:38.344836+00:00,2.46,1.0,2025-06-13 19:59:59.628417+00:00,2.36,79.0,2.59,38.0
PYPL,2025-06-20,C,70.0,0.3791,delta=0.6232 gamma=0.1208 rho=0.0058 theta=-0.1244 vega=0.0315,2025-06-13 19:59:50.037176+00:00,1.79,1.0,2025-06-13 19:59:59.046506+00:00,1.689,61.0,1.82,25.0
PYPL,2025-06-20,C,71.0,0.3741,delta=0.4974 gamma=0.1286 rho=0.0047 theta=-0.1278 vega=0.0331,2025-06-13 19:59:01.680432+00:00,1.17,1.0,2025-06-13 19:59:58.938097+00:00,1.14,57.0,1.25,22.0
PYPL,2025-06-20,C,72.0,0.3587,delta=0.3663 gamma=0.1265 rho=0.0035 theta=-0.1149 vega=0.0312,2025-06-13 19:59:50.036233+00:00,0.75,4.0,2025-06-13 19:59:59.020325+00:00,0.7,11.0,0.76,17.0
PYPL,2025-06-20,C,72.5,0.369,delta=0.3116 gamma=0.1155 rho=0.0029 theta=-0.1108 vega=0.0293,2025-06-13 19:57:42.595326+00:00,0.57,1.0,2025-06-13 19:59:59.175708+00:00,0.57,14.0,0.63,13.0
PYPL,2025-06-20,C,73.0,0.3708,delta=0.2588 gamma=0.1052 rho=0.0024 theta=-0.1016 vega=0.0268,2025-06-13 19:57:31.944246+00:00,0.45,1.0,2025-06-13 19:59:59.601151+00:00,0.45,25.0,0.49,14.0
PYPL,2025-06-20,C,74.0,0.3776,delta=0.173 gamma=0.0817 rho=0.0016 theta=-0.0816 vega=0.0212,2025-06-13 19:59:31.476354+00:00,0.26,1.0,2025-06-13 19:59:58.991750+00:00,0.26,87.0,0.31,32.0
PYPL,2025-06-20,C,75.0,0.3797,delta=0.1077 gamma=0.0588 rho=0.001 theta=-0.0592 vega=0.0154,2025-06-13 19:58:28.475405+00:00,0.16,1.0,2025-06-13 19:59:59.851238+00:00,0.12,120.0,0.2,98.0
PYPL,2025-06-20,C,76.0,0.3998,delta=0.0725 gamma=0.0416 rho=0.0007 theta=-0.0463 vega=0.0114,2025-06-13 19:56:43.316643+00:00,0.09,15.0,2025-06-13 19:59:59.103211+00:00,0.07,34.0,0.14,25.0
PYPL,2025-06-20,C,77.0,0.4467,delta=0.0606 gamma=0.0324 rho=0.0006 theta=-0.045 vega=0.01,2025-06-13 19:58:14.906400+00:00,0.08,5.0,2025-06-13 19:59:59.121870+00:00,0.08,13.0,0.11,9.0
PYPL,2025-06-20,C,77.5,0.4685,delta=0.0556 gamma=0.0289 rho=0.0005 theta=-0.0441 vega=0.0093,2025-06-13 19:32:02.558119+00:00,0.07,3.0,2025-06-13 19:59:59.670562+00:00,0.08,2.0,0.1,10.0
PYPL,2025-06-20,C,78.0,0.4263,delta=0.0298 gamma=0.0191 rho=0.0003 theta=-0.0241 vega=0.0056,2025-06-13 19:50:47.261895+00:00,0.05,1.0,2025-06-13 19:59:59.001598+00:00,0.03,1.0,0.05,12.0
PYPL,2025-06-20,C,79.0,0.5141,delta=0.0388 gamma=0.0197 rho=0.0004 theta=-0.0361 vega=0.007,2025-06-13 18:06:44.389680+00:00,0.06,1.0,2025-06-13 19:59:59.670558+00:00,0.05,7.0,0.08,9.0
PYPL,2025-06-20,C,80.0,0.5075,delta=0.0227 gamma=0.0128 rho=0.0002 theta=-0.0229 vega=0.0045,2025-06-13 19:53:29.614961+00:00,0.03,2.0,2025-06-13 19:59:59.674085+00:00,0.01,1.0,0.06,5.0
PYPL,2025-06-20,C,81.0,0.5729,delta=0.0256 gamma=0.0125 rho=0.0002 theta=-0.0285 vega=0.0049,2025-06-13 17:25:11.112821+00:00,0.04,3.0,2025-06-13 19:59:59.023320+00:00,0.03,14.0,0.06,14.0
PYPL,2025-06-20,C,82.0,0.6165,delta=0.024 gamma=0.011 rho=0.0002 theta=-0.0291 vega=0.0047,2025-06-13 16:44:27.902378+00:00,0.02,6.0,2025-06-13 19:59:59.031831+00:00,0.03,11.0,0.06,12.0
PYPL,2025-06-20,C,82.5,0.6379,delta=0.0233 gamma=0.0104 rho=0.0002 theta=-0.0293 vega=0.0046,2025-06-13 19:30:06.173774+00:00,0.02,5.0,2025-06-13 19:59:58.473977+00:00,0.04,10.0,0.05,13.0
PYPL,2025-06-20,C,83.0,,,2025-06-13 16:43:50.930744+00:00,0.01,2.0,2025-06-13 19:59:58.474052+00:00,0.0,0.0,0.05,18.0
PYPL,2025-06-20,C,84.0,,,2025-06-13 18:45:08.149925+00:00,0.03,1.0,2025-06-13 19:59:59.105877+00:00,0.0,0.0,0.27,165.0
PYPL,2025-06-20,C,85.0,0.7151,delta=0.0169 gamma=0.0071 rho=0.0002 theta=-0.025 vega=0.0035,2025-06-13 17:27:14.153328+00:00,0.01,1.0,2025-06-13 18:29:16.288503+00:00,0.01,1.0,0.06,29.0
PYPL,2025-06-20,C,86.0,,,,,,2025-06-13 19:59:59.631134+00:00,0.0,0.0,0.66,206.0
PYPL,2025-06-20,C,87.5,,,2025-06-13 18:45:31.602338+00:00,0.03,2.0,2025-06-13 19:59:58.507186+00:00,0.0,0.0,0.14,355.0
PYPL,2025-06-20,C,90.0,,,2025-06-13 16:48:00.649849+00:00,0.01,7.0,2025-06-13 16:53:59.613900+00:00,0.0,0.0,0.01,7.0
PYPL,2025-06-20,C,92.5,,,2025-06-13 14:44:55.173473+00:00,0.01,6.0,2025-06-13 19:32:37.298803+00:00,0.0,0.0,0.01,10.0
PYPL,2025-06-20,C,95.0,,,2025-06-13 19:46:11.073128+00:00,0.01,5.0,2025-06-13 16:49:01.700120+00:00,0.0,0.0,0.01,11.0
PYPL,2025-06-20,C,97.5,,,2025-06-10 13:30:09.535365+00:00,0.01,1.0,2025-06-13 17:38:57.840817+00:00,0.0,0.0,0.03,10.0
PYPL,2025-06-20,C,100.0,,,2025-06-13 14:37:23.574113+00:00,0.01,3.0,2025-06-13 16:16:08.410636+00:00,0.0,0.0,0.01,56.0
PYPL,2025-06-20,C,105.0,,,2025-06-10 18:29:21.818576+00:00,0.01,1.0,2025-06-13 14:05:48.366143+00:00,0.0,0.0,0.03,25.0
PYPL,2025-06-20,C,110.0,,,2025-06-09 19:39:53.241670+00:00,0.01,2.0,2025-06-13 13:32:05.995515+00:00,0.0,0.0,0.03,4.0
PYPL,2025-06-20,C,115.0,,,2025-06-09 18:41:05.580587+00:00,0.01,2.0,2025-06-13 13:47:41.238634+00:00,0.0,0.0,0.03,50.0
PYPL,2025-06-20,C,120.0,,,2025-06-04 18:58:16.844905+00:00,0.01,5.0,2025-06-13 13:30:28.603091+00:00,0.0,0.0,0.01,4.0
PYPL,2025-06-20,C,125.0,,,2025-06-06 14:34:08.862271+00:00,0.03,1.0,2025-06-13 13:30:15.782094+00:00,0.0,0.0,0.03,4.0
PYPL,2025-06-20,C,130.0,,,2025-06-06 14:34:47.494705+00:00,0.06,1.0,2025-06-13 13:32:03.705249+00:00,0.0,0.0,0.01,4.0
PYPL,2025-06-20,C,135.0,,,2025-06-10 16:48:48.168651+00:00,0.01,8.0,2025-06-13 13:30:00.516896+00:00,0.0,0.0,0.01,10.0
PYPL,2025-06-20,P,27.5,,,2025-04-01 17:57:53.864843+00:00,0.04,4.0,2025-06-13 14:38:44.452711+00:00,0.0,0.0,0.01,1.0
PYPL,2025-06-20,P,30.0,,,2025-06-09 14:02:56.161198+00:00,0.01,1.0,2025-06-13 13:39:04.441887+00:00,0.0,0.0,0.03,2.0
PYPL,2025-06-20,P,32.5,,,2025-05-21 19:47:39.617954+00:00,0.01,1.0,2025-06-13 19:59:58.043809+00:00,0.0,0.0,0.61,557.0
PYPL,2025-06-20,P,35.0,,,2025-05-05 19:49:07.038040+00:00,0.02,1.0,2025-06-13 19:59:52.600246+00:00,0.0,0.0,0.33,538.0
PYPL,2025-06-20,P,37.5,,,2025-05-08 14:21:13.513394+00:00,0.01,1.0,2025-06-13 19:59:59.045415+00:00,0.0,0.0,0.03,914.0
PYPL,2025-06-20,P,40.0,,,2025-05-12 16:13:28.310814+00:00,0.02,2.0,2025-06-13 19:59:59.045415+00:00,0.0,0.0,0.16,1254.0
PYPL,2025-06-20,P,42.5,,,2025-06-12 18:42:27.665975+00:00,0.07,1.0,2025-06-13 19:59:59.005773+00:00,0.0,0.0,0.54,955.0
PYPL,2025-06-20,P,45.0,,,2025-06-13 14:54:17.810397+00:00,0.03,1.0,2025-06-13 13:31:33.928658+00:00,0.0,0.0,0.03,2.0
PYPL,2025-06-20,P,47.5,,,2025-06-11 13:40:51.865792+00:00,0.01,1.0,2025-06-13 19:59:59.636410+00:00,0.0,0.0,0.62,1376.0
PYPL,2025-06-20,P,50.0,,,2025-06-13 16:56:45.711351+00:00,0.01,2.0,2025-06-13 14:26:56.135398+00:00,0.0,0.0,0.03,19.0
PYPL,2025-06-20,P,52.5,,,2025-06-13 14:20:51.250312+00:00,0.03,1.0,2025-06-13 19:59:59.632035+00:00,0.0,0.0,0.62,1920.0
PYPL,2025-06-20,P,55.0,,,2025-06-13 17:37:23.021307+00:00,0.05,1.0,2025-06-13 19:59:59.632035+00:00,0.0,0.0,0.1,995.0
PYPL,2025-06-20,P,57.5,0.8494,delta=-0.0154 gamma=0.0055 rho=-0.0002 theta=-0.0272 vega=0.0032,2025-06-12 16:10:20.391729+00:00,0.02,5.0,2025-06-13 19:59:32.207412+00:00,0.03,11.0,0.05,10.0
PYPL,2025-06-20,P,60.0,0.7547,delta=-0.0264 gamma=0.0098 rho=-0.0003 theta=-0.0381 vega=0.0051,2025-06-13 19:56:47.714769+00:00,0.05,1.0,2025-06-13 19:59:59.022764+00:00,0.05,53.0,0.08,92.0
PYPL,2025-06-20,P,61.0,0.6719,delta=-0.0254 gamma=0.0106 rho=-0.0003 theta=-0.0328 vega=0.0049,2025-06-13 15:40:25.546377+00:00,0.07,20.0,2025-06-13 19:59:59.021040+00:00,0.02,31.0,0.09,109.0
PYPL,2025-06-20,P,62.0,0.6282,delta=-0.0312 gamma=0.0135 rho=-0.0003 theta=-0.0364 vega=0.0058,2025-06-13 19:40:31.406405+00:00,0.08,1.0,2025-06-13 19:59:59.017106+00:00,0.03,34.0,0.1,97.0
PYPL,2025-06-20,P,62.5,0.6409,delta=-0.0426 gamma=0.0171 rho=-0.0004 theta=-0.0479 vega=0.0075,2025-06-13 18:06:44.389686+00:00,0.06,1.0,2025-06-13 19:59:59.017106+00:00,0.08,28.0,0.11,91.0
PYPL,2025-06-20,P,63.0,0.6202,delta=-0.0479 gamma=0.0194 rho=-0.0005 theta=-0.0508 vega=0.0083,2025-06-13 19:53:23.323419+00:00,0.09,1.0,2025-06-13 19:59:59.035079+00:00,0.09,36.0,0.12,129.0
PYPL,2025-06-20,P,64.0,0.5585,delta=-0.0546 gamma=0.0239 rho=-0.0005 theta=-0.0508 vega=0.0092,2025-06-13 19:54:27.927363+00:00,0.11,1.0,2025-06-13 19:59:59.022764+00:00,0.08,36.0,0.14,18.0
PYPL,2025-06-20,P,65.0,0.5398,delta=-0.0794 gamma=0.033 rho=-0.0008 theta=-0.0655 vega=0.0123,2025-06-13 19:59:46.327254+00:00,0.16,1.0,2025-06-13 19:59:59.487967+00:00,0.16,19.0,0.17,36.0
PYPL,2025-06-20,P,66.0,0.4984,delta=-0.1039 gamma=0.0436 rho=-0.001 theta=-0.0737 vega=0.015,2025-06-13 19:35:34.813877+00:00,0.21,4.0,2025-06-13 19:59:59.384566+00:00,0.2,35.0,0.22,43.0
PYPL,2025-06-20,P,67.0,0.4443,delta=-0.1319 gamma=0.058 rho=-0.0013 theta=-0.0776 vega=0.0177,2025-06-13 19:59:21.678682+00:00,0.26,1.0,2025-06-13 19:59:59.995913+00:00,0.24,24.0,0.26,17.0
PYPL,2025-06-20,P,67.5,0.4344,delta=-0.1598 gamma=0.0675 rho=-0.0016 theta=-0.0862 vega=0.0202,2025-06-13 19:56:58.595450+00:00,0.32,1.0,2025-06-13 19:59:59.038381+00:00,0.29,52.0,0.33,102.0
PYPL,2025-06-20,P,68.0,0.4403,delta=-0.2006 gamma=0.0768 rho=-0.002 theta=-0.1007 vega=0.0233,2025-06-13 19:58:34.012350+00:00,0.41,1.0,2025-06-13 19:59:59.671113+00:00,0.409,20.0,0.43,5.0
PYPL,2025-06-20,P,69.0,0.4012,delta=-0.2724 gamma=0.0998 rho=-0.0027 theta=-0.1082 vega=0.0275,2025-06-13 19:58:32.321120+00:00,0.59,30.0,2025-06-13 19:59:59.633213+00:00,0.55,44.0,0.59,3.0
PYPL,2025-06-20,P,70.0,0.3939,delta=-0.3807 gamma=0.1166 rho=-0.0038 theta=-0.1212 vega=0.0316,2025-06-13 19:59:50.036276+00:00,0.9,1.0,2025-06-13 19:59:59.001879+00:00,0.85,7.0,0.93,11.0
