underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
RKLB,2025-06-20,C,1.0,,,2025-06-02 13:42:12.807843+00:00,24.18,1.0,2025-06-13 19:59:19.922056+00:00,23.28,186.0,26.13,181.0
RKLB,2025-06-20,C,2.0,,,2024-12-05 14:36:50.371122+00:00,21.4,1.0,2025-06-13 19:59:59.933325+00:00,22.41,204.0,25.1,197.0
RKLB,2025-06-20,C,3.0,,,2025-02-20 17:39:54.226150+00:00,22.0,1.0,2025-06-13 19:59:59.932524+00:00,21.57,204.0,23.5,195.0
RKLB,2025-06-20,C,4.0,,,2025-05-22 19:12:42.725393+00:00,22.4,2.0,2025-06-13 19:59:59.932630+00:00,20.04,205.0,23.12,196.0
RKLB,2025-06-20,C,5.0,,,2025-05-22 13:36:35.899539+00:00,19.57,1.0,2025-06-13 19:59:59.936628+00:00,18.78,209.0,21.38,198.0
RKLB,2025-06-20,C,6.0,,,2025-06-02 14:16:21.420273+00:00,20.5,1.0,2025-06-13 19:59:59.936182+00:00,18.01,355.0,20.34,211.0
RKLB,2025-06-20,C,7.0,,,2025-06-10 16:11:29.102626+00:00,21.06,10.0,2025-06-13 19:59:59.945174+00:00,16.1,508.0,19.74,462.0
RKLB,2025-06-20,C,8.0,,,2025-06-13 13:30:10.166957+00:00,18.0,1.0,2025-06-13 19:59:59.237050+00:00,16.28,1003.0,18.46,704.0
RKLB,2025-06-20,C,9.0,,,2025-06-10 18:00:18.423655+00:00,18.25,2.0,2025-06-13 19:59:59.237050+00:00,15.03,701.0,17.45,692.0
RKLB,2025-06-20,C,10.0,,,2025-06-13 14:13:50.552571+00:00,16.0,1.0,2025-06-13 19:59:59.945174+00:00,15.18,676.0,17.06,661.0
RKLB,2025-06-20,C,11.0,,,2025-06-13 19:50:42.782371+00:00,14.46,6.0,2025-06-13 19:59:59.237025+00:00,13.469,878.0,15.669,838.0
RKLB,2025-06-20,C,12.0,,,2025-06-10 15:25:38.573749+00:00,15.85,1.0,2025-06-13 19:59:59.046100+00:00,12.2,923.0,14.4,866.0
RKLB,2025-06-20,C,13.0,,,2025-06-13 16:45:31.588893+00:00,13.15,5.0,2025-06-13 19:59:59.936182+00:00,11.5,836.0,13.23,657.0
RKLB,2025-06-20,C,14.0,,,2025-06-13 15:21:56.450050+00:00,12.33,1.0,2025-06-13 19:59:59.237025+00:00,10.25,987.0,12.69,931.0
RKLB,2025-06-20,C,15.0,,,2025-06-13 18:38:00.324208+00:00,10.57,5.0,2025-06-13 19:59:56.629883+00:00,10.27,15.0,10.66,27.0
RKLB,2025-06-20,C,16.0,,,2025-06-13 18:38:00.324237+00:00,9.5,10.0,2025-06-13 19:59:59.236233+00:00,9.43,13.0,10.55,673.0
RKLB,2025-06-20,C,17.0,,,2025-06-13 19:56:50.018455+00:00,8.43,3.0,2025-06-13 19:59:59.626459+00:00,8.31,10.0,9.18,679.0
RKLB,2025-06-20,C,18.0,,,2025-06-13 19:33:06.815406+00:00,7.3,1.0,2025-06-13 19:59:55.500987+00:00,7.35,17.0,7.55,17.0
RKLB,2025-06-20,C,19.0,,,2025-06-13 19:18:49.953428+00:00,6.4,8.0,2025-06-13 19:59:55.153251+00:00,6.38,37.0,6.55,3.0
RKLB,2025-06-20,C,20.0,,,2025-06-13 19:08:54.406637+00:00,5.49,2.0,2025-06-13 19:59:59.755251+00:00,5.49,16.0,5.53,7.0
RKLB,2025-06-20,C,20.5,,,2025-06-05 16:34:21.935430+00:00,5.96,1.0,2025-06-13 19:59:57.335936+00:00,3.37,162.0,5.28,79.0
RKLB,2025-06-20,C,21.0,,,2025-06-13 16:19:48.160865+00:00,5.39,1.0,2025-06-13 19:59:58.579812+00:00,4.36,10.0,5.27,779.0
RKLB,2025-06-20,C,21.5,0.9516,delta=0.9464 gamma=0.0383 rho=0.0027 theta=-0.0334 vega=0.0033,2025-05-28 13:33:29.756802+00:00,8.15,1.0,2025-06-13 19:59:58.258882+00:00,2.74,154.0,5.52,149.0
RKLB,2025-06-20,C,22.0,0.9375,delta=0.9227 gamma=0.0517 rho=0.0027 theta=-0.043 vega=0.0043,2025-06-13 18:27:44.252382+00:00,3.65,1.0,2025-06-13 19:59:59.945530+00:00,2.8,1019.0,4.53,715.0
RKLB,2025-06-20,C,22.5,1.6809,delta=0.7726 gamma=0.06 rho=0.0022 theta=-0.1535 vega=0.009,2025-06-13 19:51:50.479812+00:00,3.04,2.0,2025-06-13 19:59:58.447096+00:00,3.04,7.0,4.55,394.0
RKLB,2025-06-20,C,23.0,0.824,delta=0.8738 gamma=0.0841 rho=0.0027 theta=-0.0534 vega=0.0062,2025-06-13 19:49:41.524733+00:00,2.63,1.0,2025-06-13 19:59:59.237155+00:00,2.56,24.0,2.89,359.0
RKLB,2025-06-20,C,23.5,0.7259,delta=0.8494 gamma=0.1077 rho=0.0027 theta=-0.053 vega=0.007,2025-06-13 19:47:58.795038+00:00,2.33,1.0,2025-06-13 19:59:59.016446+00:00,2.15,16.0,2.33,145.0
RKLB,2025-06-20,C,24.0,0.8059,delta=0.7633 gamma=0.128 rho=0.0024 theta=-0.0764 vega=0.0092,2025-06-13 19:45:28.737727+00:00,1.75,1.0,2025-06-13 19:59:59.081845+00:00,1.68,6.0,2.15,508.0
RKLB,2025-06-20,C,24.5,0.7269,delta=0.7063 gamma=0.1584 rho=0.0023 theta=-0.0768 vega=0.0103,2025-06-13 19:29:56.558434+00:00,1.47,1.0,2025-06-13 19:59:59.219899+00:00,1.39,154.0,1.58,91.0
RKLB,2025-06-20,C,25.0,0.7365,delta=0.6188 gamma=0.1731 rho=0.002 theta=-0.0857 vega=0.0114,2025-06-13 19:55:30.350163+00:00,1.18,1.0,2025-06-13 19:59:59.229081+00:00,1.16,19.0,1.2,12.0
RKLB,2025-06-20,C,25.5,0.7196,delta=0.5288 gamma=0.1849 rho=0.0017 theta=-0.0871 vega=0.0119,2025-06-13 19:56:45.673097+00:00,0.91,84.0,2025-06-13 19:59:59.986637+00:00,0.84,7.0,0.94,4.0
RKLB,2025-06-20,C,26.0,0.7404,delta=0.4399 gamma=0.1781 rho=0.0014 theta=-0.0886 vega=0.0118,2025-06-13 19:59:35.005266+00:00,0.68,5.0,2025-06-13 19:59:54.984123+00:00,0.65,13.0,0.73,5.0
