underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
SHOP,2025-06-20,C,25.0,,,2025-05-08 14:37:51.644146+00:00,67.79,1.0,2025-06-13 19:59:55.807252+00:00,77.86,1.0,80.29,147.0
SHOP,2025-06-20,C,30.0,,,2025-06-13 15:19:04.853308+00:00,77.3,1.0,2025-06-13 19:59:49.024140+00:00,72.82,472.0,76.54,229.0
SHOP,2025-06-20,C,35.0,,,2025-06-11 18:11:37.574066+00:00,80.72,1.0,2025-06-13 19:59:58.924716+00:00,68.66,76.0,71.56,69.0
SHOP,2025-06-20,C,40.0,,,2025-06-12 13:51:28.911036+00:00,70.6,3.0,2025-06-13 19:59:58.318584+00:00,64.47,266.0,66.49,176.0
SHOP,2025-06-20,C,45.0,,,2025-06-11 17:21:22.747838+00:00,71.31,1.0,2025-06-13 19:59:59.045478+00:00,58.71,72.0,60.5,52.0
SHOP,2025-06-20,C,50.0,,,2025-06-11 13:39:18.772567+00:00,64.27,1.0,2025-06-13 19:59:59.060639+00:00,54.24,67.0,55.41,52.0
SHOP,2025-06-20,C,55.0,,,2025-06-11 18:13:08.113687+00:00,60.129,1.0,2025-06-13 19:59:58.119630+00:00,48.32,345.0,51.55,168.0
SHOP,2025-06-20,C,60.0,,,2025-06-13 16:24:10.629407+00:00,46.7,5.0,2025-06-13 19:59:59.094946+00:00,43.78,162.0,45.46,5.0
SHOP,2025-06-20,C,65.0,,,2025-06-11 15:32:15.296733+00:00,49.7,1.0,2025-06-13 19:59:58.262125+00:00,39.37,268.0,40.92,200.0
SHOP,2025-06-20,C,70.0,,,2025-06-13 15:36:24.941485+00:00,36.98,1.0,2025-06-13 19:59:59.651088+00:00,34.48,13.0,35.21,7.0
SHOP,2025-06-20,C,75.0,,,2025-06-13 14:31:17.409262+00:00,30.53,5.0,2025-06-13 19:59:59.653613+00:00,30.71,13.0,31.11,10.0
SHOP,2025-06-20,C,80.0,,,2025-06-13 18:47:15.100288+00:00,25.38,1.0,2025-06-13 19:59:59.027672+00:00,25.16,6.0,25.51,8.0
SHOP,2025-06-20,C,85.0,,,2025-06-13 16:07:51.380639+00:00,22.17,1.0,2025-06-13 19:59:57.207756+00:00,20.28,23.0,20.53,21.0
SHOP,2025-06-20,C,90.0,,,2025-06-13 17:37:53.371973+00:00,16.96,1.0,2025-06-13 19:59:58.318850+00:00,14.75,305.0,16.21,242.0
SHOP,2025-06-20,C,95.0,0.5515,delta=0.9535 gamma=0.0143 rho=0.0123 theta=-0.0769 vega=0.012,2025-06-13 19:49:37.433391+00:00,10.9,1.0,2025-06-13 19:59:59.606191+00:00,10.56,45.0,11.02,19.0
SHOP,2025-06-20,C,96.0,0.5327,delta=0.9417 gamma=0.0177 rho=0.0123 theta=-0.0872 vega=0.0144,2025-06-13 19:46:50.264199+00:00,9.59,8.0,2025-06-13 19:59:55.681481+00:00,9.58,27.0,10.07,12.0
SHOP,2025-06-20,C,97.0,0.679,delta=0.8678 gamma=0.0255 rho=0.0113 theta=-0.1893 vega=0.0265,2025-06-11 18:31:11.125308+00:00,18.4,2.0,2025-06-13 19:59:59.102088+00:00,8.52,147.0,9.95,152.0
SHOP,2025-06-20,C,98.0,0.5443,delta=0.8875 gamma=0.0284 rho=0.0117 theta=-0.1386 vega=0.0236,2025-06-13 18:48:39.119413+00:00,8.18,1.0,2025-06-13 19:59:59.806037+00:00,7.84,15.0,8.23,15.0
