underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
SOFI,2025-06-20,C,1.0,,,2025-06-09 14:40:58.122831+00:00,13.16,1.0,2025-06-13 19:59:59.486997+00:00,11.21,426.0,15.28,431.0
SOFI,2025-06-20,C,2.0,,,2025-06-10 13:30:14.853596+00:00,11.4,1.0,2025-06-13 19:59:59.360771+00:00,10.74,945.0,12.73,854.0
SOFI,2025-06-20,C,3.0,,,2025-06-13 17:48:58.230777+00:00,11.16,1.0,2025-06-13 19:59:59.360771+00:00,10.03,1561.0,12.26,1384.0
SOFI,2025-06-20,C,4.0,,,2025-06-11 19:01:30.656513+00:00,10.95,1.0,2025-06-13 19:59:59.289516+00:00,9.17,2024.0,10.46,1444.0
SOFI,2025-06-20,C,5.0,,,2025-06-13 19:02:10.895093+00:00,9.1,1.0,2025-06-13 19:59:59.360771+00:00,8.77,1914.0,9.74,1707.0
SOFI,2025-06-20,C,6.0,,,2025-06-10 13:30:07.876200+00:00,8.27,1.0,2025-06-13 19:59:55.124929+00:00,7.9,30.0,8.18,360.0
SOFI,2025-06-20,C,7.0,,,2025-06-13 18:20:00.020393+00:00,7.14,20.0,2025-06-13 19:59:59.289877+00:00,7.14,170.0,7.18,406.0
SOFI,2025-06-20,C,8.0,,,2025-06-13 19:05:48.662137+00:00,6.15,10.0,2025-06-13 19:59:59.314746+00:00,6.12,339.0,6.22,340.0
SOFI,2025-06-20,C,8.5,,,2025-06-09 15:44:04.700609+00:00,5.6,3.0,2025-06-13 19:59:57.642744+00:00,4.83,327.0,5.72,20.0
SOFI,2025-06-20,C,9.0,,,2025-06-13 15:05:44.476182+00:00,5.3,1.0,2025-06-13 19:59:59.288589+00:00,5.03,390.0,5.06,811.0
SOFI,2025-06-20,C,9.5,,,2025-06-13 19:15:00.294344+00:00,4.56,1.0,2025-06-13 19:59:59.314932+00:00,4.6,14.0,4.67,21.0
SOFI,2025-06-20,C,10.0,,,2025-06-13 19:49:39.113376+00:00,4.09,1.0,2025-06-13 19:59:59.288794+00:00,4.09,775.0,4.21,772.0
SOFI,2025-06-20,C,10.5,,,2025-06-13 18:40:09.869573+00:00,3.529,1.0,2025-06-13 19:59:56.717185+00:00,3.61,17.0,3.629,31.0
