underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
TSLA,2025-06-20,C,5.0,,,2025-06-13 19:56:35.402532+00:00,320.6,1.0,2025-06-13 19:59:59.861505+00:00,315.98,1.0,326.19,35.0
TSLA,2025-06-20,C,10.0,,,2025-06-13 13:41:20.884463+00:00,309.55,50.0,2025-06-13 19:59:37.946015+00:00,320.23,27.0,322.43,10.0
TSLA,2025-06-20,C,15.0,,,2025-06-12 13:30:06.255206+00:00,316.35,1.0,2025-06-13 19:59:10.238656+00:00,310.56,1.0,312.76,33.0
TSLA,2025-06-20,C,20.0,,,2025-06-11 17:36:09.715318+00:00,310.96,1.0,2025-06-13 19:59:34.388055+00:00,305.86,30.0,308.16,43.0
TSLA,2025-06-20,C,25.0,,,2025-06-09 14:14:49.639634+00:00,264.56,1.0,2025-06-13 19:59:10.236748+00:00,294.31,1.0,300.46,32.0
TSLA,2025-06-20,C,30.0,,,2025-06-09 19:58:07.592076+00:00,282.38,3.0,2025-06-13 19:59:10.235204+00:00,294.33,1.0,295.65,32.0
TSLA,2025-06-20,C,35.0,,,2025-06-11 19:10:27.372613+00:00,290.86,1.0,2025-06-13 19:59:10.236748+00:00,287.93,1.0,293.69,32.0
TSLA,2025-06-20,C,40.0,,,2025-06-09 15:23:59.289533+00:00,254.88,1.0,2025-06-13 19:59:32.424827+00:00,286.69,44.0,288.89,1.0
TSLA,2025-06-20,C,45.0,,,2025-06-03 14:49:59.473515+00:00,310.72,2.0,2025-06-13 19:59:47.651445+00:00,281.05,1.0,286.82,32.0
TSLA,2025-06-20,C,50.0,,,2025-06-13 18:16:19.488312+00:00,278.09,1.0,2025-06-13 19:59:59.593976+00:00,269.45,1.0,272.77,10.0
TSLA,2025-06-20,C,55.0,,,2025-06-11 18:44:11.255107+00:00,270.95,1.0,2025-06-13 19:59:32.426436+00:00,273.03,42.0,275.18,1.0
TSLA,2025-06-20,C,60.0,,,2025-06-09 15:23:59.289533+00:00,235.59,1.0,2025-06-13 19:59:10.236597+00:00,259.56,1.0,266.32,31.0
TSLA,2025-06-20,C,65.0,,,2025-06-04 14:51:17.565473+00:00,266.66,1.0,2025-06-13 19:59:32.376903+00:00,263.11,43.0,265.26,1.0
TSLA,2025-06-20,C,70.0,,,2025-06-13 16:46:03.409551+00:00,255.79,1.0,2025-06-13 19:59:32.424832+00:00,251.619,43.0,260.03,1.0
TSLA,2025-06-20,C,75.0,,,2025-05-30 19:00:59.357150+00:00,276.25,1.0,2025-06-13 19:59:10.238656+00:00,253.29,1.0,255.49,33.0
TSLA,2025-06-20,C,80.0,,,2025-06-11 14:37:16.404212+00:00,253.81,1.0,2025-06-13 19:59:34.400544+00:00,248.96,30.0,251.26,43.0
TSLA,2025-06-20,C,85.0,,,2025-06-12 19:45:17.719947+00:00,234.73,1.0,2025-06-13 19:59:10.236748+00:00,237.89,1.0,240.09,32.0
TSLA,2025-06-20,C,90.0,,,2025-06-13 18:48:05.272532+00:00,234.72,1.0,2025-06-13 19:59:58.980492+00:00,233.05,1.0,234.1,10.0
TSLA,2025-06-20,C,95.0,,,2025-06-13 18:48:05.272537+00:00,229.72,1.0,2025-06-13 19:59:59.937456+00:00,232.5,2.0,233.85,2.0
TSLA,2025-06-20,C,100.0,,,2025-06-12 19:44:12.180153+00:00,216.46,1.0,2025-06-13 19:59:34.401938+00:00,228.58,31.0,230.9,42.0
TSLA,2025-06-20,C,105.0,,,2025-06-12 19:43:31.420592+00:00,214.369,1.0,2025-06-13 19:59:32.426436+00:00,221.33,42.0,223.48,1.0
TSLA,2025-06-20,C,110.0,,,2025-06-09 17:01:33.649082+00:00,188.55,1.0,2025-06-13 19:59:10.235204+00:00,214.45,1.0,216.6,31.0
TSLA,2025-06-20,C,115.0,,,2025-06-06 13:34:30.879780+00:00,183.48,1.0,2025-06-13 19:59:32.426436+00:00,205.73,42.0,213.09,1.0
TSLA,2025-06-20,C,120.0,,,2025-06-13 17:35:25.538802+00:00,209.7,2.0,2025-06-13 19:59:59.753266+00:00,203.04,1.0,204.91,54.0
TSLA,2025-06-20,C,125.0,,,2025-06-12 18:46:03.807223+00:00,194.28,1.0,2025-06-13 19:59:32.426436+00:00,201.63,43.0,203.67,1.0
TSLA,2025-06-20,C,130.0,,,2025-06-12 18:21:20.712444+00:00,191.04,1.0,2025-06-13 19:59:59.923683+00:00,190.92,24.0,196.68,1.0
TSLA,2025-06-20,C,135.0,,,2025-06-12 14:47:48.410277+00:00,193.63,1.0,2025-06-13 19:59:58.810540+00:00,192.65,1.0,193.8,10.0
TSLA,2025-06-20,C,140.0,,,2025-06-13 13:30:05.808449+00:00,179.29,10.0,2025-06-13 19:59:33.380359+00:00,186.5,29.0,188.27,42.0
TSLA,2025-06-20,C,145.0,,,2025-06-11 13:46:13.942358+00:00,186.17,1.0,2025-06-13 19:59:32.376903+00:00,177.04,41.0,184.92,1.0
TSLA,2025-06-20,C,150.0,,,2025-06-13 19:38:34.852888+00:00,176.42,1.0,2025-06-13 19:59:59.593976+00:00,177.16,1.0,178.31,1.0
TSLA,2025-06-20,C,155.0,,,2025-06-13 16:41:30.048681+00:00,174.87,2.0,2025-06-13 19:59:59.728692+00:00,166.84,45.0,170.39,56.0
TSLA,2025-06-20,C,160.0,,,2025-06-13 19:47:31.828500+00:00,165.24,3.0,2025-06-13 19:59:59.248762+00:00,161.88,1.0,166.13,10.0
TSLA,2025-06-20,C,165.0,,,2025-06-13 16:33:43.893286+00:00,161.97,3.0,2025-06-13 19:59:59.728333+00:00,157.68,45.0,160.11,60.0
TSLA,2025-06-20,C,170.0,,,2025-06-13 16:13:40.857302+00:00,151.12,1.0,2025-06-13 19:59:59.675581+00:00,152.41,29.0,155.4,26.0
TSLA,2025-06-20,C,175.0,,,2025-06-13 14:09:46.542359+00:00,139.1,1.0,2025-06-13 19:59:59.989109+00:00,152.71,19.0,154.01,1.0
TSLA,2025-06-20,C,177.5,,,,,,2025-06-13 19:59:10.236748+00:00,144.9,1.0,148.33,34.0
TSLA,2025-06-20,C,180.0,,,2025-06-13 17:35:52.313173+00:00,151.33,10.0,2025-06-13 19:59:59.672348+00:00,145.0,1.0,146.15,6.0
TSLA,2025-06-20,C,182.5,,,,,,2025-06-13 19:59:32.426436+00:00,140.74,40.0,145.52,1.0
TSLA,2025-06-20,C,185.0,,,2025-06-11 16:47:53.592244+00:00,146.72,1.0,2025-06-13 19:59:59.358294+00:00,137.26,25.0,138.99,10.0
TSLA,2025-06-20,C,187.5,,,,,,2025-06-13 19:59:33.380053+00:00,137.04,28.0,141.35,42.0
TSLA,2025-06-20,C,190.0,,,2025-06-13 18:09:18.622416+00:00,140.68,1.0,2025-06-13 19:59:59.521708+00:00,133.39,1.0,136.02,1.0
TSLA,2025-06-20,C,192.5,,,,,,2025-06-13 19:59:10.238656+00:00,131.18,1.0,136.66,33.0
TSLA,2025-06-20,C,195.0,,,2025-06-11 18:43:34.679525+00:00,130.95,10.0,2025-06-13 19:59:59.369511+00:00,127.58,19.0,129.79,1.0
TSLA,2025-06-20,C,197.5,,,,,,2025-06-13 19:59:33.382032+00:00,127.75,27.0,127.94,42.0
TSLA,2025-06-20,C,200.0,,,2025-06-13 19:46:15.333170+00:00,125.98,1.0,2025-06-13 19:59:59.781529+00:00,125.98,1.0,128.04,1.0
TSLA,2025-06-20,C,202.5,,,2025-06-13 19:48:25.866952+00:00,123.659,2.0,2025-06-13 19:59:59.295092+00:00,123.659,40.0,124.67,1.0
TSLA,2025-06-20,C,205.0,,,2025-06-13 19:48:25.866952+00:00,121.43,2.0,2025-06-13 19:59:59.873759+00:00,121.43,1.0,122.98,10.0
TSLA,2025-06-20,C,207.5,,,,,,2025-06-13 19:59:32.377003+00:00,116.24,33.0,118.48,1.0
TSLA,2025-06-20,C,210.0,,,2025-06-13 17:46:11.400054+00:00,122.89,1.0,2025-06-13 19:59:59.369500+00:00,116.49,16.0,116.67,10.0
