underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
TSM,2025-06-20,C,45.0,,,2025-06-11 17:17:12.382194+00:00,171.87,10.0,2025-06-13 19:59:30.163046+00:00,165.19,65.0,167.89,55.0
TSM,2025-06-20,C,50.0,,,2025-06-11 17:04:34.287638+00:00,165.7,5.0,2025-06-13 19:59:52.344100+00:00,159.37,74.0,160.96,54.0
TSM,2025-06-20,C,55.0,,,2025-04-29 15:54:08.129657+00:00,111.27,4.0,2025-06-13 19:59:52.344085+00:00,153.56,70.0,159.02,54.0
TSM,2025-06-20,C,60.0,,,2025-06-11 19:50:21.816339+00:00,153.7,1380.0,2025-06-13 19:59:59.514669+00:00,148.7,100.0,150.99,94.0
TSM,2025-06-20,C,65.0,,,2025-06-11 17:05:40.906332+00:00,150.95,25.0,2025-06-13 19:59:58.309699+00:00,143.76,75.0,149.44,55.0
TSM,2025-06-20,C,70.0,,,2025-06-11 19:51:40.530844+00:00,146.42,300.0,2025-06-13 19:58:30.786855+00:00,141.92,69.0,145.56,62.0
TSM,2025-06-20,C,75.0,,,2025-06-11 19:51:40.530844+00:00,140.54,670.0,2025-06-13 19:58:32.792514+00:00,136.42,95.0,140.26,93.0
TSM,2025-06-20,C,80.0,,,2025-06-11 19:51:40.530844+00:00,135.42,250.0,2025-06-13 19:59:52.344085+00:00,129.309,55.0,135.85,54.0
TSM,2025-06-20,C,85.0,,,2025-06-11 19:51:40.530844+00:00,129.25,130.0,2025-06-13 19:58:30.786180+00:00,126.99,55.0,130.64,61.0
TSM,2025-06-20,C,90.0,,,2025-06-11 17:17:03.101928+00:00,124.859,175.0,2025-06-13 19:59:52.344100+00:00,118.07,55.0,123.82,54.0
TSM,2025-06-20,C,95.0,,,2025-06-11 19:51:40.530844+00:00,119.93,340.0,2025-06-13 19:59:55.637582+00:00,113.59,70.0,117.34,52.0
TSM,2025-06-20,C,100.0,,,2025-06-13 16:01:57.029808+00:00,112.73,1.0,2025-06-13 19:59:58.259058+00:00,108.05,149.0,113.459,185.0
TSM,2025-06-20,C,105.0,,,2025-06-11 19:50:21.816339+00:00,110.15,380.0,2025-06-13 19:59:52.344100+00:00,106.709,55.0,108.82,56.0
TSM,2025-06-20,C,110.0,,,2025-06-11 19:51:00.231042+00:00,105.25,500.0,2025-06-13 19:59:52.343809+00:00,99.66,59.0,104.58,58.0
TSM,2025-06-20,C,115.0,,,2025-06-13 14:33:14.020988+00:00,97.19,6.0,2025-06-13 19:59:58.309754+00:00,95.0,153.0,96.25,2.0
TSM,2025-06-20,C,120.0,,,2025-06-13 19:40:57.733162+00:00,91.75,10.0,2025-06-13 19:59:59.288024+00:00,91.42,117.0,94.18,152.0
TSM,2025-06-20,C,125.0,,,2025-06-13 18:04:37.071967+00:00,87.15,5.0,2025-06-13 19:59:59.084008+00:00,83.45,55.0,88.26,74.0
TSM,2025-06-20,C,130.0,,,2025-06-13 14:34:58.651000+00:00,81.07,1.0,2025-06-13 19:59:59.085878+00:00,78.79,92.0,83.1,55.0
TSM,2025-06-20,C,135.0,,,2025-06-11 19:50:53.409650+00:00,77.67,150.0,2025-06-13 19:59:56.664514+00:00,74.28,63.0,76.32,1.0
TSM,2025-06-20,C,140.0,,,2025-06-12 17:41:04.991965+00:00,75.27,4.0,2025-06-13 19:59:52.535135+00:00,71.86,7.0,72.36,7.0
TSM,2025-06-20,C,145.0,,,2025-06-13 14:35:17.540020+00:00,66.38,1.0,2025-06-13 19:59:59.085707+00:00,64.31,61.0,66.6,80.0
TSM,2025-06-20,C,150.0,,,2025-06-13 16:18:03.608412+00:00,63.16,2.0,2025-06-13 19:59:58.259083+00:00,60.229,112.0,60.5,18.0
