underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
TTD,2025-06-20,C,22.5,,,2025-05-07 19:37:06.229490+00:00,33.45,10.0,2025-06-13 19:59:57.189164+00:00,44.05,56.0,46.39,52.0
TTD,2025-06-20,C,25.0,,,,,,2025-06-13 19:59:57.191364+00:00,42.0,53.0,44.22,51.0
TTD,2025-06-20,C,27.5,,,2025-05-08 14:22:38.125302+00:00,31.35,8.0,2025-06-13 19:59:57.186948+00:00,38.7,51.0,41.75,51.0
TTD,2025-06-20,C,30.0,,,2025-05-14 18:35:39.625940+00:00,48.2,10.0,2025-06-13 19:59:57.189765+00:00,35.98,51.0,39.28,51.0
TTD,2025-06-20,C,32.5,,,2025-05-05 18:25:34.533381+00:00,24.66,1.0,2025-06-13 19:59:57.187304+00:00,33.63,53.0,37.39,52.0
TTD,2025-06-20,C,35.0,,,2025-05-12 14:06:27.210585+00:00,42.86,1.0,2025-06-13 19:59:57.188868+00:00,31.789,53.0,34.05,51.0
TTD,2025-06-20,C,37.5,,,2025-06-04 17:25:00.042327+00:00,38.9,1.0,2025-06-13 19:59:57.197373+00:00,28.889,137.0,33.04,86.0
TTD,2025-06-20,C,40.0,,,2025-06-05 19:06:32.482451+00:00,31.88,1.0,2025-06-13 19:59:59.044212+00:00,26.8,72.0,30.02,72.0
TTD,2025-06-20,C,42.5,,,2025-05-30 13:30:01.669955+00:00,32.1,1.0,2025-06-13 19:59:57.189324+00:00,25.17,35.0,26.27,52.0
TTD,2025-06-20,C,45.0,,,2025-06-02 13:30:10.779637+00:00,29.84,2.0,2025-06-13 19:59:59.044289+00:00,22.66,12.0,23.38,9.0
TTD,2025-06-20,C,47.5,,,2025-06-13 15:24:01.072294+00:00,22.44,1.0,2025-06-13 19:59:59.073879+00:00,20.58,18.0,21.34,297.0
TTD,2025-06-20,C,50.0,,,2025-06-13 14:42:05.225278+00:00,19.35,2.0,2025-06-13 19:59:59.634502+00:00,17.65,22.0,18.32,206.0
TTD,2025-06-20,C,52.5,,,2025-06-12 16:08:57.986361+00:00,19.33,1.0,2025-06-13 19:59:59.084129+00:00,15.03,313.0,16.75,326.0
TTD,2025-06-20,C,55.0,,,2025-06-13 16:56:13.248880+00:00,14.85,1.0,2025-06-13 19:59:59.540095+00:00,12.4,361.0,13.569,278.0
TTD,2025-06-20,C,57.5,1.0617,delta=0.9224 gamma=0.0172 rho=0.0071 theta=-0.129 vega=0.0116,2025-06-13 16:36:47.571843+00:00,12.33,1.0,2025-06-13 19:59:59.042620+00:00,10.19,16.0,11.58,315.0
TTD,2025-06-20,C,59.0,1.0064,delta=0.8987 gamma=0.0221 rho=0.0071 theta=-0.1481 vega=0.0141,2025-06-10 18:56:42.661613+00:00,13.53,2.0,2025-06-13 19:59:59.363409+00:00,8.23,119.0,10.73,113.0
TTD,2025-06-20,C,60.0,0.6835,delta=0.9473 gamma=0.0198 rho=0.0077 theta=-0.0652 vega=0.0086,2025-06-13 19:12:31.058523+00:00,8.31,1.0,2025-06-13 19:59:59.570755+00:00,8.14,16.0,8.26,37.0
TTD,2025-06-20,C,61.0,0.9106,delta=0.8607 gamma=0.0306 rho=0.007 theta=-0.1668 vega=0.0177,,,,2025-06-13 19:59:59.371914+00:00,6.87,12.0,8.36,78.0
TTD,2025-06-20,C,62.0,0.6887,delta=0.8851 gamma=0.0354 rho=0.0074 theta=-0.1127 vega=0.0154,2025-06-10 17:25:12.444013+00:00,10.1,6.0,2025-06-13 19:59:59.371764+00:00,5.83,31.0,6.959,99.0
TTD,2025-06-20,C,62.5,0.6462,delta=0.8787 gamma=0.0392 rho=0.0074 theta=-0.1101 vega=0.0161,2025-06-13 18:29:48.027792+00:00,5.99,1.0,2025-06-13 19:59:59.042636+00:00,5.16,320.0,6.63,346.0
TTD,2025-06-20,C,63.0,0.7444,delta=0.8248 gamma=0.0435 rho=0.0069 theta=-0.1589 vega=0.0205,,,,2025-06-13 19:59:59.806775+00:00,5.1,9.0,6.22,308.0
TTD,2025-06-20,C,64.0,0.5374,delta=0.8447 gamma=0.0557 rho=0.0073 theta=-0.1084 vega=0.019,2025-06-13 19:59:54.111751+00:00,4.4,2.0,2025-06-13 19:59:59.095517+00:00,4.28,59.0,4.59,20.0
TTD,2025-06-20,C,65.0,0.6734,delta=0.7346 gamma=0.0611 rho=0.0063 theta=-0.1812 vega=0.0261,2025-06-13 19:55:00.026743+00:00,3.57,1.0,2025-06-13 19:59:58.978747+00:00,3.57,33.0,4.39,375.0
TTD,2025-06-20,C,66.0,0.5043,delta=0.7106 gamma=0.0851 rho=0.0062 theta=-0.1427 vega=0.0272,2025-06-13 18:40:59.091381+00:00,3.09,1.0,2025-06-13 19:59:59.020904+00:00,2.7,113.0,2.96,110.0
TTD,2025-06-20,C,67.0,0.5168,delta=0.6159 gamma=0.0928 rho=0.0054 theta=-0.1619 vega=0.0304,2025-06-13 19:33:20.413277+00:00,2.15,1.0,2025-06-13 19:59:59.042715+00:00,2.11,24.0,2.34,30.0
TTD,2025-06-20,C,67.5,0.51,delta=0.5688 gamma=0.0968 rho=0.005 theta=-0.1639 vega=0.0313,2025-06-13 19:43:28.487167+00:00,1.88,1.0,2025-06-13 19:59:58.961622+00:00,1.85,48.0,1.989,22.0
TTD,2025-06-20,C,68.0,0.5086,delta=0.5198 gamma=0.0984 rho=0.0046 theta=-0.1654 vega=0.0317,2025-06-13 19:59:04.303607+00:00,1.65,14.0,2025-06-13 19:59:59.893266+00:00,1.59,38.0,1.72,83.0
TTD,2025-06-20,C,69.0,0.5269,delta=0.4259 gamma=0.0934 rho=0.0038 theta=-0.1678 vega=0.0312,2025-06-13 19:53:59.659987+00:00,1.14,2.0,2025-06-13 19:59:59.049857+00:00,1.11,87.0,1.42,43.0
TTD,2025-06-20,C,70.0,0.4949,delta=0.3259 gamma=0.0914 rho=0.0029 theta=-0.1445 vega=0.0287,2025-06-13 19:59:42.085212+00:00,0.8,3.0,2025-06-13 19:59:59.998527+00:00,0.8,89.0,0.83,11.0
TTD,2025-06-20,C,71.0,0.5144,delta=0.2522 gamma=0.0779 rho=0.0023 theta=-0.1327 vega=0.0254,2025-06-13 19:55:00.273712+00:00,0.55,3.0,2025-06-13 19:59:58.961607+00:00,0.54,123.0,0.66,57.0
TTD,2025-06-20,C,72.0,0.4999,delta=0.1768 gamma=0.0652 rho=0.0016 theta=-0.1047 vega=0.0207,2025-06-13 19:12:57.559420+00:00,0.42,1.0,2025-06-13 19:59:59.245363+00:00,0.35,571.0,0.39,20.0
TTD,2025-06-20,C,72.5,0.5075,delta=0.1517 gamma=0.0581 rho=0.0014 theta=-0.0961 vega=0.0187,2025-06-13 19:55:28.368065+00:00,0.29,1.0,2025-06-13 19:59:59.020904+00:00,0.29,516.0,0.33,2.0
TTD,2025-06-20,C,73.0,0.5269,delta=0.1355 gamma=0.0519 rho=0.0012 theta=-0.0924 vega=0.0173,2025-06-13 19:57:41.204234+00:00,0.25,1.0,2025-06-13 19:59:59.104036+00:00,0.25,236.0,0.31,19.0
TTD,2025-06-20,C,74.0,,,2025-06-13 19:55:29.199340+00:00,0.17,1.0,2025-06-13 19:59:50.150568+00:00,0.0,0.0,0.18,11.0
TTD,2025-06-20,C,75.0,0.5735,delta=0.0795 gamma=0.0324 rho=0.0007 theta=-0.0682 vega=0.0118,2025-06-13 19:58:25.792365+00:00,0.15,1.0,2025-06-13 19:59:59.051631+00:00,0.15,2.0,0.17,59.0
TTD,2025-06-20,C,76.0,0.5983,delta=0.0622 gamma=0.0257 rho=0.0006 theta=-0.0589 vega=0.0098,2025-06-13 19:42:46.478220+00:00,0.1,2.0,2025-06-13 19:59:56.165294+00:00,0.08,3.0,0.17,12.0
TTD,2025-06-20,C,77.0,0.5979,delta=0.0423 gamma=0.0189 rho=0.0004 theta=-0.0433 vega=0.0072,2025-06-13 19:56:38.844373+00:00,0.07,1.0,2025-06-13 19:59:43.467405+00:00,0.05,18.0,0.11,11.0
TTD,2025-06-20,C,77.5,0.7207,delta=0.0676 gamma=0.0228 rho=0.0006 theta=-0.0755 vega=0.0104,2025-06-13 19:27:56.357085+00:00,0.09,3.0,2025-06-13 19:59:57.398713+00:00,0.05,1.0,0.28,743.0
TTD,2025-06-20,C,78.0,0.7328,delta=0.0614 gamma=0.0208 rho=0.0006 theta=-0.0713 vega=0.0097,2025-06-13 17:57:37.192602+00:00,0.1,1.0,2025-06-13 19:59:59.998793+00:00,0.01,115.0,0.29,711.0
TTD,2025-06-20,C,79.0,0.7114,delta=0.0405 gamma=0.0154 rho=0.0004 theta=-0.0496 vega=0.0069,2025-06-13 19:48:29.019521+00:00,0.07,1.0,2025-06-13 19:59:59.341131+00:00,0.07,1.0,0.11,13.0
TTD,2025-06-20,C,80.0,0.7355,delta=0.0335 gamma=0.0127 rho=0.0003 theta=-0.044 vega=0.0059,2025-06-13 19:55:38.337769+00:00,0.04,68.0,2025-06-13 19:59:58.036482+00:00,0.07,1.0,0.08,308.0
TTD,2025-06-20,C,81.0,0.7533,delta=0.027 gamma=0.0104 rho=0.0002 theta=-0.0376 vega=0.005,2025-06-13 19:57:08.980712+00:00,0.05,1.0,2025-06-13 19:59:50.204347+00:00,0.04,12.0,0.08,47.0
TTD,2025-06-20,C,81.5,,,2025-06-12 17:17:43.068240+00:00,0.09,2.0,2025-06-13 19:59:59.192337+00:00,0.0,0.0,0.24,219.0
TTD,2025-06-20,C,82.0,,,2025-06-13 17:53:25.026834+00:00,0.04,1.0,2025-06-13 19:59:59.088566+00:00,0.0,0.0,0.12,26.0
TTD,2025-06-20,C,82.5,0.8909,delta=0.0367 gamma=0.0113 rho=0.0003 theta=-0.0573 vega=0.0064,2025-06-13 18:26:15.375872+00:00,0.04,7.0,2025-06-13 19:59:59.641097+00:00,0.04,3.0,0.16,415.0
TTD,2025-06-20,C,83.0,,,2025-06-13 14:23:05.173525+00:00,0.08,3.0,2025-06-13 19:59:58.949648+00:00,0.0,0.0,0.27,281.0
TTD,2025-06-20,C,84.0,,,2025-06-12 15:37:20.186913+00:00,0.11,3.0,2025-06-13 19:59:58.069718+00:00,0.0,0.0,0.229,324.0
TTD,2025-06-20,C,85.0,0.9342,delta=0.0241 gamma=0.0076 rho=0.0002 theta=-0.0424 vega=0.0045,2025-06-13 19:57:18.303374+00:00,0.06,1.0,2025-06-13 19:59:59.149110+00:00,0.06,1.0,0.07,15.0
TTD,2025-06-20,C,86.0,,,2025-06-12 18:33:44.493097+00:00,0.04,10.0,2025-06-13 19:59:58.069747+00:00,0.04,1.0,0.26,300.0
TTD,2025-06-20,C,87.0,,,2025-06-12 13:48:51.871744+00:00,0.05,50.0,2025-06-13 19:59:58.069747+00:00,0.0,0.0,0.22,193.0
TTD,2025-06-20,C,87.5,,,2025-06-13 19:59:08.495380+00:00,0.02,3.0,2025-06-13 19:59:53.091726+00:00,0.01,2.0,0.02,45.0
TTD,2025-06-20,C,88.0,,,2025-06-10 19:02:06.536498+00:00,0.06,35.0,2025-06-13 19:59:12.553870+00:00,0.0,0.0,0.26,72.0
TTD,2025-06-20,C,89.0,,,2025-06-12 16:39:16.573377+00:00,0.02,2.0,2025-06-13 19:59:58.204438+00:00,0.0,0.0,0.22,66.0
TTD,2025-06-20,C,90.0,,,2025-06-13 19:50:08.531169+00:00,0.05,4.0,2025-06-13 19:59:58.128007+00:00,0.03,5.0,0.08,1.0
TTD,2025-06-20,C,92.5,,,2025-06-13 18:04:59.387792+00:00,0.01,1.0,2025-06-13 19:59:58.294603+00:00,0.0,0.0,0.25,77.0
