underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
TTWO,2025-06-20,C,70.0,,,,,,2025-06-13 19:57:04.661897+00:00,160.91,1.0,164.61,16.0
TTWO,2025-06-20,C,75.0,,,,,,2025-06-13 19:56:02.936899+00:00,155.69,1.0,157.51,16.0
TTWO,2025-06-20,C,80.0,,,2024-06-21 17:34:27.477343+00:00,82.45,1.0,2025-06-13 19:56:02.936864+00:00,151.45,1.0,152.98,16.0
TTWO,2025-06-20,C,85.0,,,2024-06-21 17:34:27.477343+00:00,77.77,1.0,2025-06-13 19:55:11.559738+00:00,143.15,16.0,145.04,16.0
TTWO,2025-06-20,C,90.0,,,2024-11-07 15:05:33.599364+00:00,85.69,5.0,2025-06-13 19:56:02.936934+00:00,137.66,1.0,141.21,16.0
TTWO,2025-06-20,C,95.0,,,,,,2025-06-13 19:57:04.660774+00:00,132.68,1.0,138.17,18.0
TTWO,2025-06-20,C,100.0,,,2024-06-03 13:56:06.246432+00:00,68.22,5.0,2025-06-13 19:56:02.936924+00:00,130.93,1.0,131.76,16.0
TTWO,2025-06-20,C,105.0,,,2024-11-05 19:38:51.562585+00:00,63.05,1.0,2025-06-13 19:57:04.938185+00:00,124.78,1.0,127.53,16.0
TTWO,2025-06-20,C,110.0,,,2024-04-01 17:14:55.189909+00:00,50.98,1.0,2025-06-13 19:57:03.690804+00:00,119.58,1.0,119.79,16.0
TTWO,2025-06-20,C,115.0,,,2024-11-11 20:32:17.079322+00:00,68.71,1.0,2025-06-13 19:57:04.938320+00:00,113.59,1.0,117.99,16.0
TTWO,2025-06-20,C,120.0,,,2025-05-02 13:30:31.357493+00:00,98.44,1.0,2025-06-13 19:58:19.553941+00:00,108.95,16.0,114.059,18.0
TTWO,2025-06-20,C,125.0,,,2025-06-06 16:22:10.527399+00:00,106.1,1.0,2025-06-13 19:57:04.938205+00:00,105.84,1.0,108.72,18.0
TTWO,2025-06-20,C,130.0,,,2024-08-05 14:12:47.289340+00:00,25.76,5.0,2025-06-13 19:56:49.249580+00:00,96.28,16.0,100.49,18.0
TTWO,2025-06-20,C,135.0,,,2025-04-28 17:06:03.772416+00:00,92.1,2.0,2025-06-13 19:56:02.936924+00:00,93.54,1.0,97.98,18.0
TTWO,2025-06-20,C,140.0,,,2025-04-16 17:41:51.549200+00:00,74.85,10.0,2025-06-13 19:58:55.348611+00:00,88.07,17.0,90.31,19.0
TTWO,2025-06-20,C,145.0,,,2025-05-23 16:29:34.258787+00:00,81.2,4.0,2025-06-13 19:56:10.937526+00:00,84.13,16.0,88.36,18.0
TTWO,2025-06-20,C,150.0,,,2025-05-30 14:27:50.984257+00:00,75.45,4.0,2025-06-13 19:57:03.692051+00:00,78.27,1.0,83.3,18.0
TTWO,2025-06-20,C,155.0,,,2025-04-22 18:50:47.802754+00:00,58.3,1.0,2025-06-13 19:57:03.692688+00:00,73.01,1.0,77.23,18.0
TTWO,2025-06-20,C,160.0,,,2025-06-12 13:55:12.977793+00:00,78.0,1.0,2025-06-13 19:59:59.015395+00:00,70.24,56.0,72.77,19.0
TTWO,2025-06-20,C,165.0,,,2025-05-02 14:12:43.139981+00:00,53.95,1.0,2025-06-13 19:59:53.614948+00:00,63.35,21.0,67.11,18.0
TTWO,2025-06-20,C,170.0,,,2025-06-13 17:56:14.408510+00:00,61.89,1.0,2025-06-13 19:59:30.099655+00:00,59.35,24.0,61.979,18.0
TTWO,2025-06-20,C,175.0,,,2025-06-05 16:50:13.146405+00:00,56.27,1.0,2025-06-13 19:59:59.930856+00:00,53.629,25.0,58.05,21.0
TTWO,2025-06-20,C,180.0,,,2025-06-13 19:41:05.427530+00:00,50.67,1.0,2025-06-13 19:59:58.344923+00:00,48.54,28.0,51.929,21.0
TTWO,2025-06-20,C,185.0,,,2025-06-13 19:42:26.701535+00:00,45.92,1.0,2025-06-13 19:59:55.939411+00:00,43.91,24.0,47.21,21.0
TTWO,2025-06-20,C,190.0,,,2025-06-13 18:27:19.564487+00:00,40.09,1.0,2025-06-13 19:59:54.981424+00:00,39.24,26.0,41.26,21.0
