underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
UNH,2025-06-20,C,130.0,,,,,,2025-06-13 19:59:52.338516+00:00,183.65,45.0,189.57,45.0
UNH,2025-06-20,C,135.0,,,,,,2025-06-13 19:59:53.619340+00:00,176.17,46.0,183.66,45.0
UNH,2025-06-20,C,140.0,,,2025-05-20 13:34:56.300103+00:00,180.0,2.0,2025-06-13 19:59:52.339215+00:00,172.96,40.0,175.4,40.0
UNH,2025-06-20,C,145.0,,,2025-05-16 17:19:44.125251+00:00,143.1,1.0,2025-06-13 19:59:53.901718+00:00,166.34,42.0,171.96,40.0
UNH,2025-06-20,C,150.0,,,,,,2025-06-13 19:59:52.340190+00:00,158.21,40.0,163.34,40.0
UNH,2025-06-20,C,155.0,,,,,,2025-06-13 19:59:53.625630+00:00,156.57,59.0,161.76,40.0
UNH,2025-06-20,C,160.0,,,,,,2025-06-13 19:59:52.339101+00:00,150.57,45.0,158.78,45.0
UNH,2025-06-20,C,165.0,,,2025-06-13 17:50:15.195882+00:00,151.7,5.0,2025-06-13 19:59:55.125711+00:00,142.47,45.0,152.88,27.0
UNH,2025-06-20,C,170.0,,,,,,2025-06-13 19:59:52.339160+00:00,137.74,45.0,144.53,45.0
UNH,2025-06-20,C,175.0,,,2025-05-27 14:45:16.920781+00:00,117.92,1.0,2025-06-13 19:59:56.467283+00:00,133.4,58.0,139.09,46.0
UNH,2025-06-20,C,180.0,,,2025-06-13 18:47:14.257459+00:00,133.25,1.0,2025-06-13 19:59:56.697421+00:00,132.46,45.0,134.95,5.0
UNH,2025-06-20,C,185.0,,,,,,2025-06-13 19:59:52.339160+00:00,122.17,45.0,129.59,45.0
UNH,2025-06-20,C,190.0,,,2025-06-02 13:45:06.732682+00:00,122.1,1.0,2025-06-13 19:59:52.338802+00:00,119.28,46.0,124.84,45.0
UNH,2025-06-20,C,195.0,,,2025-06-02 13:46:14.506165+00:00,114.79,1.0,2025-06-13 19:59:55.832610+00:00,114.17,58.0,119.92,46.0
UNH,2025-06-20,C,200.0,,,2025-06-13 19:33:36.160060+00:00,113.58,470.0,2025-06-13 19:59:59.017168+00:00,112.02,80.0,113.19,90.0
