underlying_symbol,expiration_date,option_type,strike_price,implied_volatility,greeks,trade_time,trade_price,trade_size,quote_time,bid_price,bid_size,ask_price,ask_size
V,2025-06-20,C,130.0,,,2024-11-13 16:15:06.482293+00:00,182.03,1.0,2025-06-13 19:59:53.053573+00:00,220.98,16.0,222.6,17.0
V,2025-06-20,C,135.0,,,2024-08-29 14:31:14.046096+00:00,142.0,1.0,2025-06-13 19:59:53.047703+00:00,219.569,20.0,222.169,18.0
V,2025-06-20,C,140.0,,,,,,2025-06-13 19:59:53.681639+00:00,213.63,16.0,217.03,18.0
V,2025-06-20,C,145.0,,,2025-02-06 15:29:51.819211+00:00,205.71,65.0,2025-06-13 19:59:58.674251+00:00,202.74,16.0,209.869,18.0
V,2025-06-20,C,150.0,,,2024-08-29 14:31:14.046107+00:00,127.0,1.0,2025-06-13 19:59:58.669531+00:00,197.77,16.0,202.8,18.0
V,2025-06-20,C,155.0,,,2025-05-06 14:56:31.392916+00:00,194.02,60.0,2025-06-13 19:59:52.317764+00:00,195.11,18.0,200.0,18.0
V,2025-06-20,C,160.0,,,2025-04-09 17:20:36.901928+00:00,166.11,1.0,2025-06-13 19:59:56.797865+00:00,191.89,17.0,195.54,20.0
V,2025-06-20,C,165.0,,,2025-02-06 15:35:00.712147+00:00,186.21,2.0,2025-06-13 19:59:58.662393+00:00,187.49,16.0,187.72,18.0
V,2025-06-20,C,170.0,,,2025-05-09 17:59:53.160269+00:00,182.65,1.0,2025-06-13 19:59:58.634737+00:00,181.76,20.0,184.26,18.0
V,2025-06-20,C,175.0,,,2024-11-08 18:01:25.368952+00:00,138.0,1.0,2025-06-13 19:59:58.635043+00:00,177.15,16.0,181.57,18.0
V,2025-06-20,C,180.0,,,2025-02-10 15:03:11.077559+00:00,171.33,1.0,2025-06-13 19:59:58.660518+00:00,171.78,20.0,173.69,20.0
V,2025-06-20,C,185.0,,,2025-01-08 18:51:00.045440+00:00,131.28,2.0,2025-06-13 19:59:58.660624+00:00,166.34,16.0,168.12,20.0
V,2025-06-20,C,190.0,,,2025-02-11 20:31:26.218752+00:00,164.21,1.0,2025-06-13 19:59:58.637073+00:00,161.54,16.0,163.74,18.0
V,2025-06-20,C,195.0,,,2024-09-03 14:54:53.710989+00:00,92.66,1.0,2025-06-13 19:59:58.667937+00:00,156.71,16.0,160.48,18.0
V,2025-06-20,C,200.0,,,2025-06-06 14:24:10.799679+00:00,171.0,1.0,2025-06-13 19:59:55.106977+00:00,152.7,18.0,153.45,18.0
V,2025-06-20,C,205.0,,,2024-04-04 18:18:45.033204+00:00,85.0,3.0,2025-06-13 19:59:56.133813+00:00,144.88,16.0,148.18,18.0
V,2025-06-20,C,210.0,,,2025-02-10 16:06:38.809402+00:00,143.07,7.0,2025-06-13 19:59:58.671835+00:00,141.25,16.0,144.91,20.0
V,2025-06-20,C,215.0,,,2025-04-08 17:01:45.651598+00:00,105.26,1.0,2025-06-13 19:59:55.210523+00:00,135.55,16.0,141.19,20.0
V,2025-06-20,C,220.0,,,2025-05-21 18:56:46.780461+00:00,139.38,4.0,2025-06-13 19:59:55.036608+00:00,132.11,18.0,134.3,19.0
V,2025-06-20,C,225.0,,,2025-02-06 16:54:54.849548+00:00,126.61,1.0,2025-06-13 19:59:58.486976+00:00,128.57,20.0,131.07,16.0
V,2025-06-20,C,230.0,,,2025-06-12 19:24:37.955477+00:00,143.1,1.0,2025-06-13 19:59:55.210587+00:00,123.309,21.0,125.39,21.0
V,2025-06-20,C,235.0,,,2025-05-12 19:59:44.476024+00:00,121.309,1.0,2025-06-13 19:59:58.666052+00:00,114.64,17.0,119.95,21.0
V,2025-06-20,C,240.0,,,2025-04-23 14:35:25.064369+00:00,103.0,1.0,2025-06-13 19:59:57.090994+00:00,112.28,18.0,113.8,23.0
V,2025-06-20,C,245.0,,,2025-04-08 17:35:24.373356+00:00,75.4,1.0,2025-06-13 19:59:59.290344+00:00,107.73,7.0,108.99,1.0
V,2025-06-20,C,250.0,,,2025-06-13 19:44:21.956399+00:00,102.53,3.0,2025-06-13 19:59:59.664247+00:00,103.02,21.0,104.19,16.0
V,2025-06-20,C,255.0,,,2025-06-13 19:44:21.956404+00:00,97.59,3.0,2025-06-13 19:59:52.317681+00:00,98.02,19.0,101.27,18.0
V,2025-06-20,C,260.0,,,2025-06-13 19:48:32.291407+00:00,93.11,5.0,2025-06-13 19:59:59.196250+00:00,92.52,6.0,93.8,5.0
V,2025-06-20,C,265.0,,,2025-06-13 19:48:32.291407+00:00,88.38,5.0,2025-06-13 19:59:59.073495+00:00,88.38,11.0,89.73,1.0
V,2025-06-20,C,270.0,,,2025-06-13 13:53:45.804070+00:00,82.0,5.0,2025-06-13 19:59:59.633866+00:00,83.73,5.0,86.5,25.0
V,2025-06-20,C,275.0,,,2025-06-13 18:50:36.183877+00:00,76.47,5.0,2025-06-13 19:59:59.626824+00:00,77.34,8.0,79.93,6.0
V,2025-06-20,C,280.0,,,2025-06-13 17:49:24.074152+00:00,72.5,1.0,2025-06-13 19:59:59.072060+00:00,72.16,13.0,73.98,5.0
V,2025-06-20,C,285.0,,,2025-06-13 14:37:21.060110+00:00,61.51,1.0,2025-06-13 19:59:59.926752+00:00,67.82,11.0,69.1,6.0
V,2025-06-20,C,290.0,,,2025-06-13 17:56:23.905445+00:00,63.25,1.0,2025-06-13 19:59:59.637637+00:00,61.39,11.0,65.99,34.0
V,2025-06-20,C,295.0,,,2025-06-13 14:16:29.139353+00:00,54.94,1.0,2025-06-13 19:59:57.857946+00:00,57.15,135.0,60.029,25.0
V,2025-06-20,C,300.0,,,2025-06-13 14:45:12.440513+00:00,47.96,9.0,2025-06-13 19:59:59.741610+00:00,51.77,6.0,54.16,39.0
V,2025-06-20,C,305.0,,,2025-06-13 14:37:13.375964+00:00,42.0,3.0,2025-06-13 19:59:59.136869+00:00,47.04,9.0,49.36,43.0
V,2025-06-20,C,310.0,,,2025-06-13 19:36:30.135893+00:00,42.82,1.0,2025-06-13 19:59:58.313998+00:00,42.78,13.0,44.45,22.0
V,2025-06-20,C,315.0,0.4293,delta=0.9903 gamma=0.0015 rho=0.0426 theta=-0.0829 vega=0.0107,2025-06-13 19:56:42.820554+00:00,38.55,1.0,2025-06-13 19:59:58.486694+00:00,38.39,19.0,39.3,17.0
V,2025-06-20,C,317.5,,,,,,2025-06-13 19:59:58.101792+00:00,34.67,14.0,37.59,16.0
V,2025-06-20,C,320.0,0.5198,delta=0.9536 gamma=0.0045 rho=0.0415 theta=-0.2446 vega=0.0402,2025-06-13 19:52:52.754292+00:00,33.51,20.0,2025-06-13 19:59:58.702769+00:00,33.12,17.0,35.3,2.0
V,2025-06-20,C,322.5,,,,,,2025-06-13 19:59:50.022576+00:00,29.61,19.0,32.06,18.0
V,2025-06-20,C,325.0,0.3424,delta=0.9838 gamma=0.0029 rho=0.0437 theta=-0.095 vega=0.0167,2025-06-13 15:15:44.046430+00:00,27.5,1.0,2025-06-13 19:59:59.611611+00:00,27.83,7.0,29.92,57.0
V,2025-06-20,C,327.5,,,,,,2025-06-13 19:59:59.015893+00:00,25.03,17.0,26.81,6.0
V,2025-06-20,C,330.0,0.3839,delta=0.9421 gamma=0.0073 rho=0.0423 theta=-0.2204 vega=0.0479,2025-06-13 19:42:45.339501+00:00,23.62,1.0,2025-06-13 19:59:59.611445+00:00,23.03,13.0,25.36,41.0
V,2025-06-20,C,332.5,0.3338,delta=0.9462 gamma=0.0079 rho=0.0429 theta=-0.1879 vega=0.0452,,,,2025-06-13 19:59:58.976833+00:00,20.8,29.0,22.43,10.0
V,2025-06-20,C,335.0,0.3723,delta=0.8989 gamma=0.0115 rho=0.0409 theta=-0.3077 vega=0.0732,2025-06-13 18:15:14.499919+00:00,17.85,1.0,2025-06-13 19:59:59.633872+00:00,19.07,13.0,20.03,23.0
V,2025-06-20,C,337.5,0.3421,delta=0.8847 gamma=0.0137 rho=0.0405 theta=-0.3103 vega=0.0805,2025-06-13 14:27:54.015491+00:00,13.95,1.0,2025-06-13 19:59:58.477153+00:00,16.119,18.0,18.1,5.0
V,2025-06-20,C,340.0,0.4019,delta=0.8078 gamma=0.0164 rho=0.037 theta=-0.4864 vega=0.1131,2025-06-13 19:34:34.670818+00:00,14.44,24.0,2025-06-13 19:59:59.611430+00:00,14.88,7.0,16.33,28.0
V,2025-06-20,C,342.5,0.3843,delta=0.7718 gamma=0.019 rho=0.0355 theta=-0.5115 vega=0.1251,2025-06-13 16:18:38.029924+00:00,13.43,1.0,2025-06-13 19:59:59.753242+00:00,12.66,5.0,14.25,10.0
V,2025-06-20,C,345.0,0.319,delta=0.7562 gamma=0.0238 rho=0.0352 theta=-0.4442 vega=0.1298,2025-06-13 19:59:46.726705+00:00,10.75,6.0,2025-06-13 19:59:59.052098+00:00,10.6,6.0,10.89,5.0
V,2025-06-20,C,347.5,0.3137,delta=0.6944 gamma=0.027 rho=0.0324 theta=-0.4831 vega=0.1451,2025-06-13 19:39:21.577072+00:00,8.45,2.0,2025-06-13 19:59:59.839570+00:00,8.81,14.0,8.97,6.0
V,2025-06-20,C,350.0,0.2999,delta=0.6278 gamma=0.0305 rho=0.0294 theta=-0.4949 vega=0.1566,2025-06-13 19:58:58.912336+00:00,6.99,1.0,2025-06-13 19:59:57.699264+00:00,6.88,15.0,7.24,13.0
V,2025-06-20,C,352.5,0.2957,delta=0.5495 gamma=0.0323 rho=0.0259 theta=-0.5067 vega=0.1638,2025-06-13 19:59:58.481086+00:00,5.5,1.0,2025-06-13 19:59:59.564162+00:00,5.47,1.0,5.64,23.0
V,2025-06-20,C,355.0,0.2812,delta=0.4659 gamma=0.0342 rho=0.022 theta=-0.4815 vega=0.1645,2025-06-13 19:59:26.745960+00:00,4.05,1.0,2025-06-13 19:59:59.790732+00:00,4.029,200.0,4.13,1.0
V,2025-06-20,C,357.5,0.2703,delta=0.3774 gamma=0.034 rho=0.0179 theta=-0.4404 vega=0.1572,2025-06-13 19:59:59.280973+00:00,2.91,3.0,2025-06-13 19:59:59.335848+00:00,2.73,8.0,3.03,3.0
V,2025-06-20,C,360.0,0.2631,delta=0.2918 gamma=0.0315 rho=0.0139 theta=-0.3857 vega=0.1421,2025-06-13 19:59:59.280982+00:00,2.01,3.0,2025-06-13 19:59:59.493158+00:00,1.86,10.0,2.07,23.0
V,2025-06-20,C,362.5,0.2596,delta=0.2167 gamma=0.0273 rho=0.0103 theta=-0.3242 vega=0.1215,2025-06-13 19:57:55.528935+00:00,1.3,1.0,2025-06-13 19:59:59.963283+00:00,1.21,7.0,1.41,1.0
V,2025-06-20,C,365.0,0.2579,delta=0.1547 gamma=0.0223 rho=0.0074 theta=-0.2603 vega=0.0985,2025-06-13 19:59:50.824285+00:00,0.86,50.0,2025-06-13 19:59:59.761397+00:00,0.76,1.0,0.94,50.0
V,2025-06-20,C,367.5,0.2571,delta=0.1062 gamma=0.0172 rho=0.0051 theta=-0.1995 vega=0.0759,2025-06-13 19:59:21.826837+00:00,0.56,5.0,2025-06-13 19:59:58.478571+00:00,0.45,13.0,0.62,3.0
V,2025-06-20,C,370.0,0.26,delta=0.0728 gamma=0.0129 rho=0.0035 theta=-0.152 vega=0.0573,2025-06-13 19:59:40.988701+00:00,0.36,50.0,2025-06-13 19:59:59.793268+00:00,0.33,2.0,0.36,9.0
V,2025-06-20,C,372.5,0.2736,delta=0.0557 gamma=0.0099 rho=0.0027 theta=-0.1295 vega=0.0465,2025-06-13 19:59:01.927235+00:00,0.25,5.0,2025-06-13 19:59:57.478847+00:00,0.24,10.0,0.29,2.0
V,2025-06-20,C,375.0,0.2796,delta=0.0391 gamma=0.0073 rho=0.0019 theta=-0.0995 vega=0.035,2025-06-13 19:52:27.034375+00:00,0.17,1.0,2025-06-13 19:59:59.635542+00:00,0.12,11.0,0.24,6.0
V,2025-06-20,C,377.5,0.3053,delta=0.0363 gamma=0.0063 rho=0.0017 theta=-0.102 vega=0.0329,2025-06-13 19:44:08.272013+00:00,0.16,7.0,2025-06-13 19:59:59.637730+00:00,0.16,1.0,0.2,1.0
