symbol,delta_minute,open,high,low,close,volume,trade_count
AAPL,0.0,198.52,199.9,198.52,199.35,17037.0,947.0
AAPL,5.0,199.34,199.63,199.3,199.6,8033.0,211.0
AAPL,5.0,199.6,199.65,199.55,199.55,4276.0,121.0
AAPL,5.0,199.35,199.35,199.35,199.35,746.0,19.0
AAPL,5.0,199.31,199.57,199.31,199.45,5447.0,74.0
AAPL,5.0,199.42,199.5,199.41,199.5,1699.0,44.0
AAPL,5.0,199.46,199.52,199.46,199.52,1665.0,48.0
AAPL,5.0,199.63,199.63,199.59,199.63,1403.0,40.0
AAPL,5.0,199.5,199.5,199.46,199.46,1437.0,46.0
AAPL,5.0,199.39,199.4,199.31,199.31,3228.0,98.0
AAPL,5.0,199.26,199.31,199.26,199.31,628.0,24.0
AAPL,10.0,199.36,199.39,199.36,199.39,1044.0,19.0
AAPL,5.0,199.42,199.46,199.42,199.46,2398.0,29.0
AAPL,5.0,199.26,199.26,199.2,199.2,3636.0,160.0
AAPL,5.0,199.22,199.28,199.22,199.28,2215.0,60.0
AAPL,5.0,199.32,199.32,199.32,199.32,372.0,17.0
AAPL,5.0,199.31,199.38,199.3,199.38,2594.0,72.0
AAPL,5.0,199.34,199.34,199.34,199.34,608.0,21.0
AAPL,5.0,199.4,199.4,199.25,199.25,1680.0,99.0
AAPL,5.0,199.32,199.32,199.22,199.22,1436.0,63.0
AAPL,5.0,199.21,199.28,199.21,199.28,2922.0,53.0
AAPL,5.0,199.31,199.33,199.26,199.26,2434.0,79.0
AAPL,5.0,199.26,199.29,199.26,199.29,1359.0,43.0
AAPL,5.0,199.31,199.4,199.31,199.4,2383.0,43.0
AAPL,5.0,199.5,199.6,199.5,199.6,1494.0,35.0
AAPL,5.0,199.58,199.6,199.58,199.6,1273.0,42.0
AAPL,5.0,199.5,199.56,199.5,199.5,3373.0,96.0
AAPL,5.0,199.4,199.46,199.4,199.46,1493.0,36.0
AAPL,5.0,199.53,199.53,199.53,199.53,123.0,7.0
AAPL,5.0,199.47,199.47,199.38,199.38,3951.0,61.0
AAPL,5.0,199.41,199.41,199.41,199.41,567.0,10.0
AAPL,5.0,199.5,199.5,199.5,199.5,159.0,4.0
AAPL,5.0,199.51,199.51,199.43,199.43,2835.0,87.0
AAPL,5.0,199.44,199.57,199.44,199.57,2153.0,64.0
AAPL,5.0,199.55,199.55,199.53,199.53,914.0,46.0
AAPL,5.0,199.51,199.57,199.45,199.5,9152.0,213.0
AAPL,5.0,199.57,199.82,199.57,199.75,12604.0,172.0
AAPL,5.0,199.67,199.87,199.56,199.81,6272.0,169.0
AAPL,5.0,199.84,199.98,199.84,199.88,8421.0,148.0
AAPL,5.0,199.9,199.9,199.69,199.7,7821.0,172.0
AAPL,5.0,199.7,199.8,199.7,199.79,1926.0,59.0
AAPL,5.0,199.78,199.89,199.55,199.89,13538.0,232.0
AAPL,5.0,199.83,199.91,199.83,199.9,1367.0,34.0
AAPL,5.0,199.85,199.87,199.83,199.83,3696.0,70.0
AAPL,5.0,199.84,199.87,199.83,199.87,2606.0,48.0
AAPL,5.0,199.85,199.85,199.78,199.78,1953.0,60.0
AAPL,5.0,199.75,199.75,199.71,199.71,2120.0,30.0
AAPL,5.0,199.59,201.352,198.79,199.8,59248.0,2387.0
AAPL,5.0,199.8,199.85,199.75,199.85,5995.0,147.0
AAPL,5.0,199.77,199.88,199.7501,199.88,5237.0,117.0
AAPL,5.0,199.88,199.96,199.85,199.89,5242.0,143.0
AAPL,5.0,199.89,199.89,199.53,199.6969,11356.0,297.0
AAPL,5.0,199.6,199.7,199.55,199.67,4739.0,127.0
AAPL,5.0,199.7,199.75,199.53,199.75,7145.0,187.0
AAPL,5.0,199.6309,199.65,199.56,199.6499,5547.0,173.0
AAPL,5.0,199.61,199.88,199.61,199.79,7493.0,221.0
AAPL,5.0,199.85,199.97,199.8,199.88,7848.0,174.0
AAPL,5.0,199.8,199.8,199.52,199.69,11232.0,384.0
AAPL,5.0,199.66,199.69,199.5269,199.61,6240.0,187.0
AAPL,5.0,199.66,199.92,199.66,199.74,26584.0,268.0
AAPL,5.0,199.61,199.74,199.43,199.7025,16135.0,610.0
AAPL,5.0,199.7,199.99,199.7,199.74,14144.0,344.0
AAPL,5.0,199.72,199.85,199.65,199.85,7976.0,235.0
AAPL,5.0,199.85,199.85,199.6358,199.77,5219.0,203.0
AAPL,5.0,199.63,200.4478,199.19,200.28,43015.0,940.0
AAPL,5.0,200.28,202.13,200.15,201.725,1989400.0,31623.0
AAPL,5.0,201.72,201.91,201.04,201.34,880785.0,14421.0
AAPL,5.0,201.32,201.77,201.2446,201.54,754750.0,12686.0
AAPL,5.0,201.545,201.67,201.07,201.0969,694651.0,12399.0
AAPL,5.0,201.1,201.23,200.53,201.08,789877.0,12634.0
AAPL,5.0,201.11,201.18,200.91,201.11,471714.0,9104.0
AAPL,5.0,201.06,201.13,200.26,200.32,756214.0,12654.0
AAPL,5.0,200.3,200.89,200.12,200.49,545933.0,10689.0
AAPL,5.0,200.47,200.88,200.43,200.68,583137.0,8640.0
AAPL,5.0,200.68,200.72,200.23,200.23,330398.0,7491.0
AAPL,5.0,200.22,200.75,200.13,200.24,353223.0,8251.0
AAPL,5.0,200.24,200.66,200.23,200.53,282691.0,6805.0
AAPL,5.0,200.52,201.07,200.35,200.91,348079.0,8713.0
AAPL,5.0,200.93,201.04,200.38,200.66,443155.0,8340.0
AAPL,5.0,200.66,201.05,200.63,201.021,316211.0,6240.0
